Alleles Observed-SFS Expected
0 0.982404 0.982186
1 0.004693 0.004805
2 0.002252 0.002419
3 0.001499 0.001472
4 0.001022 0.001040
5 0.000784 0.000799
6 0.000640 0.000645
7 0.000528 0.000538
8 0.000492 0.000459
9 0.000405 0.000399
10 0.000400 0.000351
11 0.000318 0.000313
12 0.000270 0.000282
13 0.000229 0.000256
14 0.000226 0.000234
15 0.000219 0.000215
16 0.000180 0.000199
17 0.000187 0.000185
18 0.000192 0.000173
19 0.000212 0.000162
20 0.000169 0.000152
21 0.000135 0.000144
22 0.000128 0.000136
23 0.000135 0.000130
24 0.000128 0.000123
25 0.000101 0.000118
26 0.000133 0.000113
27 0.000110 0.000109
28 0.000100 0.000105
29 0.000103 0.000101
30 0.000087 0.000098
31 0.000098 0.000094
32 0.000092 0.000092
33 0.000076 0.000089
34 0.000107 0.000087
35 0.000089 0.000085
36 0.000073 0.000083
37 0.000082 0.000081
38 0.000076 0.000080
39 0.000076 0.000078
40 0.000052 0.000077
41 0.000071 0.000076
42 0.000085 0.000075
43 0.000062 0.000074
44 0.000080 0.000074
45 0.000091 0.000073
46 0.000055 0.000072
47 0.000071 0.000072
48 0.000085 0.000072
49 0.000076 0.000072
50 0.000020 0.000036
