Alleles Observed-SFS Expected
0 0.990784 0.990841
1 0.003989 0.003772
2 0.001426 0.001555
3 0.000818 0.000850
4 0.000537 0.000538
5 0.000292 0.000371
6 0.000270 0.000271
7 0.000240 0.000206
8 0.000140 0.000162
9 0.000174 0.000131
10 0.000117 0.000108
11 0.000098 0.000091
12 0.000092 0.000078
13 0.000066 0.000067
14 0.000046 0.000059
15 0.000071 0.000053
16 0.000037 0.000048
17 0.000044 0.000044
18 0.000021 0.000040
19 0.000043 0.000037
20 0.000030 0.000035
21 0.000028 0.000033
22 0.000032 0.000031
23 0.000036 0.000029
24 0.000030 0.000028
25 0.000036 0.000027
26 0.000034 0.000026
27 0.000036 0.000025
28 0.000018 0.000024
29 0.000034 0.000023
30 0.000018 0.000023
31 0.000016 0.000022
32 0.000018 0.000022
33 0.000020 0.000021
34 0.000021 0.000021
35 0.000014 0.000020
36 0.000018 0.000020
37 0.000027 0.000020
38 0.000020 0.000019
39 0.000018 0.000019
40 0.000030 0.000019
41 0.000016 0.000019
42 0.000025 0.000019
43 0.000011 0.000018
44 0.000018 0.000018
45 0.000020 0.000018
46 0.000014 0.000018
47 0.000014 0.000018
48 0.000023 0.000018
49 0.000011 0.000018
50 0.000011 0.000009
