Alleles Observed-SFS Expected
0 0.996917 0.996917
1 0.001707 0.001433
2 0.000400 0.000514
3 0.000176 0.000246
4 0.000192 0.000138
5 0.000080 0.000087
6 0.000064 0.000060
7 0.000075 0.000045
8 0.000011 0.000036
9 0.000005 0.000030
10 0.000032 0.000026
11 0.000011 0.000023
12 0.000011 0.000021
13 0.000005 0.000019
14 0.000005 0.000018
15 0.000005 0.000017
16 0.000005 0.000016
17 0.000005 0.000015
18 0.000005 0.000015
19 0.000032 0.000014
20 0.000016 0.000014
21 0.000000 0.000013
22 0.000016 0.000013
23 0.000000 0.000012
24 0.000027 0.000012
25 0.000000 0.000012
26 0.000011 0.000011
27 0.000000 0.000011
28 0.000016 0.000011
29 0.000011 0.000010
30 0.000016 0.000010
31 0.000016 0.000010
32 0.000016 0.000010
33 0.000000 0.000010
34 0.000005 0.000010
35 0.000011 0.000009
36 0.000016 0.000009
37 0.000000 0.000009
38 0.000011 0.000009
39 0.000016 0.000009
40 0.000005 0.000009
41 0.000005 0.000009
42 0.000011 0.000009
43 0.000011 0.000009
44 0.000000 0.000009
45 0.000000 0.000009
46 0.000000 0.000009
47 0.000000 0.000009
48 0.000000 0.000009
49 0.000016 0.000009
50 0.000005 0.000004
