name fullpath selfing DFE output m1_count m2_count m4_count neutral_m4_count alpha
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing99_DFE3/output2.fixed 99 DFE3 2 1216 1226 788 2 0.390268123138034
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing0_DFE1/output3.fixed 0 DFE1 3 1236 2528 7498 3 0.74755635348095
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing0_DFE2/output3.fixed 0 DFE2 3 1242 1197 7459 1 0.861598890942699
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing0_DFE3/output3.fixed 0 DFE3 3 1191 651 7146 2 0.916249839681929
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing50_DFE1/output3.fixed 50 DFE1 3 1242 2617 6136 4 0.700559808065806
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing50_DFE2/output3.fixed 50 DFE2 3 1308 1232 5991 1 0.829295306659283
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing50_DFE3/output3.fixed 50 DFE3 3 1254 659 5539 1 0.89351403678606
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing80_DFE1/output3.fixed 80 DFE1 3 1304 2985 3854 0 0.563532680216406
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing80_DFE2/output3.fixed 80 DFE2 3 1201 1505 3785 0 0.715500945179584
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing80_DFE3/output3.fixed 80 DFE3 3 1229 816 3346 1 0.803700144161461
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing90_DFE1/output3.fixed 90 DFE1 3 1246 3203 2619 1 0.449673651666094
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing90_DFE2/output3.fixed 90 DFE2 3 1207 1847 2518 3 0.576174112256586
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing90_DFE3/output3.fixed 90 DFE3 3 1239 855 2201 2 0.719568062827225
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing95_DFE1/output3.fixed 95 DFE1 3 1255 3345 1893 4 0.360633829705995
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing95_DFE2/output3.fixed 95 DFE2 3 1311 2134 1814 0 0.459473150962513
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing95_DFE3/output3.fixed 95 DFE3 3 1232 1078 1510 2 0.582689335394127
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing99_DFE1/output3.fixed 99 DFE1 3 1322 3550 1029 1 0.224503166630269
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing99_DFE2/output3.fixed 99 DFE2 3 1237 2514 983 1 0.280812124678296
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing99_DFE3/output3.fixed 99 DFE3 3 1255 1262 793 1 0.385401459854015
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing0_DFE1/output4.fixed 0 DFE1 4 1241 2495 7503 0 0.750450090018004
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing0_DFE2/output4.fixed 0 DFE2 4 1210 1144 7351 0 0.865332548557975
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing0_DFE3/output4.fixed 0 DFE3 4 1322 641 7097 0 0.917162057379168
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing50_DFE1/output4.fixed 50 DFE1 4 1234 2605 6195 3 0.703636363636364
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing50_DFE2/output4.fixed 50 DFE2 4 1224 1220 6087 0 0.833036814013959
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing50_DFE3/output4.fixed 50 DFE3 4 1244 708 5619 0 0.88809862494073
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing80_DFE1/output4.fixed 80 DFE1 4 1203 2902 3922 1 0.574589683470106
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing80_DFE2/output4.fixed 80 DFE2 4 1232 1553 3798 2 0.709400112128574
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing80_DFE3/output4.fixed 80 DFE3 4 1296 842 3222 0 0.792814960629921
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing90_DFE1/output4.fixed 90 DFE1 4 1151 3185 2688 3 0.457176911288949
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing90_DFE2/output4.fixed 90 DFE2 4 1237 1917 2527 0 0.568631863186319
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing90_DFE3/output4.fixed 90 DFE3 4 1239 933 2163 0 0.698643410852713
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing95_DFE1/output4.fixed 95 DFE1 4 1211 3218 1879 0 0.368648224445752
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing95_DFE2/output4.fixed 95 DFE2 4 1282 2006 1785 3 0.470060670007913
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing95_DFE3/output4.fixed 95 DFE3 4 1238 1015 1441 0 0.586726384364821
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing99_DFE1/output4.fixed 99 DFE1 4 1176 3391 1008 1 0.228915662650602
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing99_DFE2/output4.fixed 99 DFE2 4 1263 2491 964 0 0.279015918958032
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing99_DFE3/output4.fixed 99 DFE3 4 1303 1226 783 0 0.389746142359383
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing0_DFE1/output5.fixed 0 DFE1 5 1232 2447 7558 4 0.755022488755622
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing0_DFE2/output5.fixed 0 DFE2 5 1194 1124 7466 3 0.868800931315483
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing0_DFE3/output5.fixed 0 DFE3 5 1280 665 7037 1 0.913528953518567
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing50_DFE1/output5.fixed 50 DFE1 5 1240 2572 6173 1 0.705774728416238
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing50_DFE2/output5.fixed 50 DFE2 5 1239 1277 6070 3 0.825779229617531
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing50_DFE3/output5.fixed 50 DFE3 5 1264 718 5460 2 0.883457429588864
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing80_DFE1/output5.fixed 80 DFE1 5 1278 2993 3892 0 0.565286855482934
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/positive/eqm_selfing80_DFE2/output5.fixed 80 DFE2 5 1187 1569 3832 1 0.709313090168487
