Alleles Observed-SFS Expected
0 0.987726 0.987455
1 0.003346 0.003523
2 0.001618 0.001801
3 0.001020 0.001079
4 0.000761 0.000740
5 0.000588 0.000551
6 0.000460 0.000433
7 0.000356 0.000355
8 0.000316 0.000299
9 0.000256 0.000257
10 0.000245 0.000226
11 0.000190 0.000201
12 0.000183 0.000181
13 0.000160 0.000164
14 0.000192 0.000151
15 0.000156 0.000139
16 0.000126 0.000129
17 0.000132 0.000120
18 0.000108 0.000113
19 0.000128 0.000106
20 0.000084 0.000100
21 0.000103 0.000095
22 0.000105 0.000091
23 0.000046 0.000087
24 0.000073 0.000083
25 0.000101 0.000079
26 0.000094 0.000076
27 0.000080 0.000074
28 0.000098 0.000071
29 0.000068 0.000069
30 0.000057 0.000067
31 0.000053 0.000065
32 0.000044 0.000063
33 0.000059 0.000062
34 0.000075 0.000060
35 0.000076 0.000059
36 0.000050 0.000058
37 0.000059 0.000057
38 0.000052 0.000056
39 0.000064 0.000055
40 0.000050 0.000054
41 0.000062 0.000054
42 0.000034 0.000053
43 0.000068 0.000053
44 0.000050 0.000052
45 0.000046 0.000052
46 0.000034 0.000052
47 0.000053 0.000051
48 0.000030 0.000051
49 0.000044 0.000051
50 0.000020 0.000026
