Alleles Observed-SFS Expected
0 0.999163 0.999204
1 0.000604 0.000523
2 0.000119 0.000135
3 0.000030 0.000050
4 0.000023 0.000023
5 0.000007 0.000013
6 0.000012 0.000008
7 0.000009 0.000006
8 0.000002 0.000004
9 0.000000 0.000003
10 0.000002 0.000003
11 0.000000 0.000002
12 0.000000 0.000002
13 0.000002 0.000002
14 0.000000 0.000002
15 0.000002 0.000001
16 0.000000 0.000001
17 0.000000 0.000001
18 0.000000 0.000001
19 0.000000 0.000001
20 0.000002 0.000001
21 0.000004 0.000001
22 0.000000 0.000001
23 0.000002 0.000001
24 0.000000 0.000001
25 0.000000 0.000001
26 0.000000 0.000001
27 0.000000 0.000001
28 0.000000 0.000001
29 0.000000 0.000001
30 0.000002 0.000000
31 0.000002 0.000000
32 0.000000 0.000000
33 0.000000 0.000000
34 0.000002 0.000000
35 0.000002 0.000000
36 0.000000 0.000000
37 0.000002 0.000000
38 0.000004 0.000000
39 0.000002 0.000000
40 0.000002 0.000000
41 0.000000 0.000000
42 0.000000 0.000000
43 0.000000 0.000000
44 0.000000 0.000000
45 0.000000 0.000000
46 0.000000 0.000000
47 0.000000 0.000000
48 0.000002 0.000000
49 0.000000 0.000000
50 0.000000 0.000000
