Alleles Observed-SFS Expected
0 0.978213 0.978213
1 0.004229 0.004069
2 0.002096 0.002286
3 0.001451 0.001492
4 0.001072 0.001109
5 0.000891 0.000890
6 0.000768 0.000747
7 0.000661 0.000646
8 0.000597 0.000571
9 0.000501 0.000513
10 0.000533 0.000467
11 0.000512 0.000429
12 0.000373 0.000398
13 0.000309 0.000371
14 0.000213 0.000349
15 0.000395 0.000329
16 0.000309 0.000312
17 0.000299 0.000298
18 0.000219 0.000285
19 0.000320 0.000273
20 0.000315 0.000262
21 0.000251 0.000253
22 0.000208 0.000245
23 0.000251 0.000237
24 0.000240 0.000230
25 0.000181 0.000224
26 0.000235 0.000218
27 0.000144 0.000213
28 0.000213 0.000208
29 0.000256 0.000204
30 0.000213 0.000200
31 0.000213 0.000196
32 0.000192 0.000193
33 0.000229 0.000190
34 0.000219 0.000187
35 0.000149 0.000185
36 0.000149 0.000182
37 0.000187 0.000180
38 0.000144 0.000178
39 0.000235 0.000177
40 0.000187 0.000175
41 0.000139 0.000174
42 0.000213 0.000172
43 0.000133 0.000171
44 0.000192 0.000170
45 0.000176 0.000170
46 0.000176 0.000169
47 0.000176 0.000169
48 0.000165 0.000168
49 0.000160 0.000168
50 0.000096 0.000084
