Alleles Observed-SFS Expected
0 0.986176 0.986176
1 0.004896 0.004639
2 0.002139 0.002183
3 0.001147 0.001321
4 0.000933 0.000902
5 0.000491 0.000658
6 0.000453 0.000502
7 0.000373 0.000396
8 0.000213 0.000320
9 0.000347 0.000263
10 0.000272 0.000221
11 0.000219 0.000188
12 0.000176 0.000162
13 0.000197 0.000141
14 0.000101 0.000124
15 0.000101 0.000111
16 0.000085 0.000100
17 0.000107 0.000090
18 0.000123 0.000083
19 0.000080 0.000076
20 0.000117 0.000071
21 0.000064 0.000066
22 0.000075 0.000062
23 0.000059 0.000059
24 0.000048 0.000056
25 0.000059 0.000053
26 0.000037 0.000051
27 0.000059 0.000049
28 0.000043 0.000047
29 0.000069 0.000046
30 0.000032 0.000045
31 0.000043 0.000043
32 0.000069 0.000042
33 0.000032 0.000041
34 0.000069 0.000041
35 0.000021 0.000040
36 0.000027 0.000039
37 0.000027 0.000039
38 0.000027 0.000038
39 0.000016 0.000038
40 0.000053 0.000037
41 0.000021 0.000037
42 0.000021 0.000037
43 0.000037 0.000036
44 0.000053 0.000036
45 0.000032 0.000036
46 0.000016 0.000036
47 0.000037 0.000036
48 0.000032 0.000036
49 0.000053 0.000036
50 0.000021 0.000018
