Alleles Observed-SFS Expected
0 0.996752 0.996752
1 0.001365 0.001348
2 0.000544 0.000569
3 0.000384 0.000314
4 0.000187 0.000196
5 0.000165 0.000132
6 0.000059 0.000094
7 0.000075 0.000069
8 0.000075 0.000053
9 0.000027 0.000041
10 0.000021 0.000033
11 0.000016 0.000028
12 0.000048 0.000023
13 0.000027 0.000020
14 0.000005 0.000018
15 0.000011 0.000016
16 0.000005 0.000015
17 0.000000 0.000013
18 0.000005 0.000013
19 0.000000 0.000012
20 0.000000 0.000011
21 0.000005 0.000011
22 0.000005 0.000010
23 0.000011 0.000010
24 0.000000 0.000009
25 0.000000 0.000009
26 0.000000 0.000009
27 0.000000 0.000009
28 0.000000 0.000008
29 0.000005 0.000008
30 0.000000 0.000008
31 0.000000 0.000008
32 0.000005 0.000008
33 0.000000 0.000008
34 0.000005 0.000008
35 0.000000 0.000007
36 0.000000 0.000007
37 0.000005 0.000007
38 0.000011 0.000007
39 0.000021 0.000007
40 0.000011 0.000007
41 0.000016 0.000007
42 0.000005 0.000007
43 0.000021 0.000007
44 0.000016 0.000007
45 0.000016 0.000007
46 0.000005 0.000007
47 0.000016 0.000007
48 0.000016 0.000007
49 0.000016 0.000007
50 0.000016 0.000003
