Alleles Observed-SFS Expected
0 0.991824 0.991824
1 0.002853 0.002672
2 0.001211 0.001255
3 0.000613 0.000750
4 0.000411 0.000507
5 0.000363 0.000368
6 0.000261 0.000280
7 0.000272 0.000220
8 0.000176 0.000179
9 0.000149 0.000148
10 0.000160 0.000125
11 0.000133 0.000108
12 0.000123 0.000095
13 0.000101 0.000084
14 0.000069 0.000075
15 0.000091 0.000068
16 0.000048 0.000063
17 0.000048 0.000058
18 0.000075 0.000054
19 0.000037 0.000051
20 0.000037 0.000048
21 0.000048 0.000046
22 0.000032 0.000043
23 0.000021 0.000042
24 0.000037 0.000040
25 0.000048 0.000039
26 0.000032 0.000038
27 0.000043 0.000036
28 0.000021 0.000035
29 0.000021 0.000035
30 0.000037 0.000034
31 0.000037 0.000033
32 0.000059 0.000033
33 0.000043 0.000032
34 0.000037 0.000031
35 0.000037 0.000031
36 0.000032 0.000031
37 0.000032 0.000030
38 0.000037 0.000030
39 0.000021 0.000030
40 0.000032 0.000029
41 0.000016 0.000029
42 0.000032 0.000029
43 0.000016 0.000029
44 0.000027 0.000029
45 0.000021 0.000028
46 0.000011 0.000028
47 0.000021 0.000028
48 0.000016 0.000028
49 0.000048 0.000028
50 0.000027 0.000014
