"","generation","DFE","selfing","value","sd","replicate","selfing_class","dominance"
"49","f1","DFE1","Dominance_adjusted_50",0.667210278318866,0,NA,"50% Selfing",0.75
"50","f1","DFE2","Dominance_adjusted_50",0.256205207891033,0,NA,"50% Selfing",0.75
"51","f1","DFE3","Dominance_adjusted_50",0.103555030707984,0,NA,"50% Selfing",0.75
"52","f1","DFE1","Dominance_adjusted_99",0.666595333605496,0,NA,"99% Selfing",0.75
"53","f1","DFE2","Dominance_adjusted_99",0.252680293636438,0,NA,"99% Selfing",0.75
"54","f1","DFE3","Dominance_adjusted_99",0.102594218339691,0,NA,"99% Selfing",0.75
"55","f2","DFE1","Dominance_adjusted_0",0.0753991915646479,0,NA,"0% Selfing",0.75
"56","f2","DFE2","Dominance_adjusted_0",0.503106181475597,0,NA,"0% Selfing",0.75
"57","f2","DFE3","Dominance_adjusted_0",0.207933520810638,0,NA,"0% Selfing",0.75
"58","f2","DFE1","Dominance_adjusted_50",0.0899981441168107,0,NA,"50% Selfing",0.75
"59","f2","DFE2","Dominance_adjusted_50",0.503174691349044,0,NA,"50% Selfing",0.75
"60","f2","DFE3","Dominance_adjusted_50",0.203615665820931,0,NA,"50% Selfing",0.75
"61","f2","DFE1","Dominance_adjusted_99",0.096607004601952,0,NA,"99% Selfing",0.75
"62","f2","DFE2","Dominance_adjusted_99",0.502871035173465,0,NA,"99% Selfing",0.75
"63","f2","DFE3","Dominance_adjusted_99",0.201817068487015,0,NA,"99% Selfing",0.75
"64","f3","DFE1","Dominance_adjusted_0",2.56063503734083e-11,0,NA,"0% Selfing",0.75
"65","f3","DFE2","Dominance_adjusted_0",0.102470434859749,0,NA,"0% Selfing",0.75
"66","f3","DFE3","Dominance_adjusted_0",0.579645649371356,0,NA,"0% Selfing",0.75
"67","f3","DFE1","Dominance_adjusted_50",1.43200090674256e-10,0,NA,"50% Selfing",0.75
"68","f3","DFE2","Dominance_adjusted_50",0.115581899951383,0,NA,"50% Selfing",0.75
"69","f3","DFE3","Dominance_adjusted_50",0.588620336122397,0,NA,"50% Selfing",0.75
"70","f3","DFE1","Dominance_adjusted_99",2.8504937299445e-10,0,NA,"99% Selfing",0.75
"71","f3","DFE2","Dominance_adjusted_99",0.121332768440433,0,NA,"99% Selfing",0.75
"72","f3","DFE3","Dominance_adjusted_99",0.592351533388398,0,NA,"99% Selfing",0.75
"73","f0","DFE1","0_grapes",0.313905629273172,0.0166083342867534,NA,"0% Selfing",0.75
"74","f0","DFE2","0_grapes",0.14222148587021,0.00403547638754721,NA,"0% Selfing",0.75
"75","f0","DFE3","0_grapes",0.113982355927172,0.00731088838575113,NA,"0% Selfing",0.75
"76","f0","DFE1","50_grapes",0.346543727707742,0.0189509131273578,NA,"50% Selfing",0.75
"77","f0","DFE2","50_grapes",0.157770845691064,0.0137913635717848,NA,"50% Selfing",0.75
"78","f0","DFE3","50_grapes",0.128152427218781,0.0047482394738668,NA,"50% Selfing",0.75
"79","f0","DFE1","99_grapes",0.727294605527248,0.0691241596587265,NA,"99% Selfing",0.75
"80","f0","DFE2","99_grapes",0.595452765857091,0.0925793573277173,NA,"99% Selfing",0.75
"81","f0","DFE3","99_grapes",0.324607623816124,0.125811209151831,NA,"99% Selfing",0.75
"82","f1","DFE1","0_grapes",0.566580109295148,0.0445772228814149,NA,"0% Selfing",0.75
"83","f1","DFE2","0_grapes",0.273959229336948,0.0120854644475472,NA,"0% Selfing",0.75
"84","f1","DFE3","0_grapes",0.118873424222501,0.00547881295990132,NA,"0% Selfing",0.75
"85","f1","DFE1","50_grapes",0.574721929780244,0.0374975063187641,NA,"50% Selfing",0.75
"86","f1","DFE2","50_grapes",0.301305935120351,0.0138575948967739,NA,"50% Selfing",0.75
"87","f1","DFE3","50_grapes",0.126855740218301,0.00818015718140871,NA,"50% Selfing",0.75
"88","f1","DFE1","99_grapes",0.264668024209235,0.0627574333149284,NA,"99% Selfing",0.75
"89","f1","DFE2","99_grapes",0.27295866532702,0.043942771868327,NA,"99% Selfing",0.75
"90","f1","DFE3","99_grapes",0.150812354801296,0.0265884728015741,NA,"99% Selfing",0.75
"91","f2","DFE1","0_grapes",0.119513432157985,0.030809475958023,NA,"0% Selfing",0.75
"92","f2","DFE2","0_grapes",0.491931356310408,0.0086710217048906,NA,"0% Selfing",0.75
"93","f2","DFE3","0_grapes",0.237572180957832,0.0196975320623397,NA,"0% Selfing",0.75
"94","f2","DFE1","50_grapes",0.0787343219733266,0.019037498443334,NA,"50% Selfing",0.75
"95","f2","DFE2","50_grapes",0.48196011468329,0.0151351595480112,NA,"50% Selfing",0.75
"96","f2","DFE3","50_grapes",0.245815048668339,0.0218119447306131,NA,"50% Selfing",0.75
"97","f2","DFE1","99_grapes",0.0080373702314644,0.00976823953967896,NA,"99% Selfing",0.75
"98","f2","DFE2","99_grapes",0.130323736422705,0.0533440227898652,NA,"99% Selfing",0.75
"99","f2","DFE3","99_grapes",0.226372477456501,0.0668321285208501,NA,"99% Selfing",0.75
"100","f3","DFE1","0_grapes",8.2927369526864e-07,1.05866879282378e-06,NA,"0% Selfing",0.75
"101","f3","DFE2","0_grapes",0.091887928482433,0.0185747701608371,NA,"0% Selfing",0.75
"102","f3","DFE3","0_grapes",0.529572038892495,0.0209544342359528,NA,"0% Selfing",0.75
"103","f3","DFE1","50_grapes",2.05386872620394e-08,3.55661466356952e-08,NA,"50% Selfing",0.75
"104","f3","DFE2","50_grapes",0.0589631045052948,0.0148497149529027,NA,"50% Selfing",0.75
"105","f3","DFE3","50_grapes",0.49917678389458,0.0293536817855197,NA,"50% Selfing",0.75
"106","f3","DFE1","99_grapes",3.20525161967566e-11,7.05075959577882e-11,NA,"99% Selfing",0.75
"107","f3","DFE2","99_grapes",0.00126483239318453,0.00142207374745296,NA,"99% Selfing",0.75
"108","f3","DFE3","99_grapes",0.298207543926079,0.0495496604035456,NA,"99% Selfing",0.75
