Alleles Observed-SFS Expected
0 0.967200 0.967200
1 0.006656 0.006646
2 0.003365 0.003477
3 0.002267 0.002213
4 0.001504 0.001633
5 0.001280 0.001306
6 0.001067 0.001096
7 0.001237 0.000948
8 0.000832 0.000838
9 0.000795 0.000753
10 0.000651 0.000685
11 0.000667 0.000630
12 0.000416 0.000584
13 0.000555 0.000545
14 0.000464 0.000512
15 0.000453 0.000483
16 0.000485 0.000459
17 0.000400 0.000437
18 0.000443 0.000418
19 0.000395 0.000401
20 0.000459 0.000385
21 0.000304 0.000372
22 0.000363 0.000359
23 0.000325 0.000348
24 0.000288 0.000338
25 0.000331 0.000329
26 0.000277 0.000320
27 0.000352 0.000313
28 0.000304 0.000306
29 0.000288 0.000299
30 0.000293 0.000294
31 0.000416 0.000288
32 0.000245 0.000283
33 0.000213 0.000279
34 0.000293 0.000275
35 0.000203 0.000271
36 0.000187 0.000268
37 0.000293 0.000264
38 0.000272 0.000262
39 0.000256 0.000259
40 0.000331 0.000257
41 0.000304 0.000255
42 0.000235 0.000253
43 0.000240 0.000251
44 0.000229 0.000250
45 0.000309 0.000249
46 0.000389 0.000248
47 0.000256 0.000247
48 0.000245 0.000247
49 0.000187 0.000247
50 0.000181 0.000123
