Alleles Observed-SFS Expected
0 0.985920 0.985920
1 0.003387 0.003375
2 0.001477 0.001528
3 0.000971 0.000920
4 0.000677 0.000665
5 0.000528 0.000528
6 0.000389 0.000442
7 0.000512 0.000382
8 0.000379 0.000338
9 0.000261 0.000303
10 0.000187 0.000276
11 0.000267 0.000254
12 0.000320 0.000235
13 0.000315 0.000220
14 0.000203 0.000206
15 0.000213 0.000195
16 0.000117 0.000185
17 0.000219 0.000176
18 0.000144 0.000168
19 0.000171 0.000161
20 0.000181 0.000155
21 0.000128 0.000150
22 0.000117 0.000145
23 0.000160 0.000140
24 0.000160 0.000136
25 0.000187 0.000132
26 0.000128 0.000129
27 0.000128 0.000126
28 0.000085 0.000123
29 0.000160 0.000121
30 0.000107 0.000118
31 0.000091 0.000116
32 0.000069 0.000114
33 0.000107 0.000112
34 0.000075 0.000111
35 0.000139 0.000109
36 0.000128 0.000108
37 0.000123 0.000107
38 0.000091 0.000105
39 0.000080 0.000104
40 0.000053 0.000104
41 0.000064 0.000103
42 0.000080 0.000102
43 0.000123 0.000101
44 0.000096 0.000101
45 0.000101 0.000100
46 0.000080 0.000100
47 0.000117 0.000100
48 0.000096 0.000100
49 0.000059 0.000099
50 0.000032 0.000050
