Alleles Observed-SFS Expected
0 0.992268 0.992362
1 0.002988 0.002745
2 0.001180 0.001243
3 0.000633 0.000723
4 0.000444 0.000477
5 0.000334 0.000339
6 0.000238 0.000253
7 0.000203 0.000196
8 0.000151 0.000156
9 0.000146 0.000128
10 0.000108 0.000107
11 0.000092 0.000091
12 0.000080 0.000078
13 0.000075 0.000069
14 0.000062 0.000061
15 0.000057 0.000055
16 0.000055 0.000050
17 0.000066 0.000045
18 0.000048 0.000042
19 0.000039 0.000039
20 0.000034 0.000037
21 0.000030 0.000035
22 0.000037 0.000033
23 0.000037 0.000031
24 0.000030 0.000030
25 0.000032 0.000029
26 0.000027 0.000028
27 0.000028 0.000027
28 0.000025 0.000026
29 0.000021 0.000025
30 0.000037 0.000025
31 0.000030 0.000024
32 0.000044 0.000024
33 0.000012 0.000023
34 0.000027 0.000023
35 0.000023 0.000022
36 0.000027 0.000022
37 0.000020 0.000022
38 0.000016 0.000022
39 0.000016 0.000021
40 0.000021 0.000021
41 0.000023 0.000021
42 0.000016 0.000021
43 0.000020 0.000021
44 0.000011 0.000020
45 0.000021 0.000020
46 0.000016 0.000020
47 0.000020 0.000020
48 0.000011 0.000020
49 0.000014 0.000020
50 0.000004 0.000010
