dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,obs_specS20,obs_specS21,obs_specS22,obs_specS23,obs_specS24,obs_specS25,obs_specS26,obs_specS27,obs_specS28,obs_specS29,obs_specS30,obs_specS31,obs_specS32,obs_specS33,obs_specS34,obs_specS35,obs_specS36,obs_specS37,obs_specS38,obs_specS39,obs_specS40,obs_specS41,obs_specS42,obs_specS43,obs_specS44,obs_specS45,obs_specS46,obs_specS47,obs_specS48,obs_specS49,obs_specS50,obs_specS51,obs_specS52,obs_specS53,obs_specS54,obs_specS55,obs_specS56,obs_specS57,obs_specS58,obs_specS59,obs_specS60,obs_specS61,obs_specS62,obs_specS63,obs_specS64,obs_specS65,obs_specS66,obs_specS67,obs_specS68,obs_specS69,obs_specS70,obs_specS71,obs_specS72,obs_specS73,obs_specS74,obs_specS75,obs_specS76,obs_specS77,obs_specS78,obs_specS79,obs_specS80,obs_specS81,obs_specS82,obs_specS83,obs_specS84,obs_specS85,obs_specS86,obs_specS87,obs_specS88,obs_specS89,obs_specS90,obs_specS91,obs_specS92,obs_specS93,obs_specS94,obs_specS95,obs_specS96,obs_specS97,obs_specS98,obs_specS99,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,exp_specS20,exp_specS21,exp_specS22,exp_specS23,exp_specS24,exp_specS25,exp_specS26,exp_specS27,exp_specS28,exp_specS29,exp_specS30,exp_specS31,exp_specS32,exp_specS33,exp_specS34,exp_specS35,exp_specS36,exp_specS37,exp_specS38,exp_specS39,exp_specS40,exp_specS41,exp_specS42,exp_specS43,exp_specS44,exp_specS45,exp_specS46,exp_specS47,exp_specS48,exp_specS49,exp_specS50,exp_specS51,exp_specS52,exp_specS53,exp_specS54,exp_specS55,exp_specS56,exp_specS57,exp_specS58,exp_specS59,exp_specS60,exp_specS61,exp_specS62,exp_specS63,exp_specS64,exp_specS65,exp_specS66,exp_specS67,exp_specS68,exp_specS69,exp_specS70,exp_specS71,exp_specS72,exp_specS73,exp_specS74,exp_specS75,exp_specS76,exp_specS77,exp_specS78,exp_specS79,exp_specS80,exp_specS81,exp_specS82,exp_specS83,exp_specS84,exp_specS85,exp_specS86,exp_specS87,exp_specS88,exp_specS89,exp_specS90,exp_specS91,exp_specS92,exp_specS93,exp_specS94,exp_specS95,exp_specS96,exp_specS97,exp_specS98,exp_specS99,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,obs_specN20,obs_specN21,obs_specN22,obs_specN23,obs_specN24,obs_specN25,obs_specN26,obs_specN27,obs_specN28,obs_specN29,obs_specN30,obs_specN31,obs_specN32,obs_specN33,obs_specN34,obs_specN35,obs_specN36,obs_specN37,obs_specN38,obs_specN39,obs_specN40,obs_specN41,obs_specN42,obs_specN43,obs_specN44,obs_specN45,obs_specN46,obs_specN47,obs_specN48,obs_specN49,obs_specN50,obs_specN51,obs_specN52,obs_specN53,obs_specN54,obs_specN55,obs_specN56,obs_specN57,obs_specN58,obs_specN59,obs_specN60,obs_specN61,obs_specN62,obs_specN63,obs_specN64,obs_specN65,obs_specN66,obs_specN67,obs_specN68,obs_specN69,obs_specN70,obs_specN71,obs_specN72,obs_specN73,obs_specN74,obs_specN75,obs_specN76,obs_specN77,obs_specN78,obs_specN79,obs_specN80,obs_specN81,obs_specN82,obs_specN83,obs_specN84,obs_specN85,obs_specN86,obs_specN87,obs_specN88,obs_specN89,obs_specN90,obs_specN91,obs_specN92,obs_specN93,obs_specN94,obs_specN95,obs_specN96,obs_specN97,obs_specN98,obs_specN99,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,exp_specN20,exp_specN21,exp_specN22,exp_specN23,exp_specN24,exp_specN25,exp_specN26,exp_specN27,exp_specN28,exp_specN29,exp_specN30,exp_specN31,exp_specN32,exp_specN33,exp_specN34,exp_specN35,exp_specN36,exp_specN37,exp_specN38,exp_specN39,exp_specN40,exp_specN41,exp_specN42,exp_specN43,exp_specN44,exp_specN45,exp_specN46,exp_specN47,exp_specN48,exp_specN49,exp_specN50,exp_specN51,exp_specN52,exp_specN53,exp_specN54,exp_specN55,exp_specN56,exp_specN57,exp_specN58,exp_specN59,exp_specN60,exp_specN61,exp_specN62,exp_specN63,exp_specN64,exp_specN65,exp_specN66,exp_specN67,exp_specN68,exp_specN69,exp_specN70,exp_specN71,exp_specN72,exp_specN73,exp_specN74,exp_specN75,exp_specN76,exp_specN77,exp_specN78,exp_specN79,exp_specN80,exp_specN81,exp_specN82,exp_specN83,exp_specN84,exp_specN85,exp_specN86,exp_specN87,exp_specN88,exp_specN89,exp_specN90,exp_specN91,exp_specN92,exp_specN93,exp_specN94,exp_specN95,exp_specN96,exp_specN97,exp_specN98,exp_specN99,obs_dS,exp_dS,obs_dN,exp_dN
output5.txt,4731.0000,562500.0000,1737.0000,187500.0000,8746.0000,562500.0000,1240.0000,187500.0000,Neutral,103,-422.8280,0.6138,NA, NA,1.4432,NA,NA,NA,NA,NA,NA,0.243816,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,586.0000,271.0000,170.0000,76.0000,73.0000,63.0000,38.0000,45.0000,35.0000,21.0000,16.0000,18.0000,14.0000,18.0000,21.0000,18.0000,14.0000,13.0000,14.0000,9.0000,11.0000,13.0000,5.0000,8.0000,4.0000,3.0000,7.0000,3.0000,5.0000,2.0000,1.0000,3.0000,2.0000,4.0000,5.0000,5.0000,1.0000,3.0000,4.0000,4.0000,2.0000,4.0000,0.0000,5.0000,3.0000,6.0000,2.0000,1.0000,3.0000,0.0000,0.0000,1.0000,2.0000,3.0000,0.0000,1.0000,4.0000,2.0000,2.0000,1.0000,5.0000,3.0000,0.0000,0.0000,1.0000,1.0000,1.0000,4.0000,2.0000,1.0000,0.0000,3.0000,0.0000,3.0000,1.0000,5.0000,1.0000,1.0000,1.0000,2.0000,2.0000,1.0000,1.0000,0.0000,5.0000,1.0000,2.0000,2.0000,1.0000,1.0000,1.0000,2.0000,0.0000,3.0000,3.0000,0.0000,3.0000,0.0000,6.0000,639.4244,269.6271,155.4921,94.7992,71.4351,56.3961,36.2546,37.0603,26.0496,27.1238,13.9647,16.1132,15.5761,16.3817,17.7245,12.8905,11.8163,12.8905,8.8622,6.9824,8.5937,7.7880,5.3711,5.6396,4.5654,3.7597,4.8340,3.4912,2.4170,2.1484,2.6855,3.4912,4.2968,2.6855,2.9541,3.2226,1.3428,3.2226,2.4170,3.2226,1.6113,2.9541,1.6113,3.2226,3.2226,3.7597,1.3428,1.0742,3.4912,1.0742,0.8057,2.1484,2.4170,2.6855,1.6113,0.8057,2.1484,0.8057,1.8799,1.3428,2.1484,2.6855,0.5371,0.8057,1.6113,1.6113,1.3428,2.9541,1.8799,1.3428,0.5371,2.1484,0.5371,1.0742,1.0742,2.6855,1.0742,2.6855,0.8057,1.3428,1.6113,0.5371,1.3428,1.6113,1.6113,0.8057,2.9541,2.9541,2.1484,1.6113,1.6113,2.1484,1.8799,2.1484,2.6855,0.8057,3.4912,3.7597,5.3711,1795.0000,733.0000,409.0000,277.0000,193.0000,147.0000,97.0000,93.0000,62.0000,80.0000,36.0000,42.0000,44.0000,43.0000,45.0000,30.0000,30.0000,35.0000,19.0000,17.0000,21.0000,16.0000,15.0000,13.0000,13.0000,11.0000,11.0000,10.0000,4.0000,6.0000,9.0000,10.0000,14.0000,6.0000,6.0000,7.0000,4.0000,9.0000,5.0000,8.0000,4.0000,7.0000,6.0000,7.0000,9.0000,8.0000,3.0000,3.0000,10.0000,4.0000,3.0000,7.0000,7.0000,7.0000,6.0000,2.0000,4.0000,1.0000,5.0000,4.0000,3.0000,7.0000,2.0000,3.0000,5.0000,5.0000,4.0000,7.0000,5.0000,4.0000,2.0000,5.0000,2.0000,1.0000,3.0000,5.0000,3.0000,9.0000,2.0000,3.0000,4.0000,1.0000,4.0000,6.0000,1.0000,2.0000,9.0000,9.0000,7.0000,5.0000,5.0000,6.0000,7.0000,5.0000,7.0000,3.0000,10.0000,14.0000,14.0000,1741.5756,734.3729,423.5079,258.2008,194.5649,153.6039,98.7454,100.9397,70.9504,73.8762,38.0353,43.8868,42.4239,44.6183,48.2755,35.1095,32.1837,35.1095,24.1378,19.0176,23.4063,21.2120,14.6289,15.3604,12.4346,10.2403,13.1660,9.5088,6.5830,5.8516,7.3145,9.5088,11.7032,7.3145,8.0459,8.7774,3.6572,8.7774,6.5830,8.7774,4.3887,8.0459,4.3887,8.7774,8.7774,10.2403,3.6572,2.9258,9.5088,2.9258,2.1943,5.8516,6.5830,7.3145,4.3887,2.1943,5.8516,2.1943,5.1201,3.6572,5.8516,7.3145,1.4629,2.1943,4.3887,4.3887,3.6572,8.0459,5.1201,3.6572,1.4629,5.8516,1.4629,2.9258,2.9258,7.3145,2.9258,7.3145,2.1943,3.6572,4.3887,1.4629,3.6572,4.3887,4.3887,2.1943,8.0459,8.0459,5.8516,4.3887,4.3887,5.8516,5.1201,5.8516,7.3145,2.1943,9.5088,10.2403,14.6289,1240.0000,1240.0000,8746.0000,8746.0000
output5.txt,4731.0000,562500.0000,1737.0000,187500.0000,8746.0000,562500.0000,1240.0000,187500.0000,GammaExpo,106,-414.5692,0.8185,0.0000,0.0000,1.9245,0.0000,0.0000,0.0005,0.1762,0.0048,0.8185,NA,NA,NA,NA,NA,5.004169,0.313532,120.512294,0.100000,0.031288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003359,0.855541,0.753669,0.624008,0.596773,0.573206,0.435286,0.514299,0.410898,0.479883,0.274138,0.347828,0.366940,0.418439,0.488135,0.380880,0.372974,0.432979,0.315674,0.262934,0.341152,0.325092,0.235195,0.258507,0.218621,0.187743,0.251280,0.188619,0.135518,0.124839,0.161508,0.217039,0.275809,0.177788,0.201489,0.226238,0.096932,0.238998,0.183990,0.251600,0.128917,0.242016,0.135074,0.276220,0.282231,0.336206,0.122522,0.099951,0.331031,0.103738,0.079190,0.214809,0.245674,0.277341,0.168970,0.085737,0.231880,0.088143,0.208356,0.150672,0.243929,0.308333,0.062320,0.094411,0.190579,0.192223,0.161457,0.357768,0.229142,0.164602,0.066161,0.265700,0.066629,0.133539,0.133680,0.334182,0.133505,0.332906,0.099474,0.164873,0.196413,0.064872,0.160341,0.189790,0.186698,0.091539,0.327951,0.319095,0.224691,0.162203,0.155018,0.195813,0.160552,0.169539,0.192224,0.051009,0.188513,0.163718,0.169515,586.0000,271.0000,170.0000,76.0000,73.0000,63.0000,38.0000,45.0000,35.0000,21.0000,16.0000,18.0000,14.0000,18.0000,21.0000,18.0000,14.0000,13.0000,14.0000,9.0000,11.0000,13.0000,5.0000,8.0000,4.0000,3.0000,7.0000,3.0000,5.0000,2.0000,1.0000,3.0000,2.0000,4.0000,5.0000,5.0000,1.0000,3.0000,4.0000,4.0000,2.0000,4.0000,0.0000,5.0000,3.0000,6.0000,2.0000,1.0000,3.0000,0.0000,0.0000,1.0000,2.0000,3.0000,0.0000,1.0000,4.0000,2.0000,2.0000,1.0000,5.0000,3.0000,0.0000,0.0000,1.0000,1.0000,1.0000,4.0000,2.0000,1.0000,0.0000,3.0000,0.0000,3.0000,1.0000,5.0000,1.0000,1.0000,1.0000,2.0000,2.0000,1.0000,1.0000,0.0000,5.0000,1.0000,2.0000,2.0000,1.0000,1.0000,1.0000,2.0000,0.0000,3.0000,3.0000,0.0000,3.0000,0.0000,6.0000,610.3661,261.1835,153.4410,95.3154,72.9501,58.4121,38.0347,39.3362,27.9464,29.3860,15.2670,17.7640,17.3058,18.3329,19.9694,14.6144,13.4754,14.7812,10.2144,8.0865,9.9975,9.0985,6.2997,6.6392,5.3933,4.4559,5.7464,4.1620,2.8889,2.5742,3.2251,4.2013,5.1808,3.2437,3.5737,3.9042,1.6288,3.9136,2.9380,3.9206,1.9616,3.5982,1.9634,3.9277,3.9280,4.5823,1.6362,1.3084,4.2500,1.3068,0.9793,2.6088,2.9314,3.2526,1.9485,0.9726,2.5885,0.9686,2.2549,1.6065,2.5632,3.1943,0.6368,0.9518,1.8963,1.8885,1.5668,3.4306,2.1720,1.5429,0.6135,2.4387,0.6056,1.2023,1.1929,2.9574,1.1723,2.9024,0.8617,1.4200,1.6833,0.5537,1.3646,1.6124,1.5855,0.7783,2.7972,2.7366,1.9430,1.4193,1.3789,1.7811,1.5054,1.6574,1.9923,0.5755,2.4242,2.6326,4.3855,1795.0000,733.0000,409.0000,277.0000,193.0000,147.0000,97.0000,93.0000,62.0000,80.0000,36.0000,42.0000,44.0000,43.0000,45.0000,30.0000,30.0000,35.0000,19.0000,17.0000,21.0000,16.0000,15.0000,13.0000,13.0000,11.0000,11.0000,10.0000,4.0000,6.0000,9.0000,10.0000,14.0000,6.0000,6.0000,7.0000,4.0000,9.0000,5.0000,8.0000,4.0000,7.0000,6.0000,7.0000,9.0000,8.0000,3.0000,3.0000,10.0000,4.0000,3.0000,7.0000,7.0000,7.0000,6.0000,2.0000,4.0000,1.0000,5.0000,4.0000,3.0000,7.0000,2.0000,3.0000,5.0000,5.0000,4.0000,7.0000,5.0000,4.0000,2.0000,5.0000,2.0000,1.0000,3.0000,5.0000,3.0000,9.0000,2.0000,3.0000,4.0000,1.0000,4.0000,6.0000,1.0000,2.0000,9.0000,9.0000,7.0000,5.0000,5.0000,6.0000,7.0000,5.0000,7.0000,3.0000,10.0000,14.0000,14.0000,1770.6339,742.8165,425.5590,257.6846,193.0499,151.5879,96.9653,98.6638,69.0536,71.6140,36.7330,42.2360,40.6942,42.6671,46.0306,33.3856,30.5246,33.2188,22.7856,17.9135,22.0025,19.9015,13.7003,14.3608,11.6067,9.5441,12.2536,8.8380,6.1111,5.4258,6.7749,8.7987,10.8192,6.7563,7.4263,8.0958,3.3712,8.0864,6.0620,8.0794,4.0384,7.4018,4.0366,8.0723,8.0720,9.4177,3.3638,2.6916,8.7500,2.6932,2.0207,5.3912,6.0686,6.7474,4.0515,2.0274,5.4115,2.0314,4.7451,3.3935,5.4368,6.8057,1.3632,2.0482,4.1037,4.1115,3.4332,7.5694,4.8280,3.4571,1.3865,5.5613,1.3944,2.7977,2.8071,7.0426,2.8277,7.0976,2.1383,3.5800,4.3167,1.4463,3.6354,4.3876,4.4145,2.2217,8.2028,8.2634,6.0570,4.5807,4.6211,6.2189,5.4946,6.3426,8.0077,2.4245,10.5758,11.3674,15.6145,1240.0000,1240.0000,8746.0000,8746.0000
output5.txt,4731.0000,562500.0000,1737.0000,187500.0000,8746.0000,562500.0000,1240.0000,187500.0000,Saturated,200,-340.1488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,586.0000,271.0000,170.0000,76.0000,73.0000,63.0000,38.0000,45.0000,35.0000,21.0000,16.0000,18.0000,14.0000,18.0000,21.0000,18.0000,14.0000,13.0000,14.0000,9.0000,11.0000,13.0000,5.0000,8.0000,4.0000,3.0000,7.0000,3.0000,5.0000,2.0000,1.0000,3.0000,2.0000,4.0000,5.0000,5.0000,1.0000,3.0000,4.0000,4.0000,2.0000,4.0000,0.0000,5.0000,3.0000,6.0000,2.0000,1.0000,3.0000,0.0000,0.0000,1.0000,2.0000,3.0000,0.0000,1.0000,4.0000,2.0000,2.0000,1.0000,5.0000,3.0000,0.0000,0.0000,1.0000,1.0000,1.0000,4.0000,2.0000,1.0000,0.0000,3.0000,0.0000,3.0000,1.0000,5.0000,1.0000,1.0000,1.0000,2.0000,2.0000,1.0000,1.0000,0.0000,5.0000,1.0000,2.0000,2.0000,1.0000,1.0000,1.0000,2.0000,0.0000,3.0000,3.0000,0.0000,3.0000,0.0000,6.0000,586.0000,271.0000,170.0000,76.0000,73.0000,63.0000,38.0000,45.0000,35.0000,21.0000,16.0000,18.0000,14.0000,18.0000,21.0000,18.0000,14.0000,13.0000,14.0000,9.0000,11.0000,13.0000,5.0000,8.0000,4.0000,3.0000,7.0000,3.0000,5.0000,2.0000,1.0000,3.0000,2.0000,4.0000,5.0000,5.0000,1.0000,3.0000,4.0000,4.0000,2.0000,4.0000,0.0000,5.0000,3.0000,6.0000,2.0000,1.0000,3.0000,0.0000,0.0000,1.0000,2.0000,3.0000,0.0000,1.0000,4.0000,2.0000,2.0000,1.0000,5.0000,3.0000,0.0000,0.0000,1.0000,1.0000,1.0000,4.0000,2.0000,1.0000,0.0000,3.0000,0.0000,3.0000,1.0000,5.0000,1.0000,1.0000,1.0000,2.0000,2.0000,1.0000,1.0000,0.0000,5.0000,1.0000,2.0000,2.0000,1.0000,1.0000,1.0000,2.0000,0.0000,3.0000,3.0000,0.0000,3.0000,0.0000,6.0000,1795.0000,733.0000,409.0000,277.0000,193.0000,147.0000,97.0000,93.0000,62.0000,80.0000,36.0000,42.0000,44.0000,43.0000,45.0000,30.0000,30.0000,35.0000,19.0000,17.0000,21.0000,16.0000,15.0000,13.0000,13.0000,11.0000,11.0000,10.0000,4.0000,6.0000,9.0000,10.0000,14.0000,6.0000,6.0000,7.0000,4.0000,9.0000,5.0000,8.0000,4.0000,7.0000,6.0000,7.0000,9.0000,8.0000,3.0000,3.0000,10.0000,4.0000,3.0000,7.0000,7.0000,7.0000,6.0000,2.0000,4.0000,1.0000,5.0000,4.0000,3.0000,7.0000,2.0000,3.0000,5.0000,5.0000,4.0000,7.0000,5.0000,4.0000,2.0000,5.0000,2.0000,1.0000,3.0000,5.0000,3.0000,9.0000,2.0000,3.0000,4.0000,1.0000,4.0000,6.0000,1.0000,2.0000,9.0000,9.0000,7.0000,5.0000,5.0000,6.0000,7.0000,5.0000,7.0000,3.0000,10.0000,14.0000,14.0000,1795.0000,733.0000,409.0000,277.0000,193.0000,147.0000,97.0000,93.0000,62.0000,80.0000,36.0000,42.0000,44.0000,43.0000,45.0000,30.0000,30.0000,35.0000,19.0000,17.0000,21.0000,16.0000,15.0000,13.0000,13.0000,11.0000,11.0000,10.0000,4.0000,6.0000,9.0000,10.0000,14.0000,6.0000,6.0000,7.0000,4.0000,9.0000,5.0000,8.0000,4.0000,7.0000,6.0000,7.0000,9.0000,8.0000,3.0000,3.0000,10.0000,4.0000,3.0000,7.0000,7.0000,7.0000,6.0000,2.0000,4.0000,1.0000,5.0000,4.0000,3.0000,7.0000,2.0000,3.0000,5.0000,5.0000,4.0000,7.0000,5.0000,4.0000,2.0000,5.0000,2.0000,1.0000,3.0000,5.0000,3.0000,9.0000,2.0000,3.0000,4.0000,1.0000,4.0000,6.0000,1.0000,2.0000,9.0000,9.0000,7.0000,5.0000,5.0000,6.0000,7.0000,5.0000,7.0000,3.0000,10.0000,14.0000,14.0000,1240.0000,1240.0000,8746.0000,8746.0000
