Alleles Observed-SFS Expected
0 0.992030 0.991988
1 0.002837 0.002742
2 0.001200 0.001230
3 0.000539 0.000694
4 0.000444 0.000451
5 0.000325 0.000321
6 0.000178 0.000244
7 0.000160 0.000194
8 0.000148 0.000160
9 0.000181 0.000136
10 0.000192 0.000118
11 0.000174 0.000105
12 0.000114 0.000094
13 0.000082 0.000086
14 0.000073 0.000078
15 0.000050 0.000073
16 0.000064 0.000067
17 0.000055 0.000063
18 0.000078 0.000059
19 0.000084 0.000056
20 0.000066 0.000053
21 0.000068 0.000050
22 0.000039 0.000048
23 0.000043 0.000046
24 0.000044 0.000044
25 0.000021 0.000042
26 0.000032 0.000040
27 0.000030 0.000039
28 0.000025 0.000038
29 0.000020 0.000036
30 0.000027 0.000035
31 0.000036 0.000034
32 0.000032 0.000033
33 0.000025 0.000033
34 0.000023 0.000032
35 0.000028 0.000031
36 0.000037 0.000030
37 0.000032 0.000030
38 0.000028 0.000029
39 0.000030 0.000029
40 0.000020 0.000028
41 0.000030 0.000028
42 0.000032 0.000028
43 0.000021 0.000027
44 0.000034 0.000027
45 0.000011 0.000027
46 0.000030 0.000027
47 0.000044 0.000027
48 0.000028 0.000027
49 0.000037 0.000027
50 0.000018 0.000013
