Alleles Observed-SFS Expected
0 0.986117 0.986117
1 0.002720 0.002512
2 0.001333 0.001445
3 0.000875 0.000973
4 0.000693 0.000734
5 0.000635 0.000591
6 0.000469 0.000496
7 0.000357 0.000428
8 0.000368 0.000378
9 0.000309 0.000338
10 0.000357 0.000307
11 0.000325 0.000281
12 0.000267 0.000260
13 0.000267 0.000242
14 0.000251 0.000226
15 0.000251 0.000213
16 0.000197 0.000202
17 0.000176 0.000191
18 0.000219 0.000182
19 0.000171 0.000175
20 0.000155 0.000167
21 0.000165 0.000161
22 0.000112 0.000155
23 0.000128 0.000150
24 0.000144 0.000145
25 0.000123 0.000141
26 0.000160 0.000137
27 0.000139 0.000134
28 0.000112 0.000131
29 0.000165 0.000128
30 0.000117 0.000125
31 0.000123 0.000122
32 0.000101 0.000120
33 0.000176 0.000118
34 0.000107 0.000116
35 0.000096 0.000114
36 0.000096 0.000113
37 0.000107 0.000111
38 0.000117 0.000110
39 0.000053 0.000109
40 0.000112 0.000108
41 0.000112 0.000107
42 0.000064 0.000106
43 0.000117 0.000105
44 0.000139 0.000105
45 0.000133 0.000104
46 0.000107 0.000104
47 0.000053 0.000103
48 0.000117 0.000103
49 0.000123 0.000103
50 0.000069 0.000051
