Alleles Observed-SFS Expected
0 0.990736 0.990736
1 0.003157 0.003027
2 0.001445 0.001438
3 0.000923 0.000876
4 0.000405 0.000601
5 0.000405 0.000442
6 0.000352 0.000339
7 0.000203 0.000269
8 0.000251 0.000218
9 0.000192 0.000181
10 0.000117 0.000152
11 0.000091 0.000130
12 0.000107 0.000113
13 0.000085 0.000099
14 0.000101 0.000087
15 0.000139 0.000078
16 0.000096 0.000070
17 0.000080 0.000064
18 0.000075 0.000059
19 0.000085 0.000054
20 0.000059 0.000050
21 0.000064 0.000047
22 0.000075 0.000044
23 0.000032 0.000042
24 0.000069 0.000040
25 0.000027 0.000038
26 0.000032 0.000037
27 0.000037 0.000035
28 0.000032 0.000034
29 0.000027 0.000033
30 0.000016 0.000032
31 0.000016 0.000031
32 0.000037 0.000030
33 0.000016 0.000030
34 0.000027 0.000029
35 0.000032 0.000029
36 0.000027 0.000028
37 0.000005 0.000028
38 0.000032 0.000027
39 0.000048 0.000027
40 0.000027 0.000027
41 0.000021 0.000027
42 0.000032 0.000026
43 0.000021 0.000026
44 0.000032 0.000026
45 0.000016 0.000026
46 0.000048 0.000026
47 0.000021 0.000026
48 0.000011 0.000026
49 0.000016 0.000026
50 0.000000 0.000013
