"","generation","DFE","selfing","value","sd","replicate","selfing_class","intergenic"
"79","f0","DFE1","99_grapes",0.656858655695663,0.0796712581569523,NA,"99% Selfing",500
"80","f0","DFE2","99_grapes",0.521163823321787,0.151372265063965,NA,"99% Selfing",500
"81","f0","DFE3","99_grapes",0.175210192393128,0.0319050899461319,NA,"99% Selfing",500
"82","f1","DFE1","0_grapes",0.602561709943652,0.0396587393184119,NA,"0% Selfing",500
"83","f1","DFE2","0_grapes",0.234398558683192,0.00612273611332413,NA,"0% Selfing",500
"84","f1","DFE3","0_grapes",0.107495607597893,0.00220808711256669,NA,"0% Selfing",500
"85","f1","DFE1","50_grapes",0.61133121958482,0.0742973633750109,NA,"50% Selfing",500
"86","f1","DFE2","50_grapes",0.233943314436432,0.00346539816284067,NA,"50% Selfing",500
"87","f1","DFE3","50_grapes",0.108445286286148,0.0036860909934327,NA,"50% Selfing",500
"88","f1","DFE1","99_grapes",0.318853946499202,0.071476568316337,NA,"99% Selfing",500
"89","f1","DFE2","99_grapes",0.296735307648393,0.0715569682323557,NA,"99% Selfing",500
"90","f1","DFE3","99_grapes",0.153430769365566,0.0182612778000696,NA,"99% Selfing",500
"91","f2","DFE1","0_grapes",0.170178203518053,0.0251792343226365,NA,"0% Selfing",500
"92","f2","DFE2","0_grapes",0.490703011078142,0.0141016057634388,NA,"0% Selfing",500
"93","f2","DFE3","0_grapes",0.214335416078753,0.00660290221494052,NA,"0% Selfing",500
"94","f2","DFE1","50_grapes",0.152288396170058,0.0537144410992513,NA,"50% Selfing",500
"95","f2","DFE2","50_grapes",0.485270452884974,0.00611344964967221,NA,"50% Selfing",500
"96","f2","DFE3","50_grapes",0.212730552868901,0.0108713233167242,NA,"50% Selfing",500
"97","f2","DFE1","99_grapes",0.024287259162119,0.0195208918162925,NA,"99% Selfing",500
"98","f2","DFE2","99_grapes",0.178734866609576,0.0845743717895756,NA,"99% Selfing",500
"99","f2","DFE3","99_grapes",0.278421981216577,0.0527658599677403,NA,"99% Selfing",500
"100","f3","DFE1","0_grapes",1.22874877300228e-06,1.64160691599892e-06,NA,"0% Selfing",500
"101","f3","DFE2","0_grapes",0.156831524834666,0.0155600796335441,NA,"0% Selfing",500
"102","f3","DFE3","0_grapes",0.573531376388646,0.00835511885001092,NA,"0% Selfing",500
"103","f3","DFE1","50_grapes",4.58948836898898e-06,6.2024349980796e-06,NA,"50% Selfing",500
"104","f3","DFE2","50_grapes",0.159254022075151,0.00779519933809406,NA,"50% Selfing",500
"105","f3","DFE3","50_grapes",0.569464316553337,0.0139015505407066,NA,"50% Selfing",500
"106","f3","DFE1","99_grapes",1.3864301653399e-07,3.09842214818227e-07,NA,"99% Selfing",500
"107","f3","DFE2","99_grapes",0.00336600242024505,0.00419135262204111,NA,"99% Selfing",500
"108","f3","DFE3","99_grapes",0.392937057024729,0.0549456082098812,NA,"99% Selfing",500
