"","generation","DFE","selfing","value","sd","replicate","selfing_class","intergenic"
"1","f0","DFE1","Simulated DFE",0.204291490497034,0,1,"0% Selfing",3000
"2","f0","DFE1","Simulated DFE",0.204291490497034,0,2,"50% Selfing",3000
"3","f0","DFE1","Simulated DFE",0.204291490497034,0,6,"99% Selfing",3000
"4","f0","DFE2","Simulated DFE",0.112462916018285,0,1,"0% Selfing",3000
"5","f0","DFE2","Simulated DFE",0.112462916018285,0,2,"50% Selfing",3000
"6","f0","DFE2","Simulated DFE",0.112462916018285,0,6,"99% Selfing",3000
"7","f0","DFE3","Simulated DFE",0.0977430831943102,0,1,"0% Selfing",3000
"8","f0","DFE3","Simulated DFE",0.0977430831943102,0,2,"50% Selfing",3000
"9","f0","DFE3","Simulated DFE",0.0977430831943102,0,6,"99% Selfing",3000
"10","f1","DFE1","Simulated DFE",0.655391553835657,0,1,"0% Selfing",3000
"11","f1","DFE1","Simulated DFE",0.655391553835657,0,2,"50% Selfing",3000
"12","f1","DFE1","Simulated DFE",0.655391553835657,0,6,"99% Selfing",3000
"13","f1","DFE2","Simulated DFE",0.232816237963138,0,1,"0% Selfing",3000
"14","f1","DFE2","Simulated DFE",0.232816237963138,0,2,"50% Selfing",3000
"15","f1","DFE2","Simulated DFE",0.232816237963138,0,6,"99% Selfing",3000
"16","f1","DFE3","Simulated DFE",0.0971585977061945,0,1,"0% Selfing",3000
"17","f1","DFE3","Simulated DFE",0.0971585977061945,0,2,"50% Selfing",3000
"18","f1","DFE3","Simulated DFE",0.0971585977061945,0,6,"99% Selfing",3000
"19","f2","DFE1","Simulated DFE",0.140316945048907,0,1,"0% Selfing",3000
"20","f2","DFE1","Simulated DFE",0.140316945048907,0,2,"50% Selfing",3000
"21","f2","DFE1","Simulated DFE",0.140316945048907,0,6,"99% Selfing",3000
"22","f2","DFE2","Simulated DFE",0.497421638968293,0,1,"0% Selfing",3000
"23","f2","DFE2","Simulated DFE",0.497421638968293,0,2,"50% Selfing",3000
"24","f2","DFE2","Simulated DFE",0.497421638968293,0,6,"99% Selfing",3000
"25","f2","DFE3","Simulated DFE",0.191576054325077,0,1,"0% Selfing",3000
"26","f2","DFE3","Simulated DFE",0.191576054325077,0,2,"50% Selfing",3000
"27","f2","DFE3","Simulated DFE",0.191576054325077,0,6,"99% Selfing",3000
"28","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,1,"0% Selfing",3000
"29","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,2,"50% Selfing",3000
"30","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,6,"99% Selfing",3000
"31","f3","DFE2","Simulated DFE",0.157299207050284,0,1,"0% Selfing",3000
"32","f3","DFE2","Simulated DFE",0.157299207050284,0,2,"50% Selfing",3000
"33","f3","DFE2","Simulated DFE",0.157299207050284,0,6,"99% Selfing",3000
"34","f3","DFE3","Simulated DFE",0.613522264774418,0,1,"0% Selfing",3000
"35","f3","DFE3","Simulated DFE",0.613522264774418,0,2,"50% Selfing",3000
"36","f3","DFE3","Simulated DFE",0.613522264774418,0,6,"99% Selfing",3000
"37","f0","DFE1","Simulated DFE",0.204291490497034,0,NA,"truth",3000
"38","f0","DFE2","Simulated DFE",0.112462916018285,0,NA,"truth",3000
"39","f0","DFE3","Simulated DFE",0.0977430831943102,0,NA,"truth",3000
"40","f1","DFE1","Simulated DFE",0.655391553835657,0,NA,"truth",3000
"41","f1","DFE2","Simulated DFE",0.232816237963138,0,NA,"truth",3000
"42","f1","DFE3","Simulated DFE",0.0971585977061945,0,NA,"truth",3000
"43","f2","DFE1","Simulated DFE",0.140316945048907,0,NA,"truth",3000
"44","f2","DFE2","Simulated DFE",0.497421638968293,0,NA,"truth",3000
"45","f2","DFE3","Simulated DFE",0.191576054325077,0,NA,"truth",3000
"46","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,NA,"truth",3000
"47","f3","DFE2","Simulated DFE",0.157299207050284,0,NA,"truth",3000
"48","f3","DFE3","Simulated DFE",0.613522264774418,0,NA,"truth",3000
"49","f0","DFE1","0",0.23641229436201,0.00551585352329438,NA,"0% Selfing",3000
"50","f0","DFE2","0",0.118083765955645,0.0037538402367105,NA,"0% Selfing",3000
"51","f0","DFE3","0",0.102397745860697,0.00328964135032576,NA,"0% Selfing",3000
"52","f0","DFE1","50",0.227296633645272,0.0223587322118515,NA,"50% Selfing",3000
"53","f0","DFE2","50",0.120876718176917,0.00893012414151336,NA,"50% Selfing",3000
"54","f0","DFE3","50",0.106158770747957,0.00643431418017224,NA,"50% Selfing",3000
"55","f0","DFE1","99",0.573424238493923,0.0253565276703106,NA,"99% Selfing",3000
"56","f0","DFE2","99",0.402698206027773,0.0118367202607094,NA,"99% Selfing",3000
"57","f0","DFE3","99",0.214448013376226,0.009672879637554,NA,"99% Selfing",3000
"58","f1","DFE1","0",0.596506014859457,0.0207377208863507,NA,"0% Selfing",3000
"59","f1","DFE2","0",0.227181106859758,0.00873745314984382,NA,"0% Selfing",3000
"60","f1","DFE3","0",0.0999202744341008,0.00247862912705011,NA,"0% Selfing",3000
"61","f1","DFE1","50",0.623561706633597,0.0550374358906556,NA,"50% Selfing",3000
"62","f1","DFE2","50",0.229096296134004,0.00596254651863103,NA,"50% Selfing",3000
"63","f1","DFE3","50",0.0983181042638647,0.00198084068776377,NA,"50% Selfing",3000
"64","f1","DFE1","99",0.334457434481618,0.0208211934449029,NA,"99% Selfing",3000
"65","f1","DFE2","99",0.400173362547285,0.0361276068082172,NA,"99% Selfing",3000
"66","f1","DFE3","99",0.172982301050878,0.0186607479012895,NA,"99% Selfing",3000
"67","f2","DFE1","0",0.167080895483439,0.0174075067865264,NA,"0% Selfing",3000
"68","f2","DFE2","0",0.480838916266068,0.0121445450433493,NA,"0% Selfing",3000
"69","f2","DFE3","0",0.19526391698899,0.00910241271625528,NA,"0% Selfing",3000
"70","f2","DFE1","50",0.149141294198045,0.0334218814155431,NA,"50% Selfing",3000
"71","f2","DFE2","50",0.480083650455624,0.0135914373890891,NA,"50% Selfing",3000
"72","f2","DFE3","50",0.187897316918705,0.00995909558729406,NA,"50% Selfing",3000
"73","f2","DFE1","99",0.0920058433013083,0.0316110014028123,NA,"99% Selfing",3000
"74","f2","DFE2","99",0.19609429454325,0.0317653747282567,NA,"99% Selfing",3000
"75","f2","DFE3","99",0.292779178297064,0.0400377567784355,NA,"99% Selfing",3000
"76","f3","DFE1","0",7.95295093969361e-07,8.21976188004059e-07,NA,"0% Selfing",3000
"77","f3","DFE2","0",0.17389621091853,0.0206690154615229,NA,"0% Selfing",3000
"78","f3","DFE3","0",0.602418062716212,0.00936827797033507,NA,"0% Selfing",3000
"79","f3","DFE1","50",3.65523085649189e-07,4.55002145664393e-07,NA,"50% Selfing",3000
"80","f3","DFE2","50",0.169943335233455,0.0135023252345751,NA,"50% Selfing",3000
"81","f3","DFE3","50",0.607625808069474,0.00592375601408916,NA,"50% Selfing",3000
"82","f3","DFE1","99",0.00011248372315098,0.000235110643502956,NA,"99% Selfing",3000
"83","f3","DFE2","99",0.00103413688169192,0.00168753349514477,NA,"99% Selfing",3000
"84","f3","DFE3","99",0.319790507275832,0.0527810523777609,NA,"99% Selfing",3000
"85","f0","DFE1","0_grapes",0.232286521660871,0.0275900363364966,NA,"0% Selfing",3000
"86","f0","DFE2","0_grapes",0.115173724901999,0.00568481144287116,NA,"0% Selfing",3000
"87","f0","DFE3","0_grapes",0.100698934905652,0.00682411308671402,NA,"0% Selfing",3000
"88","f0","DFE1","50_grapes",0.219319647745963,0.0219751833926804,NA,"50% Selfing",3000
"89","f0","DFE2","50_grapes",0.122645805684185,0.0158788751783401,NA,"50% Selfing",3000
"90","f0","DFE3","50_grapes",0.106143836666074,0.0084219667537,NA,"50% Selfing",3000
"91","f0","DFE1","99_grapes",0.569971164499234,0.0503829790243491,NA,"99% Selfing",3000
"92","f0","DFE2","99_grapes",0.394155040485233,0.124182732602154,NA,"99% Selfing",3000
"93","f0","DFE3","99_grapes",0.286627362101608,0.0930608853763375,NA,"99% Selfing",3000
"94","f1","DFE1","0_grapes",0.602385322128286,0.0616059542543005,NA,"0% Selfing",3000
"95","f1","DFE2","0_grapes",0.232621423669309,0.00744307127500855,NA,"0% Selfing",3000
"96","f1","DFE3","0_grapes",0.10839429219337,0.00251574600621937,NA,"0% Selfing",3000
"97","f1","DFE1","50_grapes",0.639834054391203,0.0310209497741096,NA,"50% Selfing",3000
"98","f1","DFE2","50_grapes",0.231773157979262,0.00888149456373476,NA,"50% Selfing",3000
"99","f1","DFE3","50_grapes",0.106618852107694,0.00198044695709371,NA,"50% Selfing",3000
"100","f1","DFE1","99_grapes",0.376482504686734,0.0311535022501308,NA,"99% Selfing",3000
"101","f1","DFE2","99_grapes",0.35058588436347,0.0749682846295598,NA,"99% Selfing",3000
"102","f1","DFE3","99_grapes",0.129546644009722,0.0176162566169117,NA,"99% Selfing",3000
"103","f2","DFE1","0_grapes",0.165326094923686,0.0354158946469472,NA,"0% Selfing",3000
"104","f2","DFE2","0_grapes",0.492715437450864,0.0124647600993205,NA,"0% Selfing",3000
"105","f2","DFE3","0_grapes",0.221327776656533,0.014233125468128,NA,"0% Selfing",3000
"106","f2","DFE1","50_grapes",0.140846244964917,0.0112608642333239,NA,"50% Selfing",3000
"107","f2","DFE2","50_grapes",0.481519158606069,0.0298996262464873,NA,"50% Selfing",3000
"108","f2","DFE3","50_grapes",0.210994444392889,0.0124948234940642,NA,"50% Selfing",3000
"109","f2","DFE1","99_grapes",0.0535459163138972,0.0246352944265573,NA,"99% Selfing",3000
"110","f2","DFE2","99_grapes",0.25050559800844,0.0565036772695548,NA,"99% Selfing",3000
"111","f2","DFE3","99_grapes",0.193012191913392,0.046504497546696,NA,"99% Selfing",3000
"112","f3","DFE1","0_grapes",2.06128715689591e-06,2.27117677052919e-06,NA,"0% Selfing",3000
"113","f3","DFE2","0_grapes",0.159489413977828,0.0170440207992927,NA,"0% Selfing",3000
"114","f3","DFE3","0_grapes",0.569578996244444,0.0107124687716082,NA,"0% Selfing",3000
"115","f3","DFE1","50_grapes",5.2897916996697e-08,5.46231144555975e-08,NA,"50% Selfing",3000
"116","f3","DFE2","50_grapes",0.164061877730484,0.0239516850432142,NA,"50% Selfing",3000
"117","f3","DFE3","50_grapes",0.576242866833342,0.00729647294887161,NA,"50% Selfing",3000
"118","f3","DFE1","99_grapes",4.14500135326179e-07,7.60994778257017e-07,NA,"99% Selfing",3000
"119","f3","DFE2","99_grapes",0.00475347714285727,0.0041288030583764,NA,"99% Selfing",3000
"120","f3","DFE3","99_grapes",0.390813801975278,0.0519450731404024,NA,"99% Selfing",3000
