Alleles Observed-SFS Expected
0 0.986736 0.986736
1 0.004672 0.004481
2 0.001781 0.002092
3 0.001344 0.001252
4 0.000827 0.000846
5 0.000645 0.000612
6 0.000363 0.000464
7 0.000405 0.000364
8 0.000299 0.000293
9 0.000235 0.000241
10 0.000144 0.000202
11 0.000192 0.000172
12 0.000133 0.000149
13 0.000165 0.000131
14 0.000133 0.000116
15 0.000101 0.000104
16 0.000107 0.000094
17 0.000101 0.000086
18 0.000085 0.000080
19 0.000080 0.000074
20 0.000075 0.000069
21 0.000069 0.000066
22 0.000085 0.000062
23 0.000085 0.000059
24 0.000059 0.000057
25 0.000053 0.000054
26 0.000059 0.000053
27 0.000064 0.000051
28 0.000059 0.000049
29 0.000059 0.000048
30 0.000059 0.000047
31 0.000027 0.000046
32 0.000053 0.000045
33 0.000027 0.000044
34 0.000053 0.000043
35 0.000021 0.000043
36 0.000037 0.000042
37 0.000048 0.000041
38 0.000032 0.000041
39 0.000048 0.000041
40 0.000021 0.000040
41 0.000048 0.000040
42 0.000032 0.000040
43 0.000069 0.000039
44 0.000059 0.000039
45 0.000021 0.000039
46 0.000032 0.000039
47 0.000048 0.000039
48 0.000021 0.000039
49 0.000016 0.000038
50 0.000011 0.000019
