dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,obs_specS20,obs_specS21,obs_specS22,obs_specS23,obs_specS24,obs_specS25,obs_specS26,obs_specS27,obs_specS28,obs_specS29,obs_specS30,obs_specS31,obs_specS32,obs_specS33,obs_specS34,obs_specS35,obs_specS36,obs_specS37,obs_specS38,obs_specS39,obs_specS40,obs_specS41,obs_specS42,obs_specS43,obs_specS44,obs_specS45,obs_specS46,obs_specS47,obs_specS48,obs_specS49,obs_specS50,obs_specS51,obs_specS52,obs_specS53,obs_specS54,obs_specS55,obs_specS56,obs_specS57,obs_specS58,obs_specS59,obs_specS60,obs_specS61,obs_specS62,obs_specS63,obs_specS64,obs_specS65,obs_specS66,obs_specS67,obs_specS68,obs_specS69,obs_specS70,obs_specS71,obs_specS72,obs_specS73,obs_specS74,obs_specS75,obs_specS76,obs_specS77,obs_specS78,obs_specS79,obs_specS80,obs_specS81,obs_specS82,obs_specS83,obs_specS84,obs_specS85,obs_specS86,obs_specS87,obs_specS88,obs_specS89,obs_specS90,obs_specS91,obs_specS92,obs_specS93,obs_specS94,obs_specS95,obs_specS96,obs_specS97,obs_specS98,obs_specS99,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,exp_specS20,exp_specS21,exp_specS22,exp_specS23,exp_specS24,exp_specS25,exp_specS26,exp_specS27,exp_specS28,exp_specS29,exp_specS30,exp_specS31,exp_specS32,exp_specS33,exp_specS34,exp_specS35,exp_specS36,exp_specS37,exp_specS38,exp_specS39,exp_specS40,exp_specS41,exp_specS42,exp_specS43,exp_specS44,exp_specS45,exp_specS46,exp_specS47,exp_specS48,exp_specS49,exp_specS50,exp_specS51,exp_specS52,exp_specS53,exp_specS54,exp_specS55,exp_specS56,exp_specS57,exp_specS58,exp_specS59,exp_specS60,exp_specS61,exp_specS62,exp_specS63,exp_specS64,exp_specS65,exp_specS66,exp_specS67,exp_specS68,exp_specS69,exp_specS70,exp_specS71,exp_specS72,exp_specS73,exp_specS74,exp_specS75,exp_specS76,exp_specS77,exp_specS78,exp_specS79,exp_specS80,exp_specS81,exp_specS82,exp_specS83,exp_specS84,exp_specS85,exp_specS86,exp_specS87,exp_specS88,exp_specS89,exp_specS90,exp_specS91,exp_specS92,exp_specS93,exp_specS94,exp_specS95,exp_specS96,exp_specS97,exp_specS98,exp_specS99,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,obs_specN20,obs_specN21,obs_specN22,obs_specN23,obs_specN24,obs_specN25,obs_specN26,obs_specN27,obs_specN28,obs_specN29,obs_specN30,obs_specN31,obs_specN32,obs_specN33,obs_specN34,obs_specN35,obs_specN36,obs_specN37,obs_specN38,obs_specN39,obs_specN40,obs_specN41,obs_specN42,obs_specN43,obs_specN44,obs_specN45,obs_specN46,obs_specN47,obs_specN48,obs_specN49,obs_specN50,obs_specN51,obs_specN52,obs_specN53,obs_specN54,obs_specN55,obs_specN56,obs_specN57,obs_specN58,obs_specN59,obs_specN60,obs_specN61,obs_specN62,obs_specN63,obs_specN64,obs_specN65,obs_specN66,obs_specN67,obs_specN68,obs_specN69,obs_specN70,obs_specN71,obs_specN72,obs_specN73,obs_specN74,obs_specN75,obs_specN76,obs_specN77,obs_specN78,obs_specN79,obs_specN80,obs_specN81,obs_specN82,obs_specN83,obs_specN84,obs_specN85,obs_specN86,obs_specN87,obs_specN88,obs_specN89,obs_specN90,obs_specN91,obs_specN92,obs_specN93,obs_specN94,obs_specN95,obs_specN96,obs_specN97,obs_specN98,obs_specN99,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,exp_specN20,exp_specN21,exp_specN22,exp_specN23,exp_specN24,exp_specN25,exp_specN26,exp_specN27,exp_specN28,exp_specN29,exp_specN30,exp_specN31,exp_specN32,exp_specN33,exp_specN34,exp_specN35,exp_specN36,exp_specN37,exp_specN38,exp_specN39,exp_specN40,exp_specN41,exp_specN42,exp_specN43,exp_specN44,exp_specN45,exp_specN46,exp_specN47,exp_specN48,exp_specN49,exp_specN50,exp_specN51,exp_specN52,exp_specN53,exp_specN54,exp_specN55,exp_specN56,exp_specN57,exp_specN58,exp_specN59,exp_specN60,exp_specN61,exp_specN62,exp_specN63,exp_specN64,exp_specN65,exp_specN66,exp_specN67,exp_specN68,exp_specN69,exp_specN70,exp_specN71,exp_specN72,exp_specN73,exp_specN74,exp_specN75,exp_specN76,exp_specN77,exp_specN78,exp_specN79,exp_specN80,exp_specN81,exp_specN82,exp_specN83,exp_specN84,exp_specN85,exp_specN86,exp_specN87,exp_specN88,exp_specN89,exp_specN90,exp_specN91,exp_specN92,exp_specN93,exp_specN94,exp_specN95,exp_specN96,exp_specN97,exp_specN98,exp_specN99,obs_dS,exp_dS,obs_dN,exp_dN
output3.txt,7156.0000,562500.0000,3122.0000,187500.0000,1129.0000,562500.0000,1210.0000,187500.0000,Neutral,103,-601.7946,-1.4566,NA, NA,-0.4530,NA,NA,NA,NA,NA,NA,0.232081,0.0150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,654.0000,335.0000,245.0000,135.0000,125.0000,83.0000,89.0000,79.0000,73.0000,58.0000,55.0000,57.0000,42.0000,46.0000,44.0000,28.0000,36.0000,29.0000,24.0000,33.0000,22.0000,13.0000,21.0000,32.0000,19.0000,15.0000,28.0000,21.0000,17.0000,17.0000,17.0000,16.0000,13.0000,15.0000,12.0000,10.0000,12.0000,10.0000,17.0000,13.0000,18.0000,20.0000,14.0000,16.0000,9.0000,19.0000,14.0000,9.0000,8.0000,16.0000,18.0000,9.0000,7.0000,8.0000,7.0000,5.0000,11.0000,12.0000,7.0000,10.0000,18.0000,4.0000,6.0000,8.0000,7.0000,9.0000,9.0000,9.0000,6.0000,5.0000,10.0000,2.0000,4.0000,9.0000,4.0000,9.0000,6.0000,6.0000,7.0000,11.0000,6.0000,3.0000,7.0000,6.0000,4.0000,11.0000,4.0000,6.0000,5.0000,9.0000,5.0000,7.0000,6.0000,6.0000,6.0000,10.0000,10.0000,4.0000,11.0000,798.5735,365.4180,250.5984,164.9393,140.3351,109.3520,91.7342,77.4577,67.7375,59.5361,58.0173,49.5122,40.0957,40.3995,37.3619,29.1605,31.2868,28.5530,24.3004,29.1605,22.1742,19.7441,20.6554,23.0854,15.7953,13.9728,20.3516,15.1878,15.1878,14.8840,14.5803,12.1502,12.4540,10.9352,10.3277,10.9352,8.2014,9.1127,10.3277,9.7202,14.5803,10.0239,8.2014,8.8089,8.5052,9.7202,9.1127,7.8976,9.1127,8.8089,12.4540,5.1638,6.3789,6.6826,4.8601,5.1638,6.6826,8.5052,5.1638,6.3789,7.8976,3.9488,5.1638,5.1638,3.9488,4.2526,4.5563,6.0751,4.8601,3.6451,6.6826,2.1263,4.2526,4.5563,4.5563,7.2901,3.3413,5.4676,3.3413,5.7714,4.2526,2.7338,4.5563,5.1638,2.7338,5.4676,3.0376,4.5563,3.9488,5.4676,3.3413,3.0376,4.2526,3.6451,4.5563,4.2526,5.4676,3.3413,5.7714,1975.0000,868.0000,580.0000,408.0000,337.0000,277.0000,213.0000,176.0000,150.0000,138.0000,136.0000,106.0000,90.0000,87.0000,79.0000,68.0000,67.0000,65.0000,56.0000,63.0000,51.0000,52.0000,47.0000,44.0000,33.0000,31.0000,39.0000,29.0000,33.0000,32.0000,31.0000,24.0000,28.0000,21.0000,22.0000,26.0000,15.0000,20.0000,17.0000,19.0000,30.0000,13.0000,13.0000,13.0000,19.0000,13.0000,16.0000,17.0000,22.0000,13.0000,23.0000,8.0000,14.0000,14.0000,9.0000,12.0000,11.0000,16.0000,10.0000,11.0000,8.0000,9.0000,11.0000,9.0000,6.0000,5.0000,6.0000,11.0000,10.0000,7.0000,12.0000,5.0000,10.0000,6.0000,11.0000,15.0000,5.0000,12.0000,4.0000,8.0000,8.0000,6.0000,8.0000,11.0000,5.0000,7.0000,6.0000,9.0000,8.0000,9.0000,6.0000,3.0000,8.0000,6.0000,9.0000,4.0000,8.0000,7.0000,8.0000,1830.4265,837.5820,574.4016,378.0607,321.6649,250.6480,210.2658,177.5423,155.2625,136.4639,132.9827,113.4878,91.9043,92.6005,85.6381,66.8395,71.7132,65.4470,55.6996,66.8395,50.8258,45.2559,47.3446,52.9146,36.2047,32.0272,46.6484,34.8122,34.8122,34.1160,33.4197,27.8498,28.5460,25.0648,23.6723,25.0648,18.7986,20.8873,23.6723,22.2798,33.4197,22.9761,18.7986,20.1911,19.4948,22.2798,20.8873,18.1024,20.8873,20.1911,28.5460,11.8362,14.6211,15.3174,11.1399,11.8362,15.3174,19.4948,11.8362,14.6211,18.1024,9.0512,11.8362,11.8362,9.0512,9.7474,10.4437,13.9249,11.1399,8.3549,15.3174,4.8737,9.7474,10.4437,10.4437,16.7099,7.6587,12.5324,7.6587,13.2286,9.7474,6.2662,10.4437,11.8362,6.2662,12.5324,6.9624,10.4437,9.0512,12.5324,7.6587,6.9624,9.7474,8.3549,10.4437,9.7474,12.5324,7.6587,13.2286,1210.0000,1210.0000,1129.0000,1129.0000
output3.txt,7156.0000,562500.0000,3122.0000,187500.0000,1129.0000,562500.0000,1210.0000,187500.0000,GammaZero,104,-521.1569,-0.0762,0.0000,0.0000,-0.0237,0.0000,0.0000,0.0064,1.0698,0.0000,-0.0762,NA,NA,4.276677,0.760993,0.002639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003617,0.929664,0.975615,0.876137,0.950207,0.905328,0.901977,0.885295,0.885182,0.877914,0.955082,0.901839,0.801992,0.881635,0.884588,0.745355,0.859587,0.839957,0.762748,0.973550,0.785176,0.739579,0.816532,0.960995,0.690999,0.641191,0.977930,0.762967,0.796443,0.813614,0.829714,0.718908,0.765274,0.697073,0.682253,0.747883,0.580170,0.666176,0.779576,0.756998,1.170634,0.829113,0.698366,0.771701,0.766066,0.899605,0.866093,0.770400,0.911807,0.903754,1.309377,0.556098,0.703305,0.754009,0.560943,0.609415,0.806083,1.048191,0.650011,0.819733,1.035814,0.528397,0.704745,0.718553,0.560075,0.614600,0.670797,0.910838,0.741859,0.566311,1.056463,0.341960,0.695570,0.757760,0.770289,1.252541,0.583297,0.969578,0.601755,1.055349,0.789381,0.515012,0.870928,1.001278,0.537586,1.090157,0.613905,0.933155,0.819279,1.148769,0.710631,0.653614,0.925194,0.801081,1.010153,0.948953,1.222768,0.741155,1.220849,654.0000,335.0000,245.0000,135.0000,125.0000,83.0000,89.0000,79.0000,73.0000,58.0000,55.0000,57.0000,42.0000,46.0000,44.0000,28.0000,36.0000,29.0000,24.0000,33.0000,22.0000,13.0000,21.0000,32.0000,19.0000,15.0000,28.0000,21.0000,17.0000,17.0000,17.0000,16.0000,13.0000,15.0000,12.0000,10.0000,12.0000,10.0000,17.0000,13.0000,18.0000,20.0000,14.0000,16.0000,9.0000,19.0000,14.0000,9.0000,8.0000,16.0000,18.0000,9.0000,7.0000,8.0000,7.0000,5.0000,11.0000,12.0000,7.0000,10.0000,18.0000,4.0000,6.0000,8.0000,7.0000,9.0000,9.0000,9.0000,6.0000,5.0000,10.0000,2.0000,4.0000,9.0000,4.0000,9.0000,6.0000,6.0000,7.0000,11.0000,6.0000,3.0000,7.0000,6.0000,4.0000,11.0000,4.0000,6.0000,5.0000,9.0000,5.0000,7.0000,6.0000,6.0000,6.0000,10.0000,10.0000,4.0000,11.0000,676.4944,314.4649,220.0116,148.1879,128.5764,102.0893,87.1840,74.8774,66.5512,59.4063,58.7547,50.8577,41.7494,42.6187,39.9121,31.5293,34.2239,31.5856,27.1737,32.9510,25.3108,22.7582,24.0348,27.1097,18.7143,16.6982,24.5257,18.4521,18.5985,18.3672,18.1274,15.2166,15.7080,13.8881,13.2053,14.0744,10.6238,11.8785,13.5450,12.8249,19.3503,13.3798,11.0086,11.8892,11.5411,13.2594,12.4950,10.8840,12.6201,12.2597,17.4157,7.2551,9.0036,9.4751,6.9217,7.3865,9.6001,12.2701,7.4812,9.2788,11.5345,5.7902,7.6014,7.6308,5.8575,6.3318,6.8092,9.1121,7.3160,5.5066,10.1310,3.2347,6.4918,6.9793,7.0029,11.2423,5.1699,8.4878,5.2041,9.0184,6.6669,4.2999,7.1900,8.1756,4.3425,8.7145,4.8580,7.3125,6.3605,8.8402,5.4240,4.9522,6.9663,6.0040,7.5547,7.1115,9.2570,5.7793,10.5270,1975.0000,868.0000,580.0000,408.0000,337.0000,277.0000,213.0000,176.0000,150.0000,138.0000,136.0000,106.0000,90.0000,87.0000,79.0000,68.0000,67.0000,65.0000,56.0000,63.0000,51.0000,52.0000,47.0000,44.0000,33.0000,31.0000,39.0000,29.0000,33.0000,32.0000,31.0000,24.0000,28.0000,21.0000,22.0000,26.0000,15.0000,20.0000,17.0000,19.0000,30.0000,13.0000,13.0000,13.0000,19.0000,13.0000,16.0000,17.0000,22.0000,13.0000,23.0000,8.0000,14.0000,14.0000,9.0000,12.0000,11.0000,16.0000,10.0000,11.0000,8.0000,9.0000,11.0000,9.0000,6.0000,5.0000,6.0000,11.0000,10.0000,7.0000,12.0000,5.0000,10.0000,6.0000,11.0000,15.0000,5.0000,12.0000,4.0000,8.0000,8.0000,6.0000,8.0000,11.0000,5.0000,7.0000,6.0000,9.0000,8.0000,9.0000,6.0000,3.0000,8.0000,6.0000,9.0000,4.0000,8.0000,7.0000,8.0000,1952.5056,888.5351,604.9884,394.8121,333.4236,257.9107,214.8160,180.1226,156.4488,136.5937,132.2453,112.1423,90.2506,90.3813,83.0879,64.4707,68.7761,62.4144,52.8263,63.0490,47.6892,42.2418,43.9652,48.8903,33.2857,29.3018,42.4743,31.5479,31.4015,30.6328,29.8726,24.7834,25.2920,22.1119,20.7947,21.9256,16.3762,18.1215,20.4550,19.1751,28.6497,19.6202,15.9914,17.1108,16.4589,18.7406,17.5050,15.1160,17.3799,16.7403,23.5843,9.7449,11.9964,12.5249,9.0783,9.6135,12.3999,15.7299,9.5188,11.7212,14.4655,7.2098,9.3986,9.3692,7.1425,7.6682,8.1908,10.8879,8.6840,6.4934,11.8690,3.7653,7.5082,8.0207,7.9971,12.7577,5.8301,9.5122,5.7959,9.9816,7.3331,4.7001,7.8100,8.8244,4.6575,9.2855,5.1420,7.6875,6.6395,9.1598,5.5760,5.0478,7.0337,5.9960,7.4453,6.8885,8.7430,5.2207,8.4730,1210.0000,1210.0000,1129.0000,1129.0000
output3.txt,7156.0000,562500.0000,3122.0000,187500.0000,1129.0000,562500.0000,1210.0000,187500.0000,Saturated,200,-473.7320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,654.0000,335.0000,245.0000,135.0000,125.0000,83.0000,89.0000,79.0000,73.0000,58.0000,55.0000,57.0000,42.0000,46.0000,44.0000,28.0000,36.0000,29.0000,24.0000,33.0000,22.0000,13.0000,21.0000,32.0000,19.0000,15.0000,28.0000,21.0000,17.0000,17.0000,17.0000,16.0000,13.0000,15.0000,12.0000,10.0000,12.0000,10.0000,17.0000,13.0000,18.0000,20.0000,14.0000,16.0000,9.0000,19.0000,14.0000,9.0000,8.0000,16.0000,18.0000,9.0000,7.0000,8.0000,7.0000,5.0000,11.0000,12.0000,7.0000,10.0000,18.0000,4.0000,6.0000,8.0000,7.0000,9.0000,9.0000,9.0000,6.0000,5.0000,10.0000,2.0000,4.0000,9.0000,4.0000,9.0000,6.0000,6.0000,7.0000,11.0000,6.0000,3.0000,7.0000,6.0000,4.0000,11.0000,4.0000,6.0000,5.0000,9.0000,5.0000,7.0000,6.0000,6.0000,6.0000,10.0000,10.0000,4.0000,11.0000,654.0000,335.0000,245.0000,135.0000,125.0000,83.0000,89.0000,79.0000,73.0000,58.0000,55.0000,57.0000,42.0000,46.0000,44.0000,28.0000,36.0000,29.0000,24.0000,33.0000,22.0000,13.0000,21.0000,32.0000,19.0000,15.0000,28.0000,21.0000,17.0000,17.0000,17.0000,16.0000,13.0000,15.0000,12.0000,10.0000,12.0000,10.0000,17.0000,13.0000,18.0000,20.0000,14.0000,16.0000,9.0000,19.0000,14.0000,9.0000,8.0000,16.0000,18.0000,9.0000,7.0000,8.0000,7.0000,5.0000,11.0000,12.0000,7.0000,10.0000,18.0000,4.0000,6.0000,8.0000,7.0000,9.0000,9.0000,9.0000,6.0000,5.0000,10.0000,2.0000,4.0000,9.0000,4.0000,9.0000,6.0000,6.0000,7.0000,11.0000,6.0000,3.0000,7.0000,6.0000,4.0000,11.0000,4.0000,6.0000,5.0000,9.0000,5.0000,7.0000,6.0000,6.0000,6.0000,10.0000,10.0000,4.0000,11.0000,1975.0000,868.0000,580.0000,408.0000,337.0000,277.0000,213.0000,176.0000,150.0000,138.0000,136.0000,106.0000,90.0000,87.0000,79.0000,68.0000,67.0000,65.0000,56.0000,63.0000,51.0000,52.0000,47.0000,44.0000,33.0000,31.0000,39.0000,29.0000,33.0000,32.0000,31.0000,24.0000,28.0000,21.0000,22.0000,26.0000,15.0000,20.0000,17.0000,19.0000,30.0000,13.0000,13.0000,13.0000,19.0000,13.0000,16.0000,17.0000,22.0000,13.0000,23.0000,8.0000,14.0000,14.0000,9.0000,12.0000,11.0000,16.0000,10.0000,11.0000,8.0000,9.0000,11.0000,9.0000,6.0000,5.0000,6.0000,11.0000,10.0000,7.0000,12.0000,5.0000,10.0000,6.0000,11.0000,15.0000,5.0000,12.0000,4.0000,8.0000,8.0000,6.0000,8.0000,11.0000,5.0000,7.0000,6.0000,9.0000,8.0000,9.0000,6.0000,3.0000,8.0000,6.0000,9.0000,4.0000,8.0000,7.0000,8.0000,1975.0000,868.0000,580.0000,408.0000,337.0000,277.0000,213.0000,176.0000,150.0000,138.0000,136.0000,106.0000,90.0000,87.0000,79.0000,68.0000,67.0000,65.0000,56.0000,63.0000,51.0000,52.0000,47.0000,44.0000,33.0000,31.0000,39.0000,29.0000,33.0000,32.0000,31.0000,24.0000,28.0000,21.0000,22.0000,26.0000,15.0000,20.0000,17.0000,19.0000,30.0000,13.0000,13.0000,13.0000,19.0000,13.0000,16.0000,17.0000,22.0000,13.0000,23.0000,8.0000,14.0000,14.0000,9.0000,12.0000,11.0000,16.0000,10.0000,11.0000,8.0000,9.0000,11.0000,9.0000,6.0000,5.0000,6.0000,11.0000,10.0000,7.0000,12.0000,5.0000,10.0000,6.0000,11.0000,15.0000,5.0000,12.0000,4.0000,8.0000,8.0000,6.0000,8.0000,11.0000,5.0000,7.0000,6.0000,9.0000,8.0000,9.0000,6.0000,3.0000,8.0000,6.0000,9.0000,4.0000,8.0000,7.0000,8.0000,1210.0000,1210.0000,1129.0000,1129.0000
