Alleles Observed-SFS Expected
0 0.994599 0.994605
1 0.001918 0.001803
2 0.000668 0.000796
3 0.000402 0.000426
4 0.000284 0.000280
5 0.000201 0.000206
6 0.000164 0.000162
7 0.000142 0.000133
8 0.000123 0.000113
9 0.000094 0.000097
10 0.000096 0.000086
11 0.000078 0.000076
12 0.000087 0.000069
13 0.000073 0.000063
14 0.000048 0.000058
15 0.000032 0.000053
16 0.000062 0.000050
17 0.000059 0.000046
18 0.000039 0.000044
19 0.000037 0.000041
20 0.000043 0.000039
21 0.000048 0.000037
22 0.000044 0.000035
23 0.000025 0.000034
24 0.000027 0.000033
25 0.000032 0.000031
26 0.000025 0.000030
27 0.000041 0.000029
28 0.000023 0.000028
29 0.000023 0.000028
30 0.000025 0.000027
31 0.000016 0.000026
32 0.000016 0.000025
33 0.000025 0.000025
34 0.000025 0.000024
35 0.000025 0.000024
36 0.000032 0.000024
37 0.000014 0.000023
38 0.000011 0.000023
39 0.000030 0.000022
40 0.000030 0.000022
41 0.000036 0.000022
42 0.000021 0.000022
43 0.000027 0.000022
44 0.000018 0.000021
45 0.000021 0.000021
46 0.000021 0.000021
47 0.000020 0.000021
48 0.000027 0.000021
49 0.000016 0.000021
50 0.000007 0.000010
