Alleles Observed-SFS Expected
0 0.998441 0.998507
1 0.000860 0.000720
2 0.000226 0.000254
3 0.000132 0.000120
4 0.000046 0.000067
5 0.000028 0.000042
6 0.000020 0.000029
7 0.000009 0.000021
8 0.000007 0.000017
9 0.000009 0.000014
10 0.000014 0.000012
11 0.000004 0.000010
12 0.000004 0.000009
13 0.000011 0.000009
14 0.000005 0.000008
15 0.000002 0.000007
16 0.000004 0.000007
17 0.000002 0.000007
18 0.000004 0.000006
19 0.000000 0.000006
20 0.000004 0.000006
21 0.000007 0.000006
22 0.000004 0.000005
23 0.000018 0.000005
24 0.000016 0.000005
25 0.000018 0.000005
26 0.000005 0.000005
27 0.000004 0.000005
28 0.000014 0.000004
29 0.000005 0.000004
30 0.000004 0.000004
31 0.000004 0.000004
32 0.000000 0.000004
33 0.000005 0.000004
34 0.000004 0.000004
35 0.000002 0.000004
36 0.000000 0.000004
37 0.000004 0.000004
38 0.000004 0.000004
39 0.000002 0.000004
40 0.000004 0.000004
41 0.000007 0.000004
42 0.000004 0.000004
43 0.000002 0.000004
44 0.000004 0.000004
45 0.000004 0.000004
46 0.000004 0.000004
47 0.000007 0.000004
48 0.000009 0.000004
49 0.000009 0.000004
50 0.000002 0.000002
