DFE selfing site posn_avg posn_sd S_avg S_sd thetapi_avg thetapi_sd thetaw_avg thetaw_sd thetah_avg thetah_sd hprime_avg hprime_sd tajimasd_avg tajimasd_sd numSing_avg numSing_sd hapdiv_avg hapdiv_sd rsq_avg rsq_sd D_avg D_sd Dprime_avg Dprime_sd B_avg B_sd empirical_Ne_avg empirical_Ne_sd gamma_avg gamma_sd b_avg b_sd GammaZero.negGmean_avg GammaZero.negGmean_sd GammaZero.negGshape_avg GammaZero.negGshape_sd selfing_Ne_avg selfing_Ne_sd newNE_avg newNE_sd thetadelta_avg thetadelta_sd selfing_B_avg selfing_B_sd s_dfealpha_avg s_dfealpha_sd s_grapes_avg s_grapes_sd faywuh_avg faywuh_sd true_gamma_avg true_gamma_sd true_s_avg true_s_sd true_beta_avg true_beta_sd gammaerror_avg gammaerror_sd serror_avg serror_sd betaerror_avg betaerror_sd UoverR
DFE1 0 selected 250.5 0 27.2168 0.205808648992213 3.9201204040404 0.0434914963784767 5.25686989354568 0.0397515244524881 2.65541090909091 0.0336950509821203 0.355323743533598 0.0135923792753382 -0.762276416452028 0.016319856903 7.1884 0.148616284437473 0.960615757575758 0.00171611886915331 0.0249569184513994 0.000148435437005362 0.000279766650897167 3.40117022844739e-05 -0.922499433715006 0.0012712661881292 0.949197705050505 0 4745.98852525252 0 5.40328378 0 0.74274 0 5.4262488 0 0.7704074 0 5000 0 4745.98852525252 0 0.25424200958489 0.00551182028603852 0.949197705050505 0 -0.000569387946821018 0 -0.00057191576040576 0 1.26470949494949 0.0519782989070407 -5 0 -5e-04 0 0.9 0 0.086403028 0 0.138775893642037 0 0.174733333333333 0 0.211538461538462
DFE1 50 selected 250.5 0 20.3184 0.285987412310403 2.93986375757576 0.071471726217843 3.92445788061119 0.0552378904833628 2.00631806060606 0.0626683678297777 0.337658153147616 0.0185563252669419 -0.724548767133371 0.0259066372032654 5.3216 0.0599899991665279 0.909942141414141 0.00497148476014307 0.0313438092451294 0.000773176063546505 0.000454066960124811 6.71051449506317e-05 -0.919293788130317 0.00326981169676922 0.702314925252525 0 3511.57462626263 0 5.117828524 0 0.81656 0 4.9675618 0 0.8517128 0 3750 0 4761.57462626263 0 0.251414191797321 0.00944041751537694 0.9364199003367 0 -0.000546522509353131 0 -0.000530764944628046 0 0.933545696969697 0.063795691016192 -5 0 -5e-04 0 0.9 0 0.0824899048 0 0.129096989355282 0 0.177511111111111 0 0.317307692307692
DFE1 80 selected 250.5 0 15.8872 0.1773730531958 2.27669511111111 0.0327961232446081 3.06858055953451 0.0342592466150052 1.53652509090909 0.0781056344529682 0.328349792404131 0.0323775420704411 -0.720434957780003 0.0497894643993891 4.2828 0.123106457994697 0.834199676767677 0.00460322358491492 0.0413581836642092 0.000803891952859192 0.00107341001405207 0.000169339960647147 -0.911488283556233 0.00121568420647794 0.532751870707071 0 2663.75935353535 0 4.266403404 0 1.00378 0 4.4970756 0 0.9261912 0 3000 0 4663.75935353535 0 0.260979196418423 0.0177866357388494 0.887919784511784 0 -0.000479469886764548 0 -0.000505945262008514 0 0.74017002020202 0.0659317645754661 -5 0 -5e-04 0 0.9 0 0.1467193192 0 0.0847973846519616 0 0.237222222222222 0 0.634615384615385
DFE1 90 selected 250.5 0 13.986 0.230004347784993 1.98953074747475 0.0359035137871355 2.70136762334771 0.0444248747558691 1.36284905050505 0.047995881579092 0.310574640031113 0.0167936080186579 -0.720193426395332 0.0173687548725709 3.7676 0.103483331991195 0.782423434343434 0.00571268335791876 0.0492514505023568 0.000996868091031524 0.00143659105560633 0.000276685113181558 -0.90836682362251 0.00348806482466097 0.452773333333333 0 2263.86666666667 0 4.802400732 0 0.78146 0 5.2508492 0 0.651357 0 2750 0 4513.86666666667 0 0.267031103770986 0.00694243238224893 0.823224242424242 0 -0.000581494935792357 0 -0.000635923302282379 0 0.626681696969697 0.0447254988218668 -5 0 -5e-04 0 0.9 0 0.1607984744 0 0.188750671230293 0 0.175133333333333 0 1.16346153846154
DFE1 95 selected 250.5 0 12.4488 0.416978656528125 1.71259111111111 0.0305441255963912 2.40446055123201 0.0805385844681897 1.1940997979798 0.0384609422108634 0.28029733747738 0.0282371514894833 -0.768492506838145 0.0433540011715781 3.6496 0.252251461839174 0.718066343434344 0.00778811916148324 0.0576386838797058 0.0030525382429016 0.00256184881221152 0.000428046173265307 -0.904667681131162 0.00547527752031912 0.369953325252525 0 1849.76662626262 0 4.00008188 0 0.67662 0 4.4152314 0 0.5670932 0 2625 0 4224.76662626262 0 0.292363929077531 0.0142442485017565 0.704673000481001 0 -0.000567576212963713 0 -0.000627854069808641 0 0.518491313131313 0.0429585998426244 -5 0 -5e-04 0 0.9 0 0.199983624 0 0.145593125702059 0 0.2482 0 2.22115384615385
DFE1 99 selected 250.5 0 8.3656 0.446258669383576 0.926937373737374 0.111290132450358 1.61579872657497 0.0861939597533979 0.797652525252525 0.10449038250127 0.104015032234337 0.130397393136144 -1.03968716484333 0.0956608710854771 3.2092 0.117495531829938 0.521013090909091 0.0467116488875057 0.0524540840644609 0.00409434415517186 0.00287618102202236 0.000762209329265775 -0.9202670438652 0.00670535876315229 0.166989995959596 0 834.94997979798 0 3.202872604 0 0.25922 0 2.3383876 0 0.3365318 0 2525 0 3309.94997979798 0 0.43578226750121 0.0457533118729202 0.330673259325932 0 -0.000978868030556202 0 -0.000711917503246657 0 0.129284848484849 0.191411726096112 -5 0 -5e-04 0 0.9 0 0.3594254792 0 0.957736061112404 0 0.711977777777778 0 10.6826923076923
DFE2 0 selected 250.5 0 15.8496 0.189543662516054 1.8297974949495 0.0154338287697787 3.06131819555354 0.0366099751988856 1.17949543434343 0.0183835186283658 0.28693965163923 0.00339459188872569 -1.10950603542065 0.0308717723081022 5.6256 0.0710408333284457 0.821617939393939 0.00404684889626296 0.0207318083246076 0.000427438626647436 0.000137290657018538 3.27882796579256e-05 -0.936188473764456 0.00360721435514865 0.930744113131313 0 4653.72056565656 0 54.226458904 0 0.47706 0 50.6042186 0 0.492748 0 5000 0 4653.72056565656 0 0.400475702889847 0.0107564614984092 0.930744113131313 0 -0.00581878507092597 0 -0.00543098123526888 0 0.650302060606061 0.00751902077866885 -50 0 -0.005 0 0.6 0 0.09922188896 0 0.163757014185194 0 0.2049 0 0.211538461538462
DFE2 50 selected 250.5 0 11.7136 0.0877883819192493 1.3671023030303 0.00743374323115153 2.26245815764663 0.0169561484786746 0.899346181818182 0.0353786000977288 0.263218124100764 0.0202090526973821 -1.0332285886672 0.0257305615932143 4.0908 0.107085012956996 0.718896 0.00531271329614963 0.0253947722447435 0.000454039944748076 0.000328476909678512 0.000108141791190975 -0.934065410936724 0.00255347038491772 0.678429123232323 0 3392.14561616162 0 53.117085732 0 0.47358 0 51.9994702 0 0.4750356 0 3750 0 4642.14561616162 0 0.396363515262872 0.0103972598589041 0.904572164309764 0 -0.00587112364699945 0 -0.00575983780707021 0 0.467756121212121 0.0356122314653811 -50 0 -0.005 0 0.6 0 0.07412902216 0 0.174224729399889 0 0.2107 0 0.317307692307692
DFE2 80 selected 250.5 0 8.8016 0.200006999877505 0.998621333333333 0.0269163472477283 1.70001124507773 0.0386309476556556 0.634534222222222 0.0188237864302016 0.247001273218018 0.0176969489735542 -1.00400575261155 0.0482722065065764 3.202 0.134558537447462 0.599745777777778 0.0117185913156062 0.0314287590068119 0.00122502886437978 0.000649032834358944 9.46534581643558e-05 -0.931980418088308 0.00156225109695546 0.488078771717172 0 2440.39385858586 0 45.1368535 0 0.47928 0 44.3963174 0 0.4871794 0 3000 0 4440.39385858586 0 0.412669635684019 0.0198224116144492 0.81346461952862 0 -0.00555418706458317 0 -0.00546173322643813 0 0.364087111111111 0.0221344747615593 -50 0 -0.005 0 0.6 0 0.09726293 0 0.123353843373389 0 0.2012 0 0.634615384615385
DFE2 90 selected 250.5 0 6.9024 0.203427628408729 0.771956525252525 0.0266465064574151 1.33318460484736 0.0392916351406943 0.499267717171717 0.0189439729599414 0.228735792668475 0.0234050655357293 -0.962715259865439 0.0230638236125002 2.5444 0.0539518303674675 0.50157898989899 0.00948376533654632 0.0384215543315469 0.00121427486028971 0.0011498436331266 0.000168537860918256 -0.923828991840594 0.00312817235347254 0.34124244040404 0 1706.2122020202 0 37.870466968 0 0.46556 0 41.8726318 0 0.4500146 0 2750 0 3956.2122020202 0 0.423900647604162 0.010828050193118 0.620440800734619 0 -0.00610552557499793 0 -0.00677610793981669 0 0.272688808080808 0.0332627640071134 -50 0 -0.005 0 0.6 0 0.24259066064 0 0.251070917074928 0 0.224066666666667 0 1.16346153846154
