"","generation","DFE","selfing","value","sd","replicate","selfing_class","scale"
"1","f0","DFE1","Simulated DFE",0.204291490497034,0,1,"0% Selfing",100
"2","f0","DFE1","Simulated DFE",0.204291490497034,0,2,"50% Selfing",100
"3","f0","DFE1","Simulated DFE",0.204291490497034,0,3,"80% Selfing",100
"4","f0","DFE1","Simulated DFE",0.204291490497034,0,4,"90% Selfing",100
"5","f0","DFE1","Simulated DFE",0.204291490497034,0,5,"95% Selfing",100
"6","f0","DFE1","Simulated DFE",0.204291490497034,0,6,"99% Selfing",100
"7","f0","DFE2","Simulated DFE",0.112462916018285,0,1,"0% Selfing",100
"8","f0","DFE2","Simulated DFE",0.112462916018285,0,2,"50% Selfing",100
"9","f0","DFE2","Simulated DFE",0.112462916018285,0,3,"80% Selfing",100
"10","f0","DFE2","Simulated DFE",0.112462916018285,0,4,"90% Selfing",100
"11","f0","DFE2","Simulated DFE",0.112462916018285,0,5,"95% Selfing",100
"12","f0","DFE2","Simulated DFE",0.112462916018285,0,6,"99% Selfing",100
"13","f0","DFE3","Simulated DFE",0.0977430831943102,0,1,"0% Selfing",100
"14","f0","DFE3","Simulated DFE",0.0977430831943102,0,2,"50% Selfing",100
"15","f0","DFE3","Simulated DFE",0.0977430831943102,0,3,"80% Selfing",100
"16","f0","DFE3","Simulated DFE",0.0977430831943102,0,4,"90% Selfing",100
"17","f0","DFE3","Simulated DFE",0.0977430831943102,0,5,"95% Selfing",100
"18","f0","DFE3","Simulated DFE",0.0977430831943102,0,6,"99% Selfing",100
"19","f1","DFE1","Simulated DFE",0.655391553835657,0,1,"0% Selfing",100
"20","f1","DFE1","Simulated DFE",0.655391553835657,0,2,"50% Selfing",100
"21","f1","DFE1","Simulated DFE",0.655391553835657,0,3,"80% Selfing",100
"22","f1","DFE1","Simulated DFE",0.655391553835657,0,4,"90% Selfing",100
"23","f1","DFE1","Simulated DFE",0.655391553835657,0,5,"95% Selfing",100
"24","f1","DFE1","Simulated DFE",0.655391553835657,0,6,"99% Selfing",100
"25","f1","DFE2","Simulated DFE",0.232816237963138,0,1,"0% Selfing",100
"26","f1","DFE2","Simulated DFE",0.232816237963138,0,2,"50% Selfing",100
"27","f1","DFE2","Simulated DFE",0.232816237963138,0,3,"80% Selfing",100
"28","f1","DFE2","Simulated DFE",0.232816237963138,0,4,"90% Selfing",100
"29","f1","DFE2","Simulated DFE",0.232816237963138,0,5,"95% Selfing",100
"30","f1","DFE2","Simulated DFE",0.232816237963138,0,6,"99% Selfing",100
"31","f1","DFE3","Simulated DFE",0.0971585977061945,0,1,"0% Selfing",100
"32","f1","DFE3","Simulated DFE",0.0971585977061945,0,2,"50% Selfing",100
"33","f1","DFE3","Simulated DFE",0.0971585977061945,0,3,"80% Selfing",100
"34","f1","DFE3","Simulated DFE",0.0971585977061945,0,4,"90% Selfing",100
"35","f1","DFE3","Simulated DFE",0.0971585977061945,0,5,"95% Selfing",100
"36","f1","DFE3","Simulated DFE",0.0971585977061945,0,6,"99% Selfing",100
"37","f2","DFE1","Simulated DFE",0.140316945048907,0,1,"0% Selfing",100
"38","f2","DFE1","Simulated DFE",0.140316945048907,0,2,"50% Selfing",100
"39","f2","DFE1","Simulated DFE",0.140316945048907,0,3,"80% Selfing",100
"40","f2","DFE1","Simulated DFE",0.140316945048907,0,4,"90% Selfing",100
"41","f2","DFE1","Simulated DFE",0.140316945048907,0,5,"95% Selfing",100
"42","f2","DFE1","Simulated DFE",0.140316945048907,0,6,"99% Selfing",100
"43","f2","DFE2","Simulated DFE",0.497421638968293,0,1,"0% Selfing",100
"44","f2","DFE2","Simulated DFE",0.497421638968293,0,2,"50% Selfing",100
"45","f2","DFE2","Simulated DFE",0.497421638968293,0,3,"80% Selfing",100
"46","f2","DFE2","Simulated DFE",0.497421638968293,0,4,"90% Selfing",100
"47","f2","DFE2","Simulated DFE",0.497421638968293,0,5,"95% Selfing",100
"48","f2","DFE2","Simulated DFE",0.497421638968293,0,6,"99% Selfing",100
"49","f2","DFE3","Simulated DFE",0.191576054325077,0,1,"0% Selfing",100
"50","f2","DFE3","Simulated DFE",0.191576054325077,0,2,"50% Selfing",100
"51","f2","DFE3","Simulated DFE",0.191576054325077,0,3,"80% Selfing",100
"52","f2","DFE3","Simulated DFE",0.191576054325077,0,4,"90% Selfing",100
"53","f2","DFE3","Simulated DFE",0.191576054325077,0,5,"95% Selfing",100
"54","f2","DFE3","Simulated DFE",0.191576054325077,0,6,"99% Selfing",100
"55","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,1,"0% Selfing",100
"56","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,2,"50% Selfing",100
"57","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,3,"80% Selfing",100
"58","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,4,"90% Selfing",100
"59","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,5,"95% Selfing",100
"60","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,6,"99% Selfing",100
"61","f3","DFE2","Simulated DFE",0.157299207050284,0,1,"0% Selfing",100
"62","f3","DFE2","Simulated DFE",0.157299207050284,0,2,"50% Selfing",100
"63","f3","DFE2","Simulated DFE",0.157299207050284,0,3,"80% Selfing",100
"64","f3","DFE2","Simulated DFE",0.157299207050284,0,4,"90% Selfing",100
"65","f3","DFE2","Simulated DFE",0.157299207050284,0,5,"95% Selfing",100
"66","f3","DFE2","Simulated DFE",0.157299207050284,0,6,"99% Selfing",100
"67","f3","DFE3","Simulated DFE",0.613522264774418,0,1,"0% Selfing",100
"68","f3","DFE3","Simulated DFE",0.613522264774418,0,2,"50% Selfing",100
"69","f3","DFE3","Simulated DFE",0.613522264774418,0,3,"80% Selfing",100
"70","f3","DFE3","Simulated DFE",0.613522264774418,0,4,"90% Selfing",100
"71","f3","DFE3","Simulated DFE",0.613522264774418,0,5,"95% Selfing",100
