"","generation","DFE","selfing","value","sd","replicate","selfing_class","scale"
"1","f0","DFE1","Simulated DFE",0.204291490497034,0,1,"0% Selfing",20
"2","f0","DFE1","Simulated DFE",0.204291490497034,0,2,"50% Selfing",20
"3","f0","DFE1","Simulated DFE",0.204291490497034,0,3,"80% Selfing",20
"4","f0","DFE1","Simulated DFE",0.204291490497034,0,4,"90% Selfing",20
"5","f0","DFE1","Simulated DFE",0.204291490497034,0,5,"95% Selfing",20
"6","f0","DFE1","Simulated DFE",0.204291490497034,0,6,"99% Selfing",20
"7","f0","DFE2","Simulated DFE",0.112462916018285,0,1,"0% Selfing",20
"8","f0","DFE2","Simulated DFE",0.112462916018285,0,2,"50% Selfing",20
"9","f0","DFE2","Simulated DFE",0.112462916018285,0,3,"80% Selfing",20
"10","f0","DFE2","Simulated DFE",0.112462916018285,0,4,"90% Selfing",20
"11","f0","DFE2","Simulated DFE",0.112462916018285,0,5,"95% Selfing",20
"12","f0","DFE2","Simulated DFE",0.112462916018285,0,6,"99% Selfing",20
"13","f0","DFE3","Simulated DFE",0.0977430831943102,0,1,"0% Selfing",20
"14","f0","DFE3","Simulated DFE",0.0977430831943102,0,2,"50% Selfing",20
"15","f0","DFE3","Simulated DFE",0.0977430831943102,0,3,"80% Selfing",20
"16","f0","DFE3","Simulated DFE",0.0977430831943102,0,4,"90% Selfing",20
"17","f0","DFE3","Simulated DFE",0.0977430831943102,0,5,"95% Selfing",20
"18","f0","DFE3","Simulated DFE",0.0977430831943102,0,6,"99% Selfing",20
"19","f1","DFE1","Simulated DFE",0.655391553835657,0,1,"0% Selfing",20
"20","f1","DFE1","Simulated DFE",0.655391553835657,0,2,"50% Selfing",20
"21","f1","DFE1","Simulated DFE",0.655391553835657,0,3,"80% Selfing",20
"22","f1","DFE1","Simulated DFE",0.655391553835657,0,4,"90% Selfing",20
"23","f1","DFE1","Simulated DFE",0.655391553835657,0,5,"95% Selfing",20
"24","f1","DFE1","Simulated DFE",0.655391553835657,0,6,"99% Selfing",20
"25","f1","DFE2","Simulated DFE",0.232816237963138,0,1,"0% Selfing",20
"26","f1","DFE2","Simulated DFE",0.232816237963138,0,2,"50% Selfing",20
"27","f1","DFE2","Simulated DFE",0.232816237963138,0,3,"80% Selfing",20
"28","f1","DFE2","Simulated DFE",0.232816237963138,0,4,"90% Selfing",20
"29","f1","DFE2","Simulated DFE",0.232816237963138,0,5,"95% Selfing",20
"30","f1","DFE2","Simulated DFE",0.232816237963138,0,6,"99% Selfing",20
"31","f1","DFE3","Simulated DFE",0.0971585977061945,0,1,"0% Selfing",20
"32","f1","DFE3","Simulated DFE",0.0971585977061945,0,2,"50% Selfing",20
"33","f1","DFE3","Simulated DFE",0.0971585977061945,0,3,"80% Selfing",20
"34","f1","DFE3","Simulated DFE",0.0971585977061945,0,4,"90% Selfing",20
"35","f1","DFE3","Simulated DFE",0.0971585977061945,0,5,"95% Selfing",20
"36","f1","DFE3","Simulated DFE",0.0971585977061945,0,6,"99% Selfing",20
"37","f2","DFE1","Simulated DFE",0.140316945048907,0,1,"0% Selfing",20
"38","f2","DFE1","Simulated DFE",0.140316945048907,0,2,"50% Selfing",20
"39","f2","DFE1","Simulated DFE",0.140316945048907,0,3,"80% Selfing",20
"40","f2","DFE1","Simulated DFE",0.140316945048907,0,4,"90% Selfing",20
"41","f2","DFE1","Simulated DFE",0.140316945048907,0,5,"95% Selfing",20
"42","f2","DFE1","Simulated DFE",0.140316945048907,0,6,"99% Selfing",20
"43","f2","DFE2","Simulated DFE",0.497421638968293,0,1,"0% Selfing",20
"44","f2","DFE2","Simulated DFE",0.497421638968293,0,2,"50% Selfing",20
"45","f2","DFE2","Simulated DFE",0.497421638968293,0,3,"80% Selfing",20
"46","f2","DFE2","Simulated DFE",0.497421638968293,0,4,"90% Selfing",20
"47","f2","DFE2","Simulated DFE",0.497421638968293,0,5,"95% Selfing",20
"48","f2","DFE2","Simulated DFE",0.497421638968293,0,6,"99% Selfing",20
"49","f2","DFE3","Simulated DFE",0.191576054325077,0,1,"0% Selfing",20
"50","f2","DFE3","Simulated DFE",0.191576054325077,0,2,"50% Selfing",20
"51","f2","DFE3","Simulated DFE",0.191576054325077,0,3,"80% Selfing",20
"52","f2","DFE3","Simulated DFE",0.191576054325077,0,4,"90% Selfing",20
"53","f2","DFE3","Simulated DFE",0.191576054325077,0,5,"95% Selfing",20
"54","f2","DFE3","Simulated DFE",0.191576054325077,0,6,"99% Selfing",20
"55","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,1,"0% Selfing",20
"56","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,2,"50% Selfing",20
"57","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,3,"80% Selfing",20
"58","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,4,"90% Selfing",20
"59","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,5,"95% Selfing",20
"60","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,6,"99% Selfing",20
"61","f3","DFE2","Simulated DFE",0.157299207050284,0,1,"0% Selfing",20
"62","f3","DFE2","Simulated DFE",0.157299207050284,0,2,"50% Selfing",20
