"","generation","DFE","selfing","value","sd","replicate","selfing_class","scale"
"76","f0","DFE1","DFE-alpha",0.22656678189757,0.024458664124955,NA,"50% Selfing",50
"77","f0","DFE2","DFE-alpha",0.115005466052942,0.00551109076949236,NA,"50% Selfing",50
"78","f0","DFE3","DFE-alpha",0.102036766339302,0.00723630119868777,NA,"50% Selfing",50
"79","f0","DFE1","DFE-alpha",0.237984622869186,0.0186439210589739,NA,"80% Selfing",50
"80","f0","DFE2","DFE-alpha",0.120388895678264,0.00334185470774253,NA,"80% Selfing",50
"81","f0","DFE3","DFE-alpha",0.107562177687516,0.00336319295787113,NA,"80% Selfing",50
"82","f0","DFE1","DFE-alpha",0.25403793355432,0.0154018952620756,NA,"90% Selfing",50
"83","f0","DFE2","DFE-alpha",0.137583243114601,0.0115519545452064,NA,"90% Selfing",50
"84","f0","DFE3","DFE-alpha",0.117579220318694,0.00656007118376802,NA,"90% Selfing",50
"85","f0","DFE1","DFE-alpha",0.278139182671933,0.0223374897064595,NA,"95% Selfing",50
"86","f0","DFE2","DFE-alpha",0.169119589286096,0.0128612492557353,NA,"95% Selfing",50
"87","f0","DFE3","DFE-alpha",0.121788921629059,0.00437955539258647,NA,"95% Selfing",50
"88","f0","DFE1","DFE-alpha",0.506327683105849,0.0169702795837992,NA,"99% Selfing",50
"89","f0","DFE2","DFE-alpha",0.3441987148874,0.0104765634028829,NA,"99% Selfing",50
"90","f0","DFE3","DFE-alpha",0.188848247097777,0.00320848421253851,NA,"99% Selfing",50
"91","f1","DFE1","DFE-alpha",0.628028495403185,0.0441702644527773,NA,"0% Selfing",50
"92","f1","DFE2","DFE-alpha",0.22941201118111,0.00948431968522334,NA,"0% Selfing",50
"93","f1","DFE3","DFE-alpha",0.0991936249447556,0.00205985216721986,NA,"0% Selfing",50
"94","f1","DFE1","DFE-alpha",0.642675242143021,0.0437840748249113,NA,"50% Selfing",50
"95","f1","DFE2","DFE-alpha",0.233249326195461,0.00801395330414947,NA,"50% Selfing",50
"96","f1","DFE3","DFE-alpha",0.0992776926511005,0.00627619159669961,NA,"50% Selfing",50
"97","f1","DFE1","DFE-alpha",0.61333935514684,0.0631940662179218,NA,"80% Selfing",50
"98","f1","DFE2","DFE-alpha",0.240265359054855,0.0135442248059397,NA,"80% Selfing",50
"99","f1","DFE3","DFE-alpha",0.102096427222075,0.00310030688004191,NA,"80% Selfing",50
"100","f1","DFE1","DFE-alpha",0.613457949977803,0.0711727785417431,NA,"90% Selfing",50
"101","f1","DFE2","DFE-alpha",0.243117194857347,0.0138588908548131,NA,"90% Selfing",50
"102","f1","DFE3","DFE-alpha",0.106920293672247,0.00495631428885537,NA,"90% Selfing",50
"103","f1","DFE1","DFE-alpha",0.591187892555122,0.0326824082169868,NA,"95% Selfing",50
"104","f1","DFE2","DFE-alpha",0.268403747603534,0.0176738384118974,NA,"95% Selfing",50
"105","f1","DFE3","DFE-alpha",0.124637883554978,0.00746046913377269,NA,"95% Selfing",50
"106","f1","DFE1","DFE-alpha",0.411785121356812,0.0504321488018264,NA,"99% Selfing",50
"107","f1","DFE2","DFE-alpha",0.376409588970969,0.0902241036792661,NA,"99% Selfing",50
"108","f1","DFE3","DFE-alpha",0.157910202600504,0.0141386212968252,NA,"99% Selfing",50
"109","f2","DFE1","DFE-alpha",0.146522079449345,0.040606696104887,NA,"0% Selfing",50
"110","f2","DFE2","DFE-alpha",0.48045698380344,0.0164527282855222,NA,"0% Selfing",50
"111","f2","DFE3","DFE-alpha",0.193985764185352,0.00935119861421697,NA,"0% Selfing",50
"112","f2","DFE1","DFE-alpha",0.130757899848925,0.0231329817757495,NA,"50% Selfing",50
"113","f2","DFE2","DFE-alpha",0.493609271123491,0.0183145229468138,NA,"50% Selfing",50
"114","f2","DFE3","DFE-alpha",0.194529814848843,0.0231877650552985,NA,"50% Selfing",50
"115","f2","DFE1","DFE-alpha",0.148674550095479,0.0463693726979322,NA,"80% Selfing",50
"116","f2","DFE2","DFE-alpha",0.492885674795818,0.0188287371204266,NA,"80% Selfing",50
"117","f2","DFE3","DFE-alpha",0.19677683078769,0.00930442222180372,NA,"80% Selfing",50
"118","f2","DFE1","DFE-alpha",0.132495701094124,0.0564270496619157,NA,"90% Selfing",50
"119","f2","DFE2","DFE-alpha",0.473479431584399,0.0259345518707349,NA,"90% Selfing",50
"120","f2","DFE3","DFE-alpha",0.201643645378631,0.010174537053186,NA,"90% Selfing",50
"121","f2","DFE1","DFE-alpha",0.130672451363323,0.0220087092198054,NA,"95% Selfing",50
"122","f2","DFE2","DFE-alpha",0.458514949440633,0.0242254392669503,NA,"95% Selfing",50
"123","f2","DFE3","DFE-alpha",0.245650660723726,0.0216243946251894,NA,"95% Selfing",50
"124","f2","DFE1","DFE-alpha",0.0818758316058088,0.0344807882358943,NA,"99% Selfing",50
"125","f2","DFE2","DFE-alpha",0.263137231577968,0.0739633130254063,NA,"99% Selfing",50
"126","f2","DFE3","DFE-alpha",0.276623882773882,0.0319457074850199,NA,"99% Selfing",50
"127","f3","DFE1","DFE-alpha",1.47641456463288e-06,3.25184324473201e-06,NA,"0% Selfing",50
"128","f3","DFE2","DFE-alpha",0.169745105989457,0.0231561620166102,NA,"0% Selfing",50
"129","f3","DFE3","DFE-alpha",0.605125654264754,0.00757372830958637,NA,"0% Selfing",50
"130","f3","DFE1","DFE-alpha",7.61104831437098e-08,1.03779561133889e-07,NA,"50% Selfing",50
"131","f3","DFE2","DFE-alpha",0.158135936628106,0.0209474739482957,NA,"50% Selfing",50
"132","f3","DFE3","DFE-alpha",0.604155726160754,0.0240327460819867,NA,"50% Selfing",50
"133","f3","DFE1","DFE-alpha",1.4718884948528e-06,2.34834158874487e-06,NA,"80% Selfing",50
"134","f3","DFE2","DFE-alpha",0.146460070471063,0.0294878361432415,NA,"80% Selfing",50
"135","f3","DFE3","DFE-alpha",0.593564564302719,0.0114562637095235,NA,"80% Selfing",50
"136","f3","DFE1","DFE-alpha",8.41537375333989e-06,1.85113877195823e-05,NA,"90% Selfing",50
"137","f3","DFE2","DFE-alpha",0.145820130443653,0.0308671206711867,NA,"90% Selfing",50
"138","f3","DFE3","DFE-alpha",0.573856840630429,0.0192526055983953,NA,"90% Selfing",50
"139","f3","DFE1","DFE-alpha",4.7340962117115e-07,9.30369055550975e-07,NA,"95% Selfing",50
"140","f3","DFE2","DFE-alpha",0.103961713669737,0.0319419923590573,NA,"95% Selfing",50
"141","f3","DFE3","DFE-alpha",0.507922534092237,0.0271919911363596,NA,"95% Selfing",50
"142","f3","DFE1","DFE-alpha",1.13639315299396e-05,1.48350507821504e-05,NA,"99% Selfing",50
"143","f3","DFE2","DFE-alpha",0.0162544645636622,0.0267229164240022,NA,"99% Selfing",50
"144","f3","DFE3","DFE-alpha",0.376617667527837,0.0433628523922897,NA,"99% Selfing",50
"145","f0","DFE1","Adjusted DFE",0.21525766261523,0.00511475263135408,NA,"0% Selfing",50
"146","f0","DFE2","Adjusted DFE",0.115923299068858,0.000768723000384312,NA,"0% Selfing",50
"147","f0","DFE3","Adjusted DFE",0.100169818341446,0.000469081941109708,NA,"0% Selfing",50
"148","f0","DFE1","Adjusted DFE",0.216040970650295,0.00227995765909536,NA,"50% Selfing",50
"149","f0","DFE2","Adjusted DFE",0.116635387726951,0.000671483361279697,NA,"50% Selfing",50
"150","f0","DFE3","Adjusted DFE",0.10154532931856,0.000608821562072586,NA,"50% Selfing",50
"151","f0","DFE1","Adjusted DFE",0.221476928895223,0.0044954152347645,NA,"80% Selfing",50
"152","f0","DFE2","Adjusted DFE",0.12240622037798,0.00130115384840353,NA,"80% Selfing",50
"153","f0","DFE3","Adjusted DFE",0.105374800784813,0.000877039999966218,NA,"80% Selfing",50
"154","f0","DFE1","Adjusted DFE",0.231522156473341,0.00525123543143542,NA,"90% Selfing",50
"155","f0","DFE2","Adjusted DFE",0.131298622390012,0.00162612377749474,NA,"90% Selfing",50
"156","f0","DFE3","Adjusted DFE",0.111176733748953,0.000973105379061345,NA,"90% Selfing",50
"157","f0","DFE1","Adjusted DFE",0.248185989335606,0.00425397417870698,NA,"95% Selfing",50
"158","f0","DFE2","Adjusted DFE",0.154899728254607,0.00302417708971227,NA,"95% Selfing",50
"159","f0","DFE3","Adjusted DFE",0.124588901286134,0.0018327562929355,NA,"95% Selfing",50
"160","f0","DFE1","Adjusted DFE",0.400829685489547,0.0225419738087675,NA,"99% Selfing",50
"161","f0","DFE2","Adjusted DFE",0.289476237387337,0.0320995584409781,NA,"99% Selfing",50
"162","f0","DFE3","Adjusted DFE",0.171028497007157,0.00525814996900162,NA,"99% Selfing",50
"163","f1","DFE1","Adjusted DFE",0.660625483041973,0.0022892742235135,NA,"0% Selfing",50
"164","f1","DFE2","Adjusted DFE",0.239327474706947,0.00144191091021206,NA,"0% Selfing",50
"165","f1","DFE3","Adjusted DFE",0.0995602128516855,0.000464115032146343,NA,"0% Selfing",50
"166","f1","DFE1","Adjusted DFE",0.661063075358525,0.000907314588313143,NA,"50% Selfing",50
"167","f1","DFE2","Adjusted DFE",0.240660822987947,0.00125722530521564,NA,"50% Selfing",50
"168","f1","DFE3","Adjusted DFE",0.100920979092299,0.00060218584229687,NA,"50% Selfing",50
