"","selfing","DFE","B_avg","selfing_class","generation","value","scale"
"1","GRAPES","DFE1",0.949197705050505,"0% Selfing","f1",0.8,100
"2","GRAPES","DFE2",0.930744113131313,"0% Selfing","f1",0.8,100
"3","GRAPES","DFE3",0.893993082828283,"0% Selfing","f1",0.8,100
"4","GRAPES","DFE1",0.9364199003367,"50% Selfing","f1",0.8,100
"5","GRAPES","DFE2",0.904572164309764,"50% Selfing","f1",0.8,100
"6","GRAPES","DFE3",0.820789656565656,"50% Selfing","f1",0.8,100
"7","GRAPES","DFE1",0.887919784511784,"80% Selfing","f1",0.8,100
"8","GRAPES","DFE2",0.813464619528619,"80% Selfing","f1",0.8,100
"9","GRAPES","DFE3",0.648668444444444,"80% Selfing","f1",0.8,100
"10","GRAPES","DFE1",0.823224242424242,"90% Selfing","f1",0.8,100
"11","GRAPES","DFE2",0.620440800734619,"90% Selfing","f1",0.8,100
"12","GRAPES","DFE3",0.455849079889807,"90% Selfing","f1",0.8,100
"13","GRAPES","DFE1",0.704673000481001,"95% Selfing","f1",0.8,100
"14","GRAPES","DFE2",0.329396825396825,"95% Selfing","f1",0.8,100
"15","GRAPES","DFE3",0.280608877344877,"95% Selfing","f1",0.8,100
"16","GRAPES","DFE1",0.330673259325933,"99% Selfing","f1",0.8,100
"17","GRAPES","DFE2",0.0840381638163816,"99% Selfing","f1",0.8,100
"18","GRAPES","DFE3",0.0955761496149615,"99% Selfing","f1",0.8,100
