"","selfing","DFE","B_avg","selfing_class","generation","value","scale"
"1","GRAPES","DFE1",0.90784905050505,"80% Selfing","f1",0.8,20
"2","GRAPES","DFE2",0.862715313131313,"80% Selfing","f1",0.8,20
"3","GRAPES","DFE3",0.853920915824916,"80% Selfing","f1",0.8,20
"4","GRAPES","DFE1",0.879169586776859,"90% Selfing","f1",0.8,20
"5","GRAPES","DFE2",0.801616631772268,"90% Selfing","f1",0.8,20
"6","GRAPES","DFE3",0.743326089990817,"90% Selfing","f1",0.8,20
"7","GRAPES","DFE1",0.797217862433863,"95% Selfing","f1",0.8,20
"8","GRAPES","DFE2",0.653801712361712,"95% Selfing","f1",0.8,20
"9","GRAPES","DFE3",0.58171721019721,"95% Selfing","f1",0.8,20
"10","GRAPES","DFE1",0.505286368636864,"99% Selfing","f1",0.8,20
"11","GRAPES","DFE2",0.196758683868387,"99% Selfing","f1",0.8,20
"12","GRAPES","DFE3",0.203668494849485,"99% Selfing","f1",0.8,20
