"","generation","DFE","selfing","value","sd","replicate","selfing_class","scale"
"1","f0","DFE3","Simulated DFE",0.0977430831943102,0,1,"0% Selfing",10
"2","f0","DFE3","Simulated DFE",0.0977430831943102,0,2,"50% Selfing",10
"3","f0","DFE3","Simulated DFE",0.0977430831943102,0,3,"80% Selfing",10
"4","f0","DFE3","Simulated DFE",0.0977430831943102,0,4,"90% Selfing",10
"5","f0","DFE3","Simulated DFE",0.0977430831943102,0,5,"95% Selfing",10
"6","f0","DFE3","Simulated DFE",0.0977430831943102,0,6,"99% Selfing",10
"7","f0","DFE2","Simulated DFE",0.112462916018285,0,1,"0% Selfing",10
"8","f0","DFE2","Simulated DFE",0.112462916018285,0,2,"50% Selfing",10
"9","f0","DFE2","Simulated DFE",0.112462916018285,0,3,"80% Selfing",10
"10","f0","DFE2","Simulated DFE",0.112462916018285,0,4,"90% Selfing",10
"11","f0","DFE2","Simulated DFE",0.112462916018285,0,5,"95% Selfing",10
"12","f0","DFE2","Simulated DFE",0.112462916018285,0,6,"99% Selfing",10
"13","f1","DFE3","Simulated DFE",0.0971585977061945,0,1,"0% Selfing",10
"14","f1","DFE3","Simulated DFE",0.0971585977061945,0,2,"50% Selfing",10
"15","f1","DFE3","Simulated DFE",0.0971585977061945,0,3,"80% Selfing",10
"16","f1","DFE3","Simulated DFE",0.0971585977061945,0,4,"90% Selfing",10
"17","f1","DFE3","Simulated DFE",0.0971585977061945,0,5,"95% Selfing",10
"18","f1","DFE3","Simulated DFE",0.0971585977061945,0,6,"99% Selfing",10
"19","f1","DFE2","Simulated DFE",0.232816237963138,0,1,"0% Selfing",10
"20","f1","DFE2","Simulated DFE",0.232816237963138,0,2,"50% Selfing",10
"21","f1","DFE2","Simulated DFE",0.232816237963138,0,3,"80% Selfing",10
"22","f1","DFE2","Simulated DFE",0.232816237963138,0,4,"90% Selfing",10
"23","f1","DFE2","Simulated DFE",0.232816237963138,0,5,"95% Selfing",10
"24","f1","DFE2","Simulated DFE",0.232816237963138,0,6,"99% Selfing",10
"25","f2","DFE3","Simulated DFE",0.191576054325077,0,1,"0% Selfing",10
"26","f2","DFE3","Simulated DFE",0.191576054325077,0,2,"50% Selfing",10
"27","f2","DFE3","Simulated DFE",0.191576054325077,0,3,"80% Selfing",10
"28","f2","DFE3","Simulated DFE",0.191576054325077,0,4,"90% Selfing",10
"29","f2","DFE3","Simulated DFE",0.191576054325077,0,5,"95% Selfing",10
"30","f2","DFE3","Simulated DFE",0.191576054325077,0,6,"99% Selfing",10
"31","f2","DFE2","Simulated DFE",0.497421638968293,0,1,"0% Selfing",10
"32","f2","DFE2","Simulated DFE",0.497421638968293,0,2,"50% Selfing",10
"33","f2","DFE2","Simulated DFE",0.497421638968293,0,3,"80% Selfing",10
"34","f2","DFE2","Simulated DFE",0.497421638968293,0,4,"90% Selfing",10
"35","f2","DFE2","Simulated DFE",0.497421638968293,0,5,"95% Selfing",10
"36","f2","DFE2","Simulated DFE",0.497421638968293,0,6,"99% Selfing",10
"37","f3","DFE3","Simulated DFE",0.613522264774418,0,1,"0% Selfing",10
"38","f3","DFE3","Simulated DFE",0.613522264774418,0,2,"50% Selfing",10
"39","f3","DFE3","Simulated DFE",0.613522264774418,0,3,"80% Selfing",10
"40","f3","DFE3","Simulated DFE",0.613522264774418,0,4,"90% Selfing",10
"41","f3","DFE3","Simulated DFE",0.613522264774418,0,5,"95% Selfing",10
"42","f3","DFE3","Simulated DFE",0.613522264774418,0,6,"99% Selfing",10
"43","f3","DFE2","Simulated DFE",0.157299207050284,0,1,"0% Selfing",10
"44","f3","DFE2","Simulated DFE",0.157299207050284,0,2,"50% Selfing",10
"45","f3","DFE2","Simulated DFE",0.157299207050284,0,3,"80% Selfing",10
"46","f3","DFE2","Simulated DFE",0.157299207050284,0,4,"90% Selfing",10
"47","f3","DFE2","Simulated DFE",0.157299207050284,0,5,"95% Selfing",10
"48","f3","DFE2","Simulated DFE",0.157299207050284,0,6,"99% Selfing",10
"49","f0","DFE3","DFE-alpha",0.105986578537751,0,NA,"95% Selfing",10
"50","f0","DFE2","DFE-alpha",0.261376756880292,0.0101899773418592,NA,"99% Selfing",10
"51","f0","DFE3","DFE-alpha",0.151362773294184,0.00500276113584019,NA,"99% Selfing",10
"52","f1","DFE3","DFE-alpha",0.101869612644731,0,NA,"95% Selfing",10
"53","f1","DFE2","DFE-alpha",0.321762349409472,0.00727059149130575,NA,"99% Selfing",10
"54","f1","DFE3","DFE-alpha",0.140243972825012,0.0141196175021612,NA,"99% Selfing",10
"55","f2","DFE3","DFE-alpha",0.197371842365762,0,NA,"95% Selfing",10
"56","f2","DFE2","DFE-alpha",0.384821265604726,0.00650979939794339,NA,"99% Selfing",10
"57","f2","DFE3","DFE-alpha",0.261343463893402,0.0369997257906467,NA,"99% Selfing",10
"58","f3","DFE3","DFE-alpha",0.594771966451756,0,NA,"95% Selfing",10
"59","f3","DFE2","DFE-alpha",0.03203962810551,0.00358751521742638,NA,"99% Selfing",10
"60","f3","DFE3","DFE-alpha",0.447049789987402,0.0469063703041787,NA,"99% Selfing",10
"61","f0","DFE3","Adjusted DFE",0.110108591318638,0,NA,"95% Selfing",10
"62","f0","DFE2","Adjusted DFE",0.229504925836587,0.00915855348239898,NA,"99% Selfing",10
"63","f0","DFE3","Adjusted DFE",0.143981046787317,0.00124128928833025,NA,"99% Selfing",10
"64","f1","DFE3","Adjusted DFE",0.109383553145903,0,NA,"95% Selfing",10
"65","f1","DFE2","Adjusted DFE",0.414031892093188,0.0104595480183169,NA,"99% Selfing",10
"66","f1","DFE3","Adjusted DFE",0.142649329329682,0.0012113821476355,NA,"99% Selfing",10
"67","f2","DFE3","Adjusted DFE",0.214444489102268,0,NA,"95% Selfing",10
"68","f2","DFE2","Adjusted DFE",0.352781318408175,0.0183357548985373,NA,"99% Selfing",10
"69","f2","DFE3","Adjusted DFE",0.272698188158823,0.00198651658087572,NA,"99% Selfing",10
"70","f3","DFE3","Adjusted DFE",0.566063366433191,0,NA,"95% Selfing",10
"71","f3","DFE2","Adjusted DFE",0.00368186366205095,0.00128514136655225,NA,"99% Selfing",10
"72","f3","DFE3","Adjusted DFE",0.440671435724177,0.00443918786998347,NA,"99% Selfing",10
"73","f0","DFE3","GRAPES",0.100294949765196,0,NA,"95% Selfing",10
"74","f0","DFE2","GRAPES",0.302834740392497,0.083956001618712,NA,"99% Selfing",10
"75","f0","DFE3","GRAPES",0.174067226699372,0.0373966581606786,NA,"99% Selfing",10
"76","f1","DFE3","GRAPES",0.107188057958258,0,NA,"95% Selfing",10
"77","f1","DFE2","GRAPES",0.25243380741393,0.028472834214254,NA,"99% Selfing",10
"78","f1","DFE3","GRAPES",0.130509321828577,0.0134055369219536,NA,"99% Selfing",10
"79","f2","DFE3","GRAPES",0.217719142459316,0,NA,"95% Selfing",10
"80","f2","DFE2","GRAPES",0.351671145166765,0.0638486922313372,NA,"99% Selfing",10
"81","f2","DFE3","GRAPES",0.228924145015939,0.0499573309415879,NA,"99% Selfing",10
