Alleles Observed-SFS Expected
0 0.969045 0.969045
1 0.006181 0.006032
2 0.003072 0.003269
3 0.001819 0.002105
4 0.001483 0.001559
5 0.001243 0.001248
6 0.001077 0.001047
7 0.000885 0.000905
8 0.000795 0.000800
9 0.000757 0.000719
10 0.000597 0.000654
11 0.000571 0.000602
12 0.000480 0.000558
13 0.000512 0.000521
14 0.000517 0.000489
15 0.000464 0.000462
16 0.000528 0.000438
17 0.000432 0.000417
18 0.000384 0.000399
19 0.000341 0.000383
20 0.000421 0.000368
21 0.000443 0.000355
22 0.000347 0.000343
23 0.000384 0.000333
24 0.000293 0.000323
25 0.000341 0.000314
26 0.000416 0.000306
27 0.000267 0.000299
28 0.000283 0.000292
29 0.000171 0.000286
30 0.000272 0.000280
31 0.000336 0.000275
32 0.000245 0.000271
33 0.000347 0.000266
34 0.000288 0.000262
35 0.000213 0.000259
36 0.000304 0.000256
37 0.000283 0.000253
38 0.000288 0.000250
39 0.000203 0.000248
40 0.000331 0.000245
41 0.000197 0.000243
42 0.000320 0.000242
43 0.000224 0.000240
44 0.000261 0.000239
45 0.000203 0.000238
46 0.000219 0.000237
47 0.000283 0.000236
48 0.000245 0.000236
49 0.000213 0.000236
50 0.000176 0.000118
