dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,obs_specS20,obs_specS21,obs_specS22,obs_specS23,obs_specS24,obs_specS25,obs_specS26,obs_specS27,obs_specS28,obs_specS29,obs_specS30,obs_specS31,obs_specS32,obs_specS33,obs_specS34,obs_specS35,obs_specS36,obs_specS37,obs_specS38,obs_specS39,obs_specS40,obs_specS41,obs_specS42,obs_specS43,obs_specS44,obs_specS45,obs_specS46,obs_specS47,obs_specS48,obs_specS49,obs_specS50,obs_specS51,obs_specS52,obs_specS53,obs_specS54,obs_specS55,obs_specS56,obs_specS57,obs_specS58,obs_specS59,obs_specS60,obs_specS61,obs_specS62,obs_specS63,obs_specS64,obs_specS65,obs_specS66,obs_specS67,obs_specS68,obs_specS69,obs_specS70,obs_specS71,obs_specS72,obs_specS73,obs_specS74,obs_specS75,obs_specS76,obs_specS77,obs_specS78,obs_specS79,obs_specS80,obs_specS81,obs_specS82,obs_specS83,obs_specS84,obs_specS85,obs_specS86,obs_specS87,obs_specS88,obs_specS89,obs_specS90,obs_specS91,obs_specS92,obs_specS93,obs_specS94,obs_specS95,obs_specS96,obs_specS97,obs_specS98,obs_specS99,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,exp_specS20,exp_specS21,exp_specS22,exp_specS23,exp_specS24,exp_specS25,exp_specS26,exp_specS27,exp_specS28,exp_specS29,exp_specS30,exp_specS31,exp_specS32,exp_specS33,exp_specS34,exp_specS35,exp_specS36,exp_specS37,exp_specS38,exp_specS39,exp_specS40,exp_specS41,exp_specS42,exp_specS43,exp_specS44,exp_specS45,exp_specS46,exp_specS47,exp_specS48,exp_specS49,exp_specS50,exp_specS51,exp_specS52,exp_specS53,exp_specS54,exp_specS55,exp_specS56,exp_specS57,exp_specS58,exp_specS59,exp_specS60,exp_specS61,exp_specS62,exp_specS63,exp_specS64,exp_specS65,exp_specS66,exp_specS67,exp_specS68,exp_specS69,exp_specS70,exp_specS71,exp_specS72,exp_specS73,exp_specS74,exp_specS75,exp_specS76,exp_specS77,exp_specS78,exp_specS79,exp_specS80,exp_specS81,exp_specS82,exp_specS83,exp_specS84,exp_specS85,exp_specS86,exp_specS87,exp_specS88,exp_specS89,exp_specS90,exp_specS91,exp_specS92,exp_specS93,exp_specS94,exp_specS95,exp_specS96,exp_specS97,exp_specS98,exp_specS99,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,obs_specN20,obs_specN21,obs_specN22,obs_specN23,obs_specN24,obs_specN25,obs_specN26,obs_specN27,obs_specN28,obs_specN29,obs_specN30,obs_specN31,obs_specN32,obs_specN33,obs_specN34,obs_specN35,obs_specN36,obs_specN37,obs_specN38,obs_specN39,obs_specN40,obs_specN41,obs_specN42,obs_specN43,obs_specN44,obs_specN45,obs_specN46,obs_specN47,obs_specN48,obs_specN49,obs_specN50,obs_specN51,obs_specN52,obs_specN53,obs_specN54,obs_specN55,obs_specN56,obs_specN57,obs_specN58,obs_specN59,obs_specN60,obs_specN61,obs_specN62,obs_specN63,obs_specN64,obs_specN65,obs_specN66,obs_specN67,obs_specN68,obs_specN69,obs_specN70,obs_specN71,obs_specN72,obs_specN73,obs_specN74,obs_specN75,obs_specN76,obs_specN77,obs_specN78,obs_specN79,obs_specN80,obs_specN81,obs_specN82,obs_specN83,obs_specN84,obs_specN85,obs_specN86,obs_specN87,obs_specN88,obs_specN89,obs_specN90,obs_specN91,obs_specN92,obs_specN93,obs_specN94,obs_specN95,obs_specN96,obs_specN97,obs_specN98,obs_specN99,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,exp_specN20,exp_specN21,exp_specN22,exp_specN23,exp_specN24,exp_specN25,exp_specN26,exp_specN27,exp_specN28,exp_specN29,exp_specN30,exp_specN31,exp_specN32,exp_specN33,exp_specN34,exp_specN35,exp_specN36,exp_specN37,exp_specN38,exp_specN39,exp_specN40,exp_specN41,exp_specN42,exp_specN43,exp_specN44,exp_specN45,exp_specN46,exp_specN47,exp_specN48,exp_specN49,exp_specN50,exp_specN51,exp_specN52,exp_specN53,exp_specN54,exp_specN55,exp_specN56,exp_specN57,exp_specN58,exp_specN59,exp_specN60,exp_specN61,exp_specN62,exp_specN63,exp_specN64,exp_specN65,exp_specN66,exp_specN67,exp_specN68,exp_specN69,exp_specN70,exp_specN71,exp_specN72,exp_specN73,exp_specN74,exp_specN75,exp_specN76,exp_specN77,exp_specN78,exp_specN79,exp_specN80,exp_specN81,exp_specN82,exp_specN83,exp_specN84,exp_specN85,exp_specN86,exp_specN87,exp_specN88,exp_specN89,exp_specN90,exp_specN91,exp_specN92,exp_specN93,exp_specN94,exp_specN95,exp_specN96,exp_specN97,exp_specN98,exp_specN99,obs_dS,exp_dS,obs_dN,exp_dN
output2.txt,973.0000,562500.0000,343.0000,187500.0000,3383.0000,562500.0000,1303.0000,187500.0000,Neutral,103,-199.8369,-0.0926,NA, NA,-0.0801,NA,NA,NA,NA,NA,NA,0.246454,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.0000,40.0000,15.0000,14.0000,8.0000,4.0000,10.0000,3.0000,2.0000,0.0000,0.0000,4.0000,1.0000,2.0000,2.0000,3.0000,1.0000,2.0000,2.0000,0.0000,2.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,2.0000,0.0000,3.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,197.8245,44.8298,15.1170,10.6862,6.5160,5.9947,6.7766,4.1702,3.3883,1.3032,2.0851,2.3457,2.3457,2.3457,1.5638,1.3032,0.7819,0.7819,1.0426,0.0000,0.7819,0.5213,0.7819,1.0426,0.2606,0.5213,1.3032,0.0000,0.5213,0.7819,0.5213,0.7819,1.0426,1.8245,1.5638,0.2606,1.5638,0.2606,2.0851,0.5213,0.0000,0.7819,0.2606,0.5213,0.5213,0.5213,0.2606,0.2606,0.0000,0.5213,0.2606,0.2606,0.2606,0.2606,0.2606,0.0000,0.5213,0.0000,0.0000,0.5213,0.2606,0.0000,1.0426,0.0000,0.0000,0.2606,0.0000,0.2606,0.2606,0.0000,0.0000,0.5213,0.7819,0.0000,0.0000,0.0000,0.5213,0.0000,0.0000,0.7819,0.0000,0.2606,0.2606,0.0000,0.0000,0.2606,0.5213,0.0000,0.5213,0.5213,0.2606,0.0000,0.2606,0.0000,0.2606,0.2606,0.2606,0.5213,0.0000,553.0000,132.0000,43.0000,27.0000,17.0000,19.0000,16.0000,13.0000,11.0000,5.0000,8.0000,5.0000,8.0000,7.0000,4.0000,2.0000,2.0000,1.0000,2.0000,0.0000,1.0000,2.0000,2.0000,4.0000,1.0000,1.0000,4.0000,0.0000,2.0000,2.0000,2.0000,3.0000,3.0000,6.0000,5.0000,1.0000,4.0000,1.0000,5.0000,1.0000,0.0000,3.0000,1.0000,2.0000,1.0000,1.0000,1.0000,1.0000,0.0000,2.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,3.0000,0.0000,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,2.0000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,3.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,2.0000,2.0000,1.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,2.0000,0.0000,561.1755,127.1702,42.8830,30.3138,18.4840,17.0053,19.2234,11.8298,9.6117,3.6968,5.9149,6.6543,6.6543,6.6543,4.4362,3.6968,2.2181,2.2181,2.9574,0.0000,2.2181,1.4787,2.2181,2.9574,0.7394,1.4787,3.6968,0.0000,1.4787,2.2181,1.4787,2.2181,2.9574,5.1755,4.4362,0.7394,4.4362,0.7394,5.9149,1.4787,0.0000,2.2181,0.7394,1.4787,1.4787,1.4787,0.7394,0.7394,0.0000,1.4787,0.7394,0.7394,0.7394,0.7394,0.7394,0.0000,1.4787,0.0000,0.0000,1.4787,0.7394,0.0000,2.9574,0.0000,0.0000,0.7394,0.0000,0.7394,0.7394,0.0000,0.0000,1.4787,2.2181,0.0000,0.0000,0.0000,1.4787,0.0000,0.0000,2.2181,0.0000,0.7394,0.7394,0.0000,0.0000,0.7394,1.4787,0.0000,1.4787,1.4787,0.7394,0.0000,0.7394,0.0000,0.7394,0.7394,0.7394,1.4787,0.0000,1303.0000,1303.0000,3383.0000,3383.0000
output2.txt,973.0000,562500.0000,343.0000,187500.0000,3383.0000,562500.0000,1303.0000,187500.0000,GammaExpo,106,-199.1405,0.2883,0.0000,0.0000,0.2495,0.0000,0.0000,0.0005,0.7100,0.0012,0.2883,NA,NA,NA,NA,NA,1.000002,0.286458,1346.615412,0.100000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001060,0.451649,0.229075,0.216904,0.165867,0.183712,0.243035,0.171428,0.157136,0.067331,0.118805,0.146159,0.158703,0.171285,0.122600,0.109190,0.069739,0.073970,0.104278,0.000000,0.086701,0.060635,0.095206,0.132615,0.034572,0.071980,0.187036,0.000000,0.080475,0.124950,0.086121,0.133403,0.183487,0.330907,0.292013,0.050061,0.308685,0.052829,0.433630,0.111144,0.000000,0.174860,0.059632,0.121935,0.124587,0.127217,0.064913,0.066205,0.000000,0.137497,0.069998,0.071233,0.072450,0.073649,0.074828,0.000000,0.154247,0.000000,0.000000,0.160769,0.081416,0.000000,0.333534,0.000000,0.000000,0.086060,0.000000,0.087628,0.088337,0.000000,0.000000,0.180226,0.271715,0.000000,0.000000,0.000000,0.183146,0.000000,0.000000,0.273637,0.000000,0.090271,0.089544,0.000000,0.000000,0.086084,0.168826,0.000000,0.160156,0.154637,0.074083,0.000000,0.065868,0.000000,0.054596,0.047449,0.039017,0.058243,0.000000,206.0000,40.0000,15.0000,14.0000,8.0000,4.0000,10.0000,3.0000,2.0000,0.0000,0.0000,4.0000,1.0000,2.0000,2.0000,3.0000,1.0000,2.0000,2.0000,0.0000,2.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,2.0000,0.0000,3.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,198.7883,44.8913,15.1791,10.7795,6.5945,6.0866,6.9018,4.2597,3.4707,1.3385,2.1470,2.4212,2.4268,2.4321,1.6248,1.3566,0.8155,0.8169,1.0910,0.0000,0.8207,0.5479,0.8229,1.0984,0.2749,0.5503,1.3771,0.0000,0.5516,0.8280,0.5523,0.8287,1.1053,1.9347,1.6585,0.2764,1.6585,0.2764,2.2103,0.5524,0.0000,0.8276,0.2757,0.5509,0.5504,0.5498,0.2746,0.2742,0.0000,0.5467,0.2728,0.2723,0.2717,0.2711,0.2705,0.0000,0.5379,0.0000,0.0000,0.5327,0.2653,0.0000,1.0524,0.0000,0.0000,0.2592,0.0000,0.2562,0.2545,0.0000,0.0000,0.4976,0.7399,0.0000,0.0000,0.0000,0.4728,0.0000,0.0000,0.6799,0.0000,0.2188,0.2145,0.0000,0.0000,0.1990,0.3858,0.0000,0.3577,0.3416,0.1618,0.0000,0.1408,0.0000,0.1142,0.0983,0.0800,0.1181,0.0000,553.0000,132.0000,43.0000,27.0000,17.0000,19.0000,16.0000,13.0000,11.0000,5.0000,8.0000,5.0000,8.0000,7.0000,4.0000,2.0000,2.0000,1.0000,2.0000,0.0000,1.0000,2.0000,2.0000,4.0000,1.0000,1.0000,4.0000,0.0000,2.0000,2.0000,2.0000,3.0000,3.0000,6.0000,5.0000,1.0000,4.0000,1.0000,5.0000,1.0000,0.0000,3.0000,1.0000,2.0000,1.0000,1.0000,1.0000,1.0000,0.0000,2.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,3.0000,0.0000,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,2.0000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,3.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,2.0000,2.0000,1.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,2.0000,0.0000,560.2117,127.1087,42.8209,30.2205,18.4055,16.9134,19.0982,11.7403,9.5293,3.6615,5.8530,6.5788,6.5732,6.5679,4.3752,3.6434,2.1845,2.1831,2.9090,0.0000,2.1793,1.4521,2.1771,2.9016,0.7251,1.4497,3.6229,0.0000,1.4484,2.1720,1.4477,2.1713,2.8947,5.0653,4.3415,0.7236,4.3415,0.7236,5.7897,1.4476,0.0000,2.1724,0.7243,1.4491,1.4496,1.4502,0.7254,0.7258,0.0000,1.4533,0.7272,0.7277,0.7283,0.7289,0.7295,0.0000,1.4621,0.0000,0.0000,1.4673,0.7347,0.0000,2.9476,0.0000,0.0000,0.7408,0.0000,0.7438,0.7455,0.0000,0.0000,1.5024,2.2601,0.0000,0.0000,0.0000,1.5272,0.0000,0.0000,2.3201,0.0000,0.7812,0.7855,0.0000,0.0000,0.8010,1.6142,0.0000,1.6423,1.6584,0.8382,0.0000,0.8592,0.0000,0.8858,0.9017,0.9200,1.8819,0.0000,1303.0000,1303.0000,3383.0000,3383.0000
output2.txt,973.0000,562500.0000,343.0000,187500.0000,3383.0000,562500.0000,1303.0000,187500.0000,Saturated,200,-118.8443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.0000,40.0000,15.0000,14.0000,8.0000,4.0000,10.0000,3.0000,2.0000,0.0000,0.0000,4.0000,1.0000,2.0000,2.0000,3.0000,1.0000,2.0000,2.0000,0.0000,2.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,2.0000,0.0000,3.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,206.0000,40.0000,15.0000,14.0000,8.0000,4.0000,10.0000,3.0000,2.0000,0.0000,0.0000,4.0000,1.0000,2.0000,2.0000,3.0000,1.0000,2.0000,2.0000,0.0000,2.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,2.0000,0.0000,3.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,553.0000,132.0000,43.0000,27.0000,17.0000,19.0000,16.0000,13.0000,11.0000,5.0000,8.0000,5.0000,8.0000,7.0000,4.0000,2.0000,2.0000,1.0000,2.0000,0.0000,1.0000,2.0000,2.0000,4.0000,1.0000,1.0000,4.0000,0.0000,2.0000,2.0000,2.0000,3.0000,3.0000,6.0000,5.0000,1.0000,4.0000,1.0000,5.0000,1.0000,0.0000,3.0000,1.0000,2.0000,1.0000,1.0000,1.0000,1.0000,0.0000,2.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,3.0000,0.0000,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,2.0000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,3.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,2.0000,2.0000,1.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,2.0000,0.0000,553.0000,132.0000,43.0000,27.0000,17.0000,19.0000,16.0000,13.0000,11.0000,5.0000,8.0000,5.0000,8.0000,7.0000,4.0000,2.0000,2.0000,1.0000,2.0000,0.0000,1.0000,2.0000,2.0000,4.0000,1.0000,1.0000,4.0000,0.0000,2.0000,2.0000,2.0000,3.0000,3.0000,6.0000,5.0000,1.0000,4.0000,1.0000,5.0000,1.0000,0.0000,3.0000,1.0000,2.0000,1.0000,1.0000,1.0000,1.0000,0.0000,2.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,3.0000,0.0000,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,2.0000,3.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,3.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,2.0000,2.0000,1.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,2.0000,0.0000,1303.0000,1303.0000,3383.0000,3383.0000
