Alleles Observed-SFS Expected
0 0.996347 0.996347
1 0.001920 0.001735
2 0.000469 0.000571
3 0.000272 0.000258
4 0.000107 0.000142
5 0.000075 0.000091
6 0.000101 0.000065
7 0.000048 0.000051
8 0.000080 0.000043
9 0.000021 0.000037
10 0.000037 0.000033
11 0.000032 0.000030
12 0.000021 0.000028
13 0.000011 0.000026
14 0.000027 0.000024
15 0.000027 0.000023
16 0.000032 0.000022
17 0.000032 0.000021
18 0.000016 0.000020
19 0.000016 0.000019
20 0.000043 0.000018
21 0.000005 0.000018
22 0.000011 0.000017
23 0.000000 0.000017
24 0.000005 0.000016
25 0.000000 0.000016
26 0.000000 0.000015
27 0.000000 0.000015
28 0.000011 0.000015
29 0.000011 0.000014
30 0.000016 0.000014
31 0.000011 0.000014
32 0.000005 0.000013
33 0.000016 0.000013
34 0.000027 0.000013
35 0.000021 0.000013
36 0.000016 0.000013
37 0.000005 0.000013
38 0.000021 0.000012
39 0.000000 0.000012
40 0.000027 0.000012
41 0.000016 0.000012
42 0.000005 0.000012
43 0.000011 0.000012
44 0.000005 0.000012
45 0.000000 0.000012
46 0.000000 0.000012
47 0.000005 0.000012
48 0.000011 0.000012
49 0.000005 0.000012
50 0.000000 0.000006
