"","generation","DFE","selfing","value","sd","replicate","selfing_class","Nem"
"69","f3","DFE3","DFE-alpha",0.594705363333559,0.012449004460374,NA,"50% Selfing","Nem1"
"70","f3","DFE1","DFE-alpha",0.000274363787404797,0.000580066825389257,NA,"99% Selfing","Nem1"
"71","f3","DFE2","DFE-alpha",0.0304776653570483,0.0261801175323313,NA,"99% Selfing","Nem1"
"72","f3","DFE3","DFE-alpha",0.386182065312532,0.0721343341229252,NA,"99% Selfing","Nem1"
"73","f0","DFE1","GRAPES",0.250376910588802,0.0180015783523559,NA,"0% Selfing","Nem1"
"74","f0","DFE2","GRAPES",0.132116029992403,0.0130449724676594,NA,"0% Selfing","Nem1"
"75","f0","DFE3","GRAPES",0.105676731372936,0.00671827050480444,NA,"0% Selfing","Nem1"
"76","f0","DFE1","GRAPES",0.265626696578618,0.0433193092981199,NA,"50% Selfing","Nem1"
"77","f0","DFE2","GRAPES",0.126916801525036,0.00710748998513399,NA,"50% Selfing","Nem1"
"78","f0","DFE3","GRAPES",0.105527506635177,0.0131284344639169,NA,"50% Selfing","Nem1"
"79","f0","DFE1","GRAPES",0.591712924794579,0.0912178155130905,NA,"99% Selfing","Nem1"
"80","f0","DFE2","GRAPES",0.509973086490599,0.119779856788254,NA,"99% Selfing","Nem1"
"81","f0","DFE3","GRAPES",0.25796310284206,0.0619953663469019,NA,"99% Selfing","Nem1"
"82","f1","DFE1","GRAPES",0.628016874896227,0.0249105510109101,NA,"0% Selfing","Nem1"
"83","f1","DFE2","GRAPES",0.243907533980736,0.0081719980126771,NA,"0% Selfing","Nem1"
"84","f1","DFE3","GRAPES",0.109356543332643,0.0023024232175068,NA,"0% Selfing","Nem1"
"85","f1","DFE1","GRAPES",0.61418375773871,0.074502190976823,NA,"50% Selfing","Nem1"
"86","f1","DFE2","GRAPES",0.256669814488605,0.0170349019856205,NA,"50% Selfing","Nem1"
"87","f1","DFE3","GRAPES",0.11359464262349,0.00247914451382488,NA,"50% Selfing","Nem1"
"88","f1","DFE1","GRAPES",0.375881787422544,0.0860665483756106,NA,"99% Selfing","Nem1"
"89","f1","DFE2","GRAPES",0.284426743951527,0.0586788001828116,NA,"99% Selfing","Nem1"
"90","f1","DFE3","GRAPES",0.142726379237651,0.0215797136058324,NA,"99% Selfing","Nem1"
"91","f2","DFE1","GRAPES",0.121606190073318,0.00704634374857437,NA,"0% Selfing","Nem1"
"92","f2","DFE2","GRAPES",0.482442933986034,0.024035157582567,NA,"0% Selfing","Nem1"
"93","f2","DFE3","GRAPES",0.218921498912516,0.0116580916020355,NA,"0% Selfing","Nem1"
"94","f2","DFE1","GRAPES",0.120187644099718,0.0322133014581542,NA,"50% Selfing","Nem1"
"95","f2","DFE2","GRAPES",0.49871876491698,0.0228970174755543,NA,"50% Selfing","Nem1"
"96","f2","DFE3","GRAPES",0.232110582876914,0.0185550431171548,NA,"50% Selfing","Nem1"
"97","f2","DFE1","GRAPES",0.0324052543416776,0.0260017850431978,NA,"99% Selfing","Nem1"
"98","f2","DFE2","GRAPES",0.196469720292998,0.0724269418345669,NA,"99% Selfing","Nem1"
"99","f2","DFE3","GRAPES",0.222313353045978,0.0539133863937518,NA,"99% Selfing","Nem1"
"100","f3","DFE1","GRAPES",2.4441652957119e-08,3.38069450896305e-08,NA,"0% Selfing","Nem1"
"101","f3","DFE2","GRAPES",0.141533502040827,0.0200723152134141,NA,"0% Selfing","Nem1"
"102","f3","DFE3","GRAPES",0.566045226381905,0.00906157796235117,NA,"0% Selfing","Nem1"
"103","f3","DFE1","GRAPES",1.90158295323983e-06,4.1599228237187e-06,NA,"50% Selfing","Nem1"
"104","f3","DFE2","GRAPES",0.117694619069379,0.0327991240252946,NA,"50% Selfing","Nem1"
"105","f3","DFE3","GRAPES",0.548767267864419,0.00992455675585031,NA,"50% Selfing","Nem1"
"106","f3","DFE1","GRAPES",3.34411998537121e-08,5.73595097069678e-08,NA,"99% Selfing","Nem1"
"107","f3","DFE2","GRAPES",0.00913044926487505,0.0136920875924487,NA,"99% Selfing","Nem1"
"108","f3","DFE3","GRAPES",0.376997164874311,0.0512077771636567,NA,"99% Selfing","Nem1"
