Alleles Observed-SFS Expected
0 0.994935 0.994940
1 0.002219 0.002116
2 0.000752 0.000833
3 0.000396 0.000457
4 0.000286 0.000294
5 0.000192 0.000205
6 0.000151 0.000152
7 0.000119 0.000116
8 0.000076 0.000092
9 0.000069 0.000075
10 0.000053 0.000062
11 0.000053 0.000052
12 0.000043 0.000044
13 0.000053 0.000038
14 0.000048 0.000034
15 0.000044 0.000030
16 0.000043 0.000027
17 0.000032 0.000024
18 0.000032 0.000022
19 0.000028 0.000021
20 0.000023 0.000019
21 0.000014 0.000018
22 0.000018 0.000017
23 0.000021 0.000016
24 0.000021 0.000015
25 0.000012 0.000014
26 0.000007 0.000014
27 0.000014 0.000013
28 0.000014 0.000013
29 0.000018 0.000013
30 0.000011 0.000012
31 0.000018 0.000012
32 0.000012 0.000012
33 0.000012 0.000011
34 0.000011 0.000011
35 0.000014 0.000011
36 0.000012 0.000011
37 0.000009 0.000011
38 0.000012 0.000010
39 0.000009 0.000010
40 0.000007 0.000010
41 0.000009 0.000010
42 0.000011 0.000010
43 0.000007 0.000010
44 0.000020 0.000010
45 0.000014 0.000010
46 0.000002 0.000010
47 0.000004 0.000010
48 0.000007 0.000010
49 0.000009 0.000010
50 0.000000 0.000005
