Alleles Observed-SFS Expected
0 0.990512 0.990512
1 0.001936 0.001935
2 0.000987 0.001063
3 0.000741 0.000679
4 0.000571 0.000493
5 0.000416 0.000387
6 0.000208 0.000319
7 0.000299 0.000273
8 0.000149 0.000239
9 0.000213 0.000213
10 0.000181 0.000193
11 0.000219 0.000177
12 0.000176 0.000164
13 0.000197 0.000153
14 0.000165 0.000143
15 0.000139 0.000135
16 0.000085 0.000128
17 0.000133 0.000122
18 0.000117 0.000117
19 0.000096 0.000112
20 0.000091 0.000108
21 0.000069 0.000104
22 0.000123 0.000100
23 0.000069 0.000097
24 0.000043 0.000094
25 0.000069 0.000092
26 0.000107 0.000090
27 0.000069 0.000087
28 0.000107 0.000085
29 0.000075 0.000084
30 0.000075 0.000082
31 0.000128 0.000081
32 0.000075 0.000079
33 0.000037 0.000078
34 0.000053 0.000077
35 0.000096 0.000076
36 0.000075 0.000075
37 0.000043 0.000074
38 0.000048 0.000073
39 0.000075 0.000072
40 0.000107 0.000072
41 0.000096 0.000071
42 0.000096 0.000071
43 0.000043 0.000070
44 0.000091 0.000070
45 0.000085 0.000070
46 0.000155 0.000069
47 0.000037 0.000069
48 0.000117 0.000069
49 0.000064 0.000069
50 0.000043 0.000034
