"","generation","DFE","selfing","value","sd","replicate","selfing_class","dominance"
"1","f0","DFE1","truth",0.204291490497034,0,1,"0% Selfing",0.5
"2","f0","DFE1","truth",0.204291490497034,0,2,"50% Selfing",0.5
"3","f0","DFE1","truth",0.204291490497034,0,6,"99% Selfing",0.5
"4","f0","DFE2","truth",0.112462916018285,0,1,"0% Selfing",0.5
"5","f0","DFE2","truth",0.112462916018285,0,2,"50% Selfing",0.5
"6","f0","DFE2","truth",0.112462916018285,0,6,"99% Selfing",0.5
"7","f0","DFE3","truth",0.0977430831943102,0,1,"0% Selfing",0.5
"8","f0","DFE3","truth",0.0977430831943102,0,2,"50% Selfing",0.5
"9","f0","DFE3","truth",0.0977430831943102,0,6,"99% Selfing",0.5
"10","f1","DFE1","truth",0.655391553835657,0,1,"0% Selfing",0.5
"11","f1","DFE1","truth",0.655391553835657,0,2,"50% Selfing",0.5
"12","f1","DFE1","truth",0.655391553835657,0,6,"99% Selfing",0.5
"13","f1","DFE2","truth",0.232816237963138,0,1,"0% Selfing",0.5
"14","f1","DFE2","truth",0.232816237963138,0,2,"50% Selfing",0.5
"15","f1","DFE2","truth",0.232816237963138,0,6,"99% Selfing",0.5
"16","f1","DFE3","truth",0.0971585977061945,0,1,"0% Selfing",0.5
"17","f1","DFE3","truth",0.0971585977061945,0,2,"50% Selfing",0.5
"18","f1","DFE3","truth",0.0971585977061945,0,6,"99% Selfing",0.5
"19","f2","DFE1","truth",0.140316945048907,0,1,"0% Selfing",0.5
"20","f2","DFE1","truth",0.140316945048907,0,2,"50% Selfing",0.5
"21","f2","DFE1","truth",0.140316945048907,0,6,"99% Selfing",0.5
"22","f2","DFE2","truth",0.497421638968293,0,1,"0% Selfing",0.5
"23","f2","DFE2","truth",0.497421638968293,0,2,"50% Selfing",0.5
"24","f2","DFE2","truth",0.497421638968293,0,6,"99% Selfing",0.5
"25","f2","DFE3","truth",0.191576054325077,0,1,"0% Selfing",0.5
"26","f2","DFE3","truth",0.191576054325077,0,2,"50% Selfing",0.5
"27","f2","DFE3","truth",0.191576054325077,0,6,"99% Selfing",0.5
"28","f3","DFE1","truth",1.06184019910138e-08,0,1,"0% Selfing",0.5
"29","f3","DFE1","truth",1.06184019910138e-08,0,2,"50% Selfing",0.5
"30","f3","DFE1","truth",1.06184019910138e-08,0,6,"99% Selfing",0.5
"31","f3","DFE2","truth",0.157299207050284,0,1,"0% Selfing",0.5
"32","f3","DFE2","truth",0.157299207050284,0,2,"50% Selfing",0.5
"33","f3","DFE2","truth",0.157299207050284,0,6,"99% Selfing",0.5
"34","f3","DFE3","truth",0.613522264774418,0,1,"0% Selfing",0.5
"35","f3","DFE3","truth",0.613522264774418,0,2,"50% Selfing",0.5
"36","f3","DFE3","truth",0.613522264774418,0,6,"99% Selfing",0.5
"37","f0","DFE1","0",0.373815970495895,0.00551633778434733,NA,"0% Selfing",0.5
"38","f0","DFE2","0",0.163878432185206,0.00465911881946498,NA,"0% Selfing",0.5
"39","f0","DFE3","0",0.125704077374,0.00320377392203273,NA,"0% Selfing",0.5
"40","f0","DFE1","50",0.371400314807234,0.0105345771985794,NA,"50% Selfing",0.5
"41","f0","DFE2","50",0.16723798744912,0.0101664674229371,NA,"50% Selfing",0.5
"42","f0","DFE3","50",0.129314780984604,0.00636218527745465,NA,"50% Selfing",0.5
"43","f0","DFE1","99",0.674553309122096,0.0302894915665226,NA,"99% Selfing",0.5
"44","f0","DFE2","99",0.506984522143863,0.0134150734461442,NA,"99% Selfing",0.5
"45","f0","DFE3","99",0.2563268327321,0.00837193206179228,NA,"99% Selfing",0.5
"46","f1","DFE1","0",0.588613725133602,0.00793454429404655,NA,"0% Selfing",0.5
"47","f1","DFE2","0",0.303598393266689,0.0124893854063643,NA,"0% Selfing",0.5
"48","f1","DFE3","0",0.122537064165429,0.00386320127357337,NA,"0% Selfing",0.5
"49","f1","DFE1","50",0.598664248199128,0.0225992721834317,NA,"50% Selfing",0.5
"50","f1","DFE2","50",0.305319496219618,0.00846072494443516,NA,"50% Selfing",0.5
"51","f1","DFE3","50",0.119713820581566,0.00362830108373161,NA,"50% Selfing",0.5
"52","f1","DFE1","99",0.294956311102225,0.016982864473021,NA,"99% Selfing",0.5
"53","f1","DFE2","99",0.406391676349835,0.0248555368629387,NA,"99% Selfing",0.5
"54","f1","DFE3","99",0.205548693656586,0.0250953555298374,NA,"99% Selfing",0.5
"55","f2","DFE1","0",0.0375703043678032,0.00895711660751756,NA,"0% Selfing",0.5
"56","f2","DFE2","0",0.475668531630983,0.00433801888538308,NA,"0% Selfing",0.5
"57","f2","DFE3","0",0.23648634500595,0.0121410691141734,NA,"0% Selfing",0.5
"58","f2","DFE1","50",0.0299354369929484,0.0133087031537219,NA,"50% Selfing",0.5
"59","f2","DFE2","50",0.472830516711689,0.0106116304320165,NA,"50% Selfing",0.5
"60","f2","DFE3","50",0.226424990047468,0.013824497424184,NA,"50% Selfing",0.5
"61","f2","DFE1","99",0.0304898300665111,0.0197874214137054,NA,"99% Selfing",0.5
"62","f2","DFE2","99",0.0866050229237802,0.0305237805905001,NA,"99% Selfing",0.5
"63","f2","DFE3","99",0.323576801603795,0.03975279997622,NA,"99% Selfing",0.5
"64","f3","DFE1","0",2.69926303531065e-12,3.79731418508051e-12,NA,"0% Selfing",0.5
"65","f3","DFE2","0",0.0568546429171219,0.0128677404561675,NA,"0% Selfing",0.5
"66","f3","DFE3","0",0.515272513454622,0.0139569682278888,NA,"0% Selfing",0.5
"67","f3","DFE1","50",6.89204249226805e-13,1.3592577926918e-12,NA,"50% Selfing",0.5
"68","f3","DFE2","50",0.0546119996195731,0.00857854319165135,NA,"50% Selfing",0.5
"69","f3","DFE3","50",0.524546408386362,0.0113880008518978,NA,"50% Selfing",0.5
"70","f3","DFE1","99",5.49709168029544e-07,1.22707141536968e-06,NA,"99% Selfing",0.5
"71","f3","DFE2","99",1.87785825215503e-05,4.01431168916529e-05,NA,"99% Selfing",0.5
"72","f3","DFE3","99",0.21454767200752,0.0624574430893276,NA,"99% Selfing",0.5
"73","f0","DFE1","0_grapes",0.370435281718018,0.0163920080960455,NA,"0% Selfing",0.5
"74","f0","DFE2","0_grapes",0.161487338385341,0.00647962101316934,NA,"0% Selfing",0.5
"75","f0","DFE3","0_grapes",0.125476792377731,0.00685328254889327,NA,"0% Selfing",0.5
"76","f0","DFE1","50_grapes",0.365909599846902,0.0188547142373328,NA,"50% Selfing",0.5
"77","f0","DFE2","50_grapes",0.169511007579987,0.0166977496230016,NA,"50% Selfing",0.5
"78","f0","DFE3","50_grapes",0.130857761991237,0.0085585886582652,NA,"50% Selfing",0.5
"79","f0","DFE1","99_grapes",0.693741906484211,0.0524608654390859,NA,"99% Selfing",0.5
"80","f0","DFE2","99_grapes",0.48089738443367,0.115179253099086,NA,"99% Selfing",0.5
"81","f0","DFE3","99_grapes",0.320251300894996,0.0909421783557748,NA,"99% Selfing",0.5
