"","generation","DFE","selfing","value","sd","replicate","selfing_class","dominance"
"61","f2","DFE1","Dominance_adjusted_99",0.00877562611364385,0,NA,"99% Selfing",0.1
"62","f2","DFE2","Dominance_adjusted_99",0.454138155185282,0,NA,"99% Selfing",0.1
"63","f2","DFE3","Dominance_adjusted_99",0.247294869959573,0,NA,"99% Selfing",0.1
"64","f3","DFE1","Dominance_adjusted_0",0,0,NA,"0% Selfing",0.1
"65","f3","DFE2","Dominance_adjusted_0",7.74421643101597e-06,0,NA,"0% Selfing",0.1
"66","f3","DFE3","Dominance_adjusted_0",0.273042656289634,0,NA,"0% Selfing",0.1
"67","f3","DFE1","Dominance_adjusted_50",0,0,NA,"50% Selfing",0.1
"68","f3","DFE2","Dominance_adjusted_50",0.0107874492546703,0,NA,"50% Selfing",0.1
"69","f3","DFE3","Dominance_adjusted_50",0.457915344530214,0,NA,"50% Selfing",0.1
"70","f3","DFE1","Dominance_adjusted_99",5.55111512312578e-17,0,NA,"99% Selfing",0.1
"71","f3","DFE2","Dominance_adjusted_99",0.0253399967963929,0,NA,"99% Selfing",0.1
"72","f3","DFE3","Dominance_adjusted_99",0.496398208532444,0,NA,"99% Selfing",0.1
"73","f0","DFE1","0_grapes",0.683485543559938,0.016127476076047,NA,"0% Selfing",0.1
"74","f0","DFE2","0_grapes",0.203303332955653,0.0179479738729712,NA,"0% Selfing",0.1
"75","f0","DFE3","0_grapes",0.157788270823959,0.00293024023969434,NA,"0% Selfing",0.1
"76","f0","DFE1","50_grapes",0.449753235186027,0.0555095924651123,NA,"50% Selfing",0.1
"77","f0","DFE2","50_grapes",0.196476394824474,0.0101935582570577,NA,"50% Selfing",0.1
"78","f0","DFE3","50_grapes",0.145215081249753,0.00703916413842143,NA,"50% Selfing",0.1
"79","f0","DFE1","99_grapes",0.747721568888324,0.0338332670382279,NA,"99% Selfing",0.1
"80","f0","DFE2","99_grapes",0.52010673854117,0.04406337019426,NA,"99% Selfing",0.1
"81","f0","DFE3","99_grapes",0.287393990484076,0.0520975199169477,NA,"99% Selfing",0.1
"82","f1","DFE1","0_grapes",0.316514455938512,0.0161274756170239,NA,"0% Selfing",0.1
"83","f1","DFE2","0_grapes",0.664906183724105,0.0627872271170481,NA,"0% Selfing",0.1
"84","f1","DFE3","0_grapes",0.219886513962121,0.00875242409594255,NA,"0% Selfing",0.1
"85","f1","DFE1","50_grapes",0.548578082677576,0.0578195823276352,NA,"50% Selfing",0.1
"86","f1","DFE2","50_grapes",0.422621190773936,0.019341870815913,NA,"50% Selfing",0.1
"87","f1","DFE3","50_grapes",0.164413862880548,0.00522264180711534,NA,"50% Selfing",0.1
"88","f1","DFE1","99_grapes",0.24958846378642,0.0346244339613244,NA,"99% Selfing",0.1
"89","f1","DFE2","99_grapes",0.300918888957679,0.0377152458125114,NA,"99% Selfing",0.1
"90","f1","DFE3","99_grapes",0.157215026029817,0.0112525430249115,NA,"99% Selfing",0.1
"91","f2","DFE1","0_grapes",5.01549979325944e-10,6.88942255856066e-10,NA,"0% Selfing",0.1
"92","f2","DFE2","0_grapes",0.131790133999346,0.0491152685833914,NA,"0% Selfing",0.1
"93","f2","DFE3","0_grapes",0.420430393052788,0.0150727489758129,NA,"0% Selfing",0.1
"94","f2","DFE1","50_grapes",0.0016686821363964,0.00370551062353877,NA,"50% Selfing",0.1
"95","f2","DFE2","50_grapes",0.377314856575112,0.0105724943833223,NA,"50% Selfing",0.1
"96","f2","DFE3","50_grapes",0.324547660111,0.013680091994511,NA,"50% Selfing",0.1
"97","f2","DFE1","99_grapes",0.00268996732525528,0.00205428318176236,NA,"99% Selfing",0.1
"98","f2","DFE2","99_grapes",0.175534025867341,0.0286615648129186,NA,"99% Selfing",0.1
"99","f2","DFE3","99_grapes",0.237207837093544,0.0298117242298151,NA,"99% Selfing",0.1
"100","f3","DFE1","0_grapes",0,0,NA,"0% Selfing",0.1
"101","f3","DFE2","0_grapes",3.49320895337568e-07,5.41680914855108e-07,NA,"0% Selfing",0.1
"102","f3","DFE3","0_grapes",0.201894822161132,0.0220392056305025,NA,"0% Selfing",0.1
"103","f3","DFE1","50_grapes",-1.11022302462516e-17,2.48253415324727e-17,NA,"50% Selfing",0.1
"104","f3","DFE2","50_grapes",0.0035875578264787,0.0016953532385351,NA,"50% Selfing",0.1
"105","f3","DFE3","50_grapes",0.365823395758698,0.017757341060501,NA,"50% Selfing",0.1
"106","f3","DFE1","99_grapes",1.77635683940025e-16,2.55592534542023e-16,NA,"99% Selfing",0.1
"107","f3","DFE2","99_grapes",0.00344034663381019,0.00379296771604846,NA,"99% Selfing",0.1
"108","f3","DFE3","99_grapes",0.318183146392564,0.0436730429236099,NA,"99% Selfing",0.1
