"","generation","DFE","selfing","value","sd","replicate","selfing_class","dominance"
"1","f0","DFE1","truth",0.562321640499718,0,1,"0% Selfing",0.25
"2","f0","DFE1","truth",0.562321640499718,0,2,"50% Selfing",0.25
"3","f0","DFE1","truth",0.562321640499718,0,6,"99% Selfing",0.25
"4","f0","DFE2","truth",0.222702589210478,0,1,"0% Selfing",0.25
"5","f0","DFE2","truth",0.222702589210478,0,2,"50% Selfing",0.25
"6","f0","DFE2","truth",0.222702589210478,0,6,"99% Selfing",0.25
"7","f0","DFE3","truth",0.148120051586325,0,1,"0% Selfing",0.25
"8","f0","DFE3","truth",0.148120051586325,0,2,"50% Selfing",0.25
"9","f0","DFE3","truth",0.148120051586325,0,6,"99% Selfing",0.25
"10","f1","DFE1","truth",0.437111880500836,0,1,"0% Selfing",0.25
"11","f1","DFE1","truth",0.437111880500836,0,2,"50% Selfing",0.25
"12","f1","DFE1","truth",0.437111880500836,0,6,"99% Selfing",0.25
"13","f1","DFE2","truth",0.406204041266824,0,1,"0% Selfing",0.25
"14","f1","DFE2","truth",0.406204041266824,0,2,"50% Selfing",0.25
"15","f1","DFE2","truth",0.406204041266824,0,6,"99% Selfing",0.25
"16","f1","DFE3","truth",0.146684269735566,0,1,"0% Selfing",0.25
"17","f1","DFE3","truth",0.146684269735566,0,2,"50% Selfing",0.25
"18","f1","DFE3","truth",0.146684269735566,0,6,"99% Selfing",0.25
"19","f2","DFE1","truth",0.000566478999446285,0,1,"0% Selfing",0.25
"20","f2","DFE1","truth",0.000566478999446285,0,2,"50% Selfing",0.25
"21","f2","DFE1","truth",0.000566478999446285,0,6,"99% Selfing",0.25
"22","f2","DFE2","truth",0.36641563454165,0,1,"0% Selfing",0.25
"23","f2","DFE2","truth",0.36641563454165,0,2,"50% Selfing",0.25
"24","f2","DFE2","truth",0.36641563454165,0,6,"99% Selfing",0.25
"25","f2","DFE3","truth",0.279240326056267,0,1,"0% Selfing",0.25
"26","f2","DFE3","truth",0.279240326056267,0,2,"50% Selfing",0.25
"27","f2","DFE3","truth",0.279240326056267,0,6,"99% Selfing",0.25
"28","f3","DFE1","truth",0,0,1,"0% Selfing",0.25
"29","f3","DFE1","truth",0,0,2,"50% Selfing",0.25
"30","f3","DFE1","truth",0,0,6,"99% Selfing",0.25
"31","f3","DFE2","truth",0.00467773498104732,0,1,"0% Selfing",0.25
"32","f3","DFE2","truth",0.00467773498104732,0,2,"50% Selfing",0.25
"33","f3","DFE2","truth",0.00467773498104732,0,6,"99% Selfing",0.25
"34","f3","DFE3","truth",0.425955352621842,0,1,"0% Selfing",0.25
"35","f3","DFE3","truth",0.425955352621842,0,2,"50% Selfing",0.25
"36","f3","DFE3","truth",0.425955352621842,0,6,"99% Selfing",0.25
"37","f0","DFE1","0",0.431509957456626,0.007633201769915,NA,"0% Selfing",0.25
"38","f0","DFE2","0",0.182141992071226,0.006108158637129,NA,"0% Selfing",0.25
"39","f0","DFE3","0",0.140451206041372,0.00284086243645375,NA,"0% Selfing",0.25
"40","f0","DFE1","50",0.395393880558821,0.0171814766300538,NA,"50% Selfing",0.25
"41","f0","DFE2","50",0.180914847849413,0.00683915226819754,NA,"50% Selfing",0.25
"42","f0","DFE3","50",0.131203123509332,0.00698521344530408,NA,"50% Selfing",0.25
"43","f0","DFE1","99",0.679280863715582,0.0191008296680019,NA,"99% Selfing",0.25
"44","f0","DFE2","99",0.501983014683839,0.0129475143845463,NA,"99% Selfing",0.25
"45","f0","DFE3","99",0.254826137021113,0.00859771100686312,NA,"99% Selfing",0.25
"46","f1","DFE1","0",0.568488252473607,0.00763019394192461,NA,"0% Selfing",0.25
"47","f1","DFE2","0",0.464046283890408,0.0247475957726441,NA,"0% Selfing",0.25
"48","f1","DFE3","0",0.143689234102681,0.00460204427817628,NA,"0% Selfing",0.25
"49","f1","DFE1","50",0.603224744091442,0.0170677118316293,NA,"50% Selfing",0.25
"50","f1","DFE2","50",0.359633608526461,0.0149246621280059,NA,"50% Selfing",0.25
"51","f1","DFE3","50",0.136298000653125,0.00565175375611217,NA,"50% Selfing",0.25
"52","f1","DFE1","99",0.295382943431555,0.0300413392005388,NA,"99% Selfing",0.25
"53","f1","DFE2","99",0.362832462548223,0.0348758588731138,NA,"99% Selfing",0.25
"54","f1","DFE3","99",0.226565442313881,0.0166072028123443,NA,"99% Selfing",0.25
"55","f2","DFE1","0",1.79006976712692e-06,3.81362410770224e-06,NA,"0% Selfing",0.25
"56","f2","DFE2","0",0.352670918408031,0.0228066865690541,NA,"0% Selfing",0.25
"57","f2","DFE3","0",0.278258664745458,0.0107796979972891,NA,"0% Selfing",0.25
"58","f2","DFE1","50",0.00138137534973648,0.00187002309178309,NA,"50% Selfing",0.25
"59","f2","DFE2","50",0.441139088125286,0.0139345326578539,NA,"50% Selfing",0.25
"60","f2","DFE3","50",0.268098186204558,0.0199376380759953,NA,"50% Selfing",0.25
"61","f2","DFE1","99",0.0252889444929284,0.0395249524624024,NA,"99% Selfing",0.25
"62","f2","DFE2","99",0.13484077381284,0.0399664310806206,NA,"99% Selfing",0.25
"63","f2","DFE3","99",0.352382850230048,0.0157500226698232,NA,"99% Selfing",0.25
"64","f3","DFE1","0",0,0,NA,"0% Selfing",0.25
"65","f3","DFE2","0",0.00114080563033498,0.000856812078898217,NA,"0% Selfing",0.25
"66","f3","DFE3","0",0.437600895110489,0.0161804256205142,NA,"0% Selfing",0.25
"67","f3","DFE1","50",0,3.92523114670944e-17,NA,"50% Selfing",0.25
"68","f3","DFE2","50",0.0183124554988398,0.0055779320619106,NA,"50% Selfing",0.25
"69","f3","DFE3","50",0.464400689632986,0.019557292957254,NA,"50% Selfing",0.25
"70","f3","DFE1","99",4.72483599345708e-05,0.000105650544477589,NA,"99% Selfing",0.25
