Alleles Observed-SFS Expected
0 0.976155 0.976155
1 0.004832 0.004799
2 0.002549 0.002610
3 0.001733 0.001665
4 0.001067 0.001215
5 0.001125 0.000960
6 0.000784 0.000798
7 0.000661 0.000686
8 0.000549 0.000604
9 0.000597 0.000542
10 0.000533 0.000492
11 0.000485 0.000452
12 0.000459 0.000419
13 0.000341 0.000391
14 0.000389 0.000367
15 0.000304 0.000347
16 0.000331 0.000329
17 0.000325 0.000313
18 0.000336 0.000300
19 0.000304 0.000287
20 0.000315 0.000276
21 0.000283 0.000267
22 0.000208 0.000258
23 0.000213 0.000250
24 0.000160 0.000242
25 0.000229 0.000236
26 0.000240 0.000230
27 0.000229 0.000224
28 0.000203 0.000219
29 0.000240 0.000215
30 0.000155 0.000211
31 0.000272 0.000207
32 0.000176 0.000203
33 0.000133 0.000200
34 0.000203 0.000197
35 0.000245 0.000194
36 0.000208 0.000192
37 0.000192 0.000190
38 0.000203 0.000188
39 0.000197 0.000186
40 0.000208 0.000184
41 0.000181 0.000183
42 0.000240 0.000182
43 0.000203 0.000180
44 0.000155 0.000179
45 0.000149 0.000179
46 0.000171 0.000178
47 0.000155 0.000177
48 0.000155 0.000177
49 0.000149 0.000177
50 0.000069 0.000088
