Alleles Observed-SFS Expected
0 0.996667 0.996667
1 0.001387 0.001373
2 0.000405 0.000464
3 0.000283 0.000220
4 0.000123 0.000131
5 0.000059 0.000092
6 0.000075 0.000071
7 0.000043 0.000059
8 0.000123 0.000051
9 0.000091 0.000045
10 0.000043 0.000041
11 0.000021 0.000038
12 0.000021 0.000035
13 0.000021 0.000032
14 0.000032 0.000030
15 0.000021 0.000029
16 0.000032 0.000027
17 0.000027 0.000026
18 0.000016 0.000025
19 0.000005 0.000024
20 0.000027 0.000023
21 0.000005 0.000022
22 0.000021 0.000021
23 0.000021 0.000021
24 0.000005 0.000020
25 0.000000 0.000020
26 0.000005 0.000019
27 0.000011 0.000019
28 0.000011 0.000018
29 0.000016 0.000018
30 0.000021 0.000017
31 0.000016 0.000017
32 0.000032 0.000017
33 0.000005 0.000017
34 0.000016 0.000016
35 0.000011 0.000016
36 0.000027 0.000016
37 0.000027 0.000016
38 0.000021 0.000016
39 0.000016 0.000015
40 0.000005 0.000015
41 0.000021 0.000015
42 0.000016 0.000015
43 0.000016 0.000015
44 0.000032 0.000015
45 0.000016 0.000015
46 0.000021 0.000015
47 0.000021 0.000015
48 0.000011 0.000015
49 0.000032 0.000015
50 0.000000 0.000007
