Alleles Observed-SFS Expected
0 0.966043 0.966043
1 0.006805 0.006668
2 0.003312 0.003613
3 0.002555 0.002319
4 0.001589 0.001711
5 0.001451 0.001367
6 0.001248 0.001145
7 0.001040 0.000989
8 0.000859 0.000874
9 0.000709 0.000785
10 0.000869 0.000714
11 0.000603 0.000657
12 0.000571 0.000609
13 0.000523 0.000568
14 0.000501 0.000534
15 0.000512 0.000504
16 0.000485 0.000478
17 0.000437 0.000456
18 0.000443 0.000435
19 0.000421 0.000418
20 0.000421 0.000402
21 0.000357 0.000387
22 0.000437 0.000375
23 0.000325 0.000363
24 0.000299 0.000352
25 0.000363 0.000343
26 0.000336 0.000334
27 0.000277 0.000326
28 0.000304 0.000319
29 0.000368 0.000312
30 0.000368 0.000306
31 0.000261 0.000301
32 0.000320 0.000295
33 0.000277 0.000291
34 0.000299 0.000286
35 0.000261 0.000283
36 0.000235 0.000279
37 0.000219 0.000276
38 0.000267 0.000273
39 0.000299 0.000270
40 0.000229 0.000268
41 0.000272 0.000266
42 0.000229 0.000264
43 0.000277 0.000262
44 0.000245 0.000261
45 0.000304 0.000260
46 0.000251 0.000259
47 0.000283 0.000258
48 0.000267 0.000258
49 0.000213 0.000257
50 0.000160 0.000129
