name fullpath selfing DFE output m1_count m2_count m4_count neutral_m4_count alpha
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing99_DFE2_pos/output4.fixed 99 DFE2 4 1263 2491 964 0 0.279015918958032
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing99_DFE3_pos/output4.fixed 99 DFE3 4 1303 1226 783 0 0.389746142359383
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing0_DFE1_pos/output5.fixed 0 DFE1 5 1232 2447 7558 4 0.755022488755622
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing0_DFE2_pos/output5.fixed 0 DFE2 5 1194 1124 7466 3 0.868800931315483
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing0_DFE3_pos/output5.fixed 0 DFE3 5 1280 665 7037 1 0.913528953518567
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing50_DFE1_pos/output5.fixed 50 DFE1 5 1240 2572 6173 1 0.705774728416238
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing50_DFE2_pos/output5.fixed 50 DFE2 5 1239 1277 6070 3 0.825779229617531
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing50_DFE3_pos/output5.fixed 50 DFE3 5 1264 718 5460 2 0.883457429588864
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing99_DFE1_pos/output5.fixed 99 DFE1 5 1172 3531 1031 3 0.225339763261727
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing99_DFE2_pos/output5.fixed 99 DFE2 5 1237 2420 1008 0 0.294049008168028
output5.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing99_DFE3_pos/output5.fixed 99 DFE3 5 1243 1260 791 2 0.384690394929303
