"","generation","DFE","selfing","value","sd","replicate","selfing_class"
"1","f0","DFE1","Simulated DFE",0.204291490497034,0,6,"99% Selfing"
"2","f0","DFE2","Simulated DFE",0.112462916018285,0,6,"99% Selfing"
"3","f0","DFE3","Simulated DFE",0.0977430831943102,0,6,"99% Selfing"
"4","f1","DFE1","Simulated DFE",0.655391553835657,0,6,"99% Selfing"
"5","f1","DFE2","Simulated DFE",0.232816237963138,0,6,"99% Selfing"
"6","f1","DFE3","Simulated DFE",0.0971585977061945,0,6,"99% Selfing"
"7","f2","DFE1","Simulated DFE",0.140316945048907,0,6,"99% Selfing"
"8","f2","DFE2","Simulated DFE",0.497421638968293,0,6,"99% Selfing"
"9","f2","DFE3","Simulated DFE",0.191576054325077,0,6,"99% Selfing"
"10","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,6,"99% Selfing"
"11","f3","DFE2","Simulated DFE",0.157299207050284,0,6,"99% Selfing"
"12","f3","DFE3","Simulated DFE",0.613522264774418,0,6,"99% Selfing"
"13","f0","DFE1","99",0.573424238493923,0.0253565276703106,NA,"99% Selfing"
"14","f0","DFE2","99",0.402698206027773,0.0118367202607094,NA,"99% Selfing"
"15","f0","DFE3","99",0.214448013376226,0.009672879637554,NA,"99% Selfing"
"16","f1","DFE1","99",0.334457434481618,0.0208211934449029,NA,"99% Selfing"
"17","f1","DFE2","99",0.400173362547285,0.0361276068082172,NA,"99% Selfing"
"18","f1","DFE3","99",0.172982301050878,0.0186607479012895,NA,"99% Selfing"
"19","f2","DFE1","99",0.0920058433013083,0.0316110014028123,NA,"99% Selfing"
"20","f2","DFE2","99",0.19609429454325,0.0317653747282567,NA,"99% Selfing"
"21","f2","DFE3","99",0.292779178297064,0.0400377567784355,NA,"99% Selfing"
"22","f3","DFE1","99",0.00011248372315098,0.000235110643502956,NA,"99% Selfing"
"23","f3","DFE2","99",0.00103413688169192,0.00168753349514477,NA,"99% Selfing"
"24","f3","DFE3","99",0.319790507275832,0.0527810523777609,NA,"99% Selfing"
"25","f0","DFE1","99_grapes",0.569971164499234,0.0503829790243491,NA,"99% Selfing"
"26","f0","DFE2","99_grapes",0.394155040485233,0.124182732602154,NA,"99% Selfing"
"27","f0","DFE3","99_grapes",0.286627362101608,0.0930608853763375,NA,"99% Selfing"
"28","f1","DFE1","99_grapes",0.376482504686734,0.0311535022501308,NA,"99% Selfing"
"29","f1","DFE2","99_grapes",0.35058588436347,0.0749682846295598,NA,"99% Selfing"
"30","f1","DFE3","99_grapes",0.129546644009722,0.0176162566169117,NA,"99% Selfing"
"31","f2","DFE1","99_grapes",0.0535459163138972,0.0246352944265573,NA,"99% Selfing"
"32","f2","DFE2","99_grapes",0.25050559800844,0.0565036772695548,NA,"99% Selfing"
"33","f2","DFE3","99_grapes",0.193012191913392,0.046504497546696,NA,"99% Selfing"
"34","f3","DFE1","99_grapes",4.14500135326179e-07,7.60994778257017e-07,NA,"99% Selfing"
"35","f3","DFE2","99_grapes",0.00475347714285727,0.0041288030583764,NA,"99% Selfing"
"36","f3","DFE3","99_grapes",0.390813801975278,0.0519450731404024,NA,"99% Selfing"
