"","selfing","DFE","pis_avg","p_avg"
"1","0","DFE1",0.00230083928888889,0.101656240463657
"2","0","DFE2",0.00112355527111111,0.0783972947587317
"3","0","DFE3",0.000651296284444444,0.0873835083569967
"4","50","DFE1",0.00166355566222222,0.10547566652886
"5","50","DFE2",0.000817038435555556,0.081588191241122
"6","50","DFE3",0.000457366435555556,0.0906778872273322
"7","80","DFE1",0.00201853112888889,0.121075896842429
"8","80","DFE2",0.000900939093333333,0.0939503619924961
"9","80","DFE3",0.000457577955555556,0.109206461447854
"10","90","DFE1",0.00173701639111111,0.119930581810978
"11","90","DFE2",0.000697517013333333,0.0920109667549573
"12","90","DFE3",0.000335188835555556,0.105244642290207
"13","95","DFE1",0.00152851463111111,0.120102517586074
"14","95","DFE2",0.000459725582222222,0.0832552698096302
"15","95","DFE3",0.000227204977777778,0.0923007998592989
"16","99","DFE1",0.000485370204444444,0.0859431725591037
"17","99","DFE2",0.000129733262222222,0.0555973864227089
"18","99","DFE3",7.57049955555556e-05,0.0598776403931362
