"","selfing","DFE","pn_avg","pn_sd","Lpn_avg","Lpn_sd","ps_avg","ps_sd","Lps_avg","Lps_sd","dn_avg","dn_sd","Ldn_avg","Ldn_sd","ds_avg","ds_sd","Lds_avg","Lds_sd","X.param_avg","X.param_sd","lnL_avg","lnL_sd","alpha_avg","alpha_sd","alpha_down_avg","alpha_down_sd","omegaA_avg","omegaA_sd","omegaA_down_avg","omegaA_down_sd","omegaA_up_avg","omegaA_up_sd","prop_subst_sdel_avg","prop_subst_sdel_sd","prop_subst_wdel_avg","prop_subst_wdel_sd","prop_subst_wadv_avg","prop_subst_wadv_sd","prop_subst_sadv_avg","prop_subst_sadv_sd","GammaExpo.negGmean_avg","GammaExpo.negGmean_sd","GammaExpo.negGshape_avg","GammaExpo.negGshape_sd","GammaExpo.posGmean_avg","GammaExpo.posGmean_sd","GammaExpo.pos_prop_avg","GammaExpo.pos_prop_sd","GammaExpo.syno_orientation_error_avg","GammaExpo.syno_orientation_error_sd","theta_avg","theta_sd","t0_avg","t0_sd","t1_avg","t1_sd","t2_avg","t2_sd","t3_avg","t3_sd"
"1","0","DFE1",6994.6,55.3832104522661,562500,0,2589.6,60.9532607823404,187500,0,2500.8,47.420459719408,562500,0,1242.2,28.2258746542955,187500,0,106,0,-448.71338,8.56537988865644,0.15538,0.124217579271213,0,0,0.1044,0.0827725800008674,0,0,0,0,0.00132,0.000363318042491699,0.73606,0.0719931107815186,0.10722,0.133809554965256,0.15538,0.124217579271213,2.6223546,0.663225390899504,0.3010088,0.133277495876836,1782.2172246,3874.45384986576,0.0822598,0.0264616753192235,0.0426576,0.0418678417499637,0.005136,0.000269026950322825,0.578276593501024,0.101019258020634,0.353121278455755,0.0954384920163318,0.0685971644664987,0.0254508807449395,4.96357672250536e-06,4.52501400534857e-06
"2","0","DFE2",4842.8,45.5269151162255,562500,0,2574,62.7415332933456,187500,0,1160.4,44.0715327620903,562500,0,1224,20.976176963403,187500,0,106,0,-415.37318,9.37407286546247,0.28384,0.149555066781437,0,0,0.08918,0.0462612905137762,0,0,0,0,0.00246,0.000219089023002066,0.57008,0.119499150624596,0.1436,0.238417365139371,0.28384,0.149555066781437,56.729921,14.3870862096589,0.3755234,0.0887540426251109,427.3069308,594.642417357706,0.0496228,0.0294504163586867,0.0623176,0.0394569665179674,0.0051506,0.000254706301453262,0.180199826091135,0.0411213693597041,0.231014771284968,0.0223351035026637,0.415875504884974,0.0625921311819354,0.172909897738923,0.048651010446218
"3","50","DFE1",4407.2,87.4339750897785,562500,0,1613.6,82.7302846604555,187500,0,2574.8,36.3414364052936,562500,0,1238.8,8.31865373723417,187500,0,106,0,-408.98698,7.07106017418887,0.23272,0.18853074550322,0,0,0.1603,0.130001961523663,0,0,0,0,0.0011,0.000308220700148449,0.72982,0.150644438994607,0.03634,0.0654210822288962,0.23272,0.18853074550322,3.9267406,3.31826602899388,0.2687766,0.0526741382777165,2723.3489822,4264.69485664453,0.0761774,0.0394615549338847,0.058283,0.0399434907150089,0.0032574,0.000227306621109021,0.587366626082445,0.116231059411592,0.308952738687127,0.0336336676828604,0.102388182085596,0.0976173816481051,0.00129245314483166,0.00262597942330678
"4","50","DFE2",3078.6,90.4698844920231,562500,0,1554,50.7050293363489,187500,0,1257.4,29.0224051380998,562500,0,1255.8,33.6778859193982,187500,0,106,0,-370.01386,7.76900362067106,0.23344,0.0501621171801988,0,0,0.07792,0.0166607922980871,0,0,0,0,0.00236,0.00044497190922574,0.7434,0.0621359396806711,0.02078,0.0415864400977049,0.23344,0.0501621171801988,50.7816914,22.2458306580246,0.289833,0.0528365995168122,3212.3037908,3118.7059391468,0.0298904,0.016049232903787,0.06,0.0547722557505166,0.003189,0.000246195044629253,0.261171929189081,0.0256383330464775,0.239244093411878,0.0402837749457199,0.354644736728988,0.0406390635371798,0.144939240670053,0.0684905300118794
"5","99","DFE1",1058,148.505892138999,562500,0,352.2,53.3591604131849,187500,0,3488.8,61.4914628220861,562500,0,1213,68.818602136341,187500,0,106,0,-191.56018,27.2034956193501,0.3307,0.0593252897169496,0,0,0.31882,0.0669447309353021,0,0,0,0,0.00026,0.000167332005306815,0.63318,0.0507889456476505,0.03582,0.0425574552810668,0.3307,0.0593252897169496,1.0000034,5.27257053054773e-06,1.3891964,2.12246387563011,648.4572586,863.541068748485,0.090683,0.0208334453463655,0.031867,0.0192052030450084,0.0012104,0.000206028638785971,0.669944852328029,0.0673160149198584,0.327306117399847,0.0696623906506404,0.00274903027212119,0.00289889917588136,2.73114864057789e-15,6.10703401698829e-15
"6","99","DFE2",868.6,75.7746659510948,562500,0,324.2,25.3317981991015,187500,0,2471.4,35.4584263610217,562500,0,1253.4,30.7701153718994,187500,0,106,0,-146.77632,36.3136033124916,0.31518,0.283454100340778,0,0,0.20914,0.186674912615488,0,0,0,0,0.00124,0.000789303490426845,0.64344,0.275002341808211,0.04018,0.0518683622259273,0.31518,0.283454100340778,9.7807816,11.6356414544249,0.2998318,0.188342138473311,901.8224398,1133.15795849899,0.0742564,0.0372682889773598,0.0625162,0.051325003207014,0.001192,9.70747134942978e-05,0.516742484270219,0.255354136299662,0.291689851770677,0.11926855133199,0.172261965488716,0.156881449263672,0.0193056984703881,0.0360074478663218
