"","selfing","DFE","pis_avg","p_avg"
"1","0","DFE1",0.0038501952,0.144021653659819
"2","0","DFE2",0.00381188768,0.146520911939725
"3","0","DFE3",0.00367738965333333,0.149365688284817
"4","50","DFE1",0.00278994122666667,0.146673895296858
"5","50","DFE2",0.00269965226666667,0.147995216360295
"6","50","DFE3",0.00249931701333333,0.147304429699856
"7","80","DFE1",0.00351616234666667,0.187615036492029
"8","80","DFE2",0.00322131989333333,0.187121775997209
"9","80","DFE3",0.00256872704,0.189247288530762
"10","90","DFE1",0.002988304,0.181009504936089
"11","90","DFE2",0.00225220010666667,0.174721606669001
"12","90","DFE3",0.00165473216,0.176706561654837
"13","95","DFE1",0.00244169194666667,0.17387079107357
"14","95","DFE2",0.00114136,0.148355666957541
"15","95","DFE3",0.00097230976,0.15917032356659
"16","99","DFE1",0.000613978026666667,0.0983880761563102
"17","99","DFE2",0.000190194453333333,0.077903165095047
"18","99","DFE3",0.000214139946666667,0.0893580675668642
