"","selfing","DFE","N1_avg","N1_sd","N2_avg","N2_sd","t2_avg","t2_sd","Nw_avg","Nw_sd","b_avg","b_sd","Es_avg","Es_sd","f0_fromoutput_avg","f0_fromoutput_sd","f2n_avg","f2n_sd","gamma_avg","gamma_sd","true_mean_avg","true_mean_sd","true_shape_avg","true_shape_sd","z0","z0_sd","z1","z1_sd","z2","z2_sd","z3","z3_sd","f0","f0_sd","f1","f1_sd","f2","f2_sd","f3","f3_sd"
"1","0","DFE1",100,0,144.6,15.9311016568221,15.64004,23.5087902455231,101.5,1.44920667953194,0.74274,0.0429115718658732,-0.0266132,0.00150049148614712,0.949683256,0.00169418875941465,0.006369642,0.000155291968702506,5.40328378,0.329730443704286,5,0,0.9,0,0.23641229436201,0.00551585352329438,0.596506014859457,0.0207377208863507,0.167080895483439,0.0174075067865264,7.95295093969361e-07,8.21976188004059e-07,0.23641229436201,0.00551585352329438,0.596506014859457,0.0207377208863507,0.167080895483439,0.0174075067865264,7.95295093969361e-07,8.21976188004059e-07
"2","0","DFE2",100,0,158.4,10.6207344378814,5,0,100.91,0.106066017177981,0.47706,0.0139098166774404,-0.2687002,0.0266482661856264,0.9491443744,0.000652430722314842,0.0066219524,0.000183985905732749,54.226458904,5.34672718220955,50,0,0.5,0,0.118083765955645,0.0037538402367105,0.227181106859758,0.00873745314984382,0.480838916266068,0.0121445450433493,0.17389621091853,0.0206690154615229,0.118083765955645,0.0037538402367105,0.227181106859758,0.00873745314984382,0.480838916266068,0.0121445450433493,0.17389621091853,0.0206690154615229
"3","0","DFE3",100,0,144.2,9.54986910905066,5,0,100.756,0.113269589917151,0.29618,0.0111077450456877,-4.7115934,0.683496981055001,0.9531693088,0.000791079308510632,0.0064722352,0.000272627530485643,949.559357308,138.63948410774,1000,0,0.3,0,0.102397745860697,0.00328964135032576,0.0999202744341008,0.00247862912705011,0.19526391698899,0.00910241271625528,0.602418062716212,0.00936827797033507,0.102397745860697,0.00328964135032576,0.0999202744341008,0.00247862912705011,0.19526391698899,0.00910241271625528,0.602418062716212,0.00936827797033507
"4","50","DFE1",100,0,153,16.2480768092719,7.25452,5.04125997663283,101.102,0.442232970276981,0.81656,0.157017492656073,-0.0253102,0.00245065699354275,0.9601969824,0.00124021151226448,0.0065930488,0.000219421690337806,5.117828524,0.495073936091007,5,0,0.9,0,0.227296633645272,0.0223587322118515,0.623561706633597,0.0550374358906556,0.149141294198045,0.0334218814155431,3.65523085649189e-07,4.55002145664393e-07,0.227296633645272,0.0223587322118515,0.623561706633597,0.0550374358906556,0.149141294198045,0.0334218814155431,3.65523085649189e-07,4.55002145664393e-07
"5","50","DFE2",100,0,150.2,16.3768128767474,6.03792,2.32018891299825,100.97,0.358399218749148,0.47358,0.0221586777583862,-0.2630402,0.0171809364180187,0.9616837802,0.000395692153099754,0.0065260848,0.000234294526252109,53.117085732,3.44839560481644,50,0,0.5,0,0.120876718176917,0.00893012414151336,0.229096296134004,0.00596254651863103,0.480083650455624,0.0135914373890891,0.169943335233455,0.0135023252345751,0.120876718176917,0.00893012414151336,0.229096296134004,0.00596254651863103,0.480083650455624,0.0135914373890891,0.169943335233455,0.0135023252345751
"6","50","DFE3",100,0,155.6,12.4418648119966,5,0,100.88,0.125499003980109,0.28546,0.0162620109457595,-5.4647694,1.20183719177528,0.9646994494,0.000479153045983559,0.0064861158,0.000263258699587877,1102.759572468,243.834753549476,1000,0,0.3,0,0.106158770747957,0.00643431418017224,0.0983181042638647,0.00198084068776377,0.187897316918705,0.00995909558729406,0.607625808069474,0.00592375601408916,0.106158770747957,0.00643431418017224,0.0983181042638647,0.00198084068776377,0.187897316918705,0.00995909558729406,0.607625808069474,0.00592375601408916
"7","80","DFE1",100,0,162.2,20.3027091788264,5.34004,0.500082996111646,100.984,0.133902949930168,1.00378,0.291476048758727,-0.0211244,0.00293659416671763,0.9675913848,0.0011770045308979,0.006689828,0.000151017633789899,4.266403404,0.592329466913074,5,0,0.9,0,0.219088399299283,0.0311621809566017,0.683507718216957,0.0752888018595074,0.0974038697237748,0.0444083674343468,1.27599849686355e-08,1.58295619646786e-08,0.219088399299283,0.0311621809566017,0.683507718216957,0.0752888018595074,0.0974038697237748,0.0444083674343468,1.27599849686355e-08,1.58295619646786e-08
"8","80","DFE2",100,0,167.6,8.76356092008266,5.10584,0.236665434738578,101.022,0.111669154201152,0.47928,0.0287852740129393,-0.2234054,0.0185404340914661,0.969682518,0.0010721816212317,0.0065075952,0.000327570792104852,45.1368535,3.73342445301731,50,0,0.5,0,0.1280749480626,0.00880073230326537,0.245678205799906,0.00786369032404843,0.489297078914315,0.0177366283678514,0.136949767223179,0.0173273473414637,0.1280749480626,0.00880073230326537,0.245678205799906,0.00786369032404843,0.489297078914315,0.0177366283678514,0.136949767223179,0.0173273473414637
"9","80","DFE3",100,0,162.2,20.3027091788264,5.4337,0.599083566791812,101.006,0.173435867109429,0.28762,0.0252522672249444,-4.6202582,2.21536013535648,0.9748660322,0.000735812087119179,0.0064634574,0.000253227053846543,933.547392232,448.165495265901,1000,0,0.3,0,0.11253724069236,0.00625913917960606,0.105311317630381,0.00781228009101448,0.202042426756747,0.0246214829929232,0.580109014920512,0.027548707778518,0.11253724069236,0.00625913917960606,0.105311317630381,0.00781228009101448,0.202042426756747,0.0246214829929232,0.580109014920512,0.027548707778518
"10","90","DFE1",100,0,149.8,12.1326007104825,16.67936,8.91696186113858,102.462,0.835356211445154,0.78146,0.161483011490373,-0.0234226,0.00436795195715337,0.9710806378,0.000525804378025427,0.0065755566,0.000118719652715125,4.802400732,0.915373892864473,5,0,0.9,0,0.252521799296052,0.0163091312869103,0.614388941054695,0.0678361204277962,0.133086516789897,0.0519416394434363,2.74285935606966e-06,4.86022057412631e-06,0.252521799296052,0.0163091312869103,0.614388941054695,0.0678361204277962,0.133086516789897,0.0519416394434363,2.74285935606966e-06,4.86022057412631e-06
"11","90","DFE2",100,0,238,40.0124980474851,5.27188,0.504021578903126,101.502,0.29659737018389,0.46556,0.0273075630549487,-0.186523,0.031366911475311,0.9735708578,0.00172211468602392,0.0065373476,6.08448700697109e-05,37.870466968,6.40441355406154,50,0,0.5,0,0.146526200651655,0.0034175070920094,0.266687480459957,0.0195575120120488,0.481072209778774,0.0119492368709186,0.105714109109614,0.0303109950436935,0.146526200651655,0.0034175070920094,0.266687480459957,0.0195575120120488,0.481072209778774,0.0119492368709186,0.105714109109614,0.0303109950436935
"12","90","DFE3",100,0,198,38.1247950814165,10.51732,3.29185043660857,102.428,0.920717111820996,0.29284,0.0125065183004704,-2.6653252,0.738209166254863,0.9794697654,0.00109159069369467,0.0066184296,0.000121864002938932,546.891108304,156.216829093914,1000,0,0.3,0,0.124101830358502,0.00210065480653607,0.1192584010119,0.00726731546579809,0.229104598999193,0.0186664074084026,0.527535169630406,0.026507225688546,0.124101830358502,0.00210065480653607,0.1192584010119,0.00726731546579809,0.229104598999193,0.0186664074084026,0.527535169630406,0.026507225688546
"13","95","DFE1",100,0,179.4,31.6354231835138,28.58586,28.2881458511865,104.934,3.96787474600698,0.67662,0.139486207203436,-0.0190544,0.00211128250123,0.9736642254,0.00147711374257634,0.006430218,0.000272102466755633,4.00008188,0.476074950086147,5,0,0.9,0,0.317285451451717,0.0294546760642997,0.580911046907513,0.0566543141670635,0.10180304712356,0.0310045579390518,4.54517209003136e-07,8.99046881890983e-07,0.317285451451717,0.0294546760642997,0.580911046907513,0.0566543141670635,0.10180304712356,0.0310045579390518,4.54517209003136e-07,8.99046881890983e-07
"14","95","DFE2",100,0,321.8,50.2314642430419,22.01258,7.53928955916935,107.346,2.30283086656402,0.4617,0.0725547379569384,-0.0988304,0.029224541575532,0.9792841806,0.00217933533363554,0.0067107004,0.000176693035487537,21.124781888,5.88904094653277,50,0,0.5,0,0.198782761251442,0.0141146867696747,0.338655897906525,0.0479126153908551,0.42676691707901,0.0130427109012178,0.0357944237630242,0.0264789938352079,0.198782761251442,0.0141146867696747,0.338655897906525,0.0479126153908551,0.42676691707901,0.0130427109012178,0.0357944237630242,0.0264789938352079
"15","95","DFE3",100,0,318.8,74.3384153718654,17.19622,9.56390511621691,105.542,2.81355113690865,0.2815,0.0092997311789105,-1.7217372,0.293873704195697,0.9823142518,0.0014593031035209,0.0066076098,0.000197192050153397,363.488800968,62.580618492036,1000,0,0.3,0,0.148550633916316,0.00364602351997773,0.135038276558071,0.00551806415094612,0.250402785996024,0.0133415495944027,0.466008303529589,0.0191730165347234,0.148550633916316,0.00364602351997773,0.135038276558071,0.00551806415094612,0.250402785996024,0.0133415495944027,0.466008303529589,0.0191730165347234
"16","99","DFE1",100,0,393.6,89.192488472965,77.35576,71.4996697980697,126.318,22.2195807791236,0.25922,0.0267268965650709,-0.0130626,0.00468003331184726,0.9775609934,0.00166877468290472,0.0065711006,0.000157353875639591,3.202872604,0.900854524032629,5,0,0.9,0,0.573424238493923,0.0253565276703106,0.334457434481618,0.0208211934449029,0.0920058433013083,0.0316110014028123,0.00011248372315098,0.000235110643502956,0.573424238493923,0.0253565276703106,0.334457434481618,0.0208211934449029,0.0920058433013083,0.0316110014028123,0.00011248372315098,0.000235110643502956
"17","99","DFE2",100,0,1000,0,56.64316,25.8853650735894,125.072,11.3117911932638,0.3541,0.0405314692553823,-0.0258854,0.00723774476615472,0.982271077,0.00176991076308199,0.0066469692,0.000219177781455375,6.386344608,1.41025651443002,50,0,0.5,0,0.402698206027773,0.0118367202607094,0.400173362547285,0.0361276068082172,0.19609429454325,0.0317653747282567,0.00103413688169192,0.00168753349514477,0.402698206027773,0.0118367202607094,0.400173362547285,0.0361276068082172,0.19609429454325,0.0317653747282567,0.00103413688169192,0.00168753349514477
