"","selfing","DFE","pis_avg","p_avg"
"1","0","DFE1",0.00230083928888889,0.00196470933333333
"2","0","DFE2",0.00112355527111111,0.000930737777777778
"3","0","DFE3",0.000651296284444444,0.000567128888888889
"4","50","DFE1",0.00166355566222222,0.001434576
"5","50","DFE2",0.000817038435555556,0.000677976888888889
"6","50","DFE3",0.000457366435555556,0.000402753777777778
"7","80","DFE1",0.00201853112888889,0.00171095466666667
"8","80","DFE2",0.000900939093333333,0.000745713777777778
"9","80","DFE3",0.000457577955555556,0.000397361777777778
"10","90","DFE1",0.00173701639111111,0.00149170844444444
"11","90","DFE2",0.000697517013333333,0.000581621333333333
"12","90","DFE3",0.000335188835555556,0.000299658666666667
"13","95","DFE1",0.00152851463111111,0.00133559822222222
"14","95","DFE2",0.000459725582222222,0.000391633777777778
"15","95","DFE3",0.000227204977777778,0.000198890666666667
"16","99","DFE1",0.000485370204444444,0.000452136888888889
"17","99","DFE2",0.000129733262222222,0.000126200888888889
"18","99","DFE3",7.57049955555556e-05,7.4832e-05
