Alleles Observed-SFS Expected
0 0.975029 0.975029
1 0.004933 0.004837
2 0.002795 0.002773
3 0.001701 0.001814
4 0.001355 0.001334
5 0.001120 0.001053
6 0.000875 0.000870
7 0.000699 0.000742
8 0.000672 0.000648
9 0.000459 0.000577
10 0.000485 0.000521
11 0.000560 0.000476
12 0.000512 0.000439
13 0.000421 0.000408
14 0.000421 0.000382
15 0.000304 0.000360
16 0.000320 0.000341
17 0.000331 0.000325
18 0.000272 0.000310
19 0.000293 0.000297
20 0.000304 0.000285
21 0.000277 0.000275
22 0.000325 0.000266
23 0.000208 0.000258
24 0.000251 0.000250
25 0.000235 0.000243
26 0.000192 0.000237
27 0.000224 0.000231
28 0.000240 0.000226
29 0.000203 0.000221
30 0.000197 0.000217
31 0.000219 0.000213
32 0.000213 0.000209
33 0.000203 0.000206
34 0.000176 0.000203
35 0.000165 0.000200
36 0.000277 0.000198
37 0.000235 0.000196
38 0.000155 0.000193
39 0.000171 0.000192
40 0.000197 0.000190
41 0.000149 0.000188
42 0.000192 0.000187
43 0.000112 0.000186
44 0.000213 0.000185
45 0.000155 0.000184
46 0.000197 0.000183
47 0.000224 0.000183
48 0.000176 0.000183
49 0.000229 0.000182
50 0.000128 0.000091
