Alleles Observed-SFS Expected
0 0.997122 0.997122
1 0.001157 0.001144
2 0.000373 0.000401
3 0.000212 0.000202
4 0.000121 0.000131
5 0.000107 0.000097
6 0.000078 0.000077
7 0.000053 0.000063
8 0.000060 0.000054
9 0.000062 0.000046
10 0.000043 0.000041
11 0.000046 0.000037
12 0.000027 0.000033
13 0.000027 0.000030
14 0.000028 0.000028
15 0.000020 0.000026
16 0.000028 0.000024
17 0.000021 0.000022
18 0.000020 0.000021
19 0.000016 0.000020
20 0.000009 0.000019
21 0.000021 0.000018
22 0.000027 0.000017
23 0.000016 0.000016
24 0.000007 0.000016
25 0.000012 0.000015
26 0.000020 0.000015
27 0.000007 0.000014
28 0.000018 0.000014
29 0.000016 0.000013
30 0.000012 0.000013
31 0.000014 0.000013
32 0.000007 0.000012
33 0.000016 0.000012
34 0.000018 0.000012
35 0.000012 0.000012
36 0.000023 0.000011
37 0.000005 0.000011
38 0.000014 0.000011
39 0.000004 0.000011
40 0.000012 0.000011
41 0.000005 0.000011
42 0.000012 0.000010
43 0.000007 0.000010
44 0.000007 0.000010
45 0.000011 0.000010
46 0.000018 0.000010
47 0.000005 0.000010
48 0.000016 0.000010
49 0.000005 0.000010
50 0.000000 0.000005
