Alleles Observed-SFS Expected
0 0.992400 0.992400
1 0.002341 0.002283
2 0.000875 0.000973
3 0.000533 0.000540
4 0.000405 0.000358
5 0.000256 0.000265
6 0.000245 0.000212
7 0.000192 0.000178
8 0.000187 0.000154
9 0.000123 0.000137
10 0.000107 0.000124
11 0.000117 0.000114
12 0.000123 0.000105
13 0.000091 0.000098
14 0.000075 0.000092
15 0.000096 0.000087
16 0.000053 0.000082
17 0.000101 0.000079
18 0.000069 0.000075
19 0.000085 0.000072
20 0.000075 0.000069
21 0.000085 0.000067
22 0.000064 0.000065
23 0.000032 0.000063
24 0.000021 0.000061
25 0.000080 0.000059
26 0.000037 0.000058
27 0.000032 0.000056
28 0.000037 0.000055
29 0.000064 0.000054
30 0.000043 0.000053
31 0.000048 0.000052
32 0.000021 0.000051
33 0.000053 0.000050
34 0.000107 0.000049
35 0.000064 0.000049
36 0.000064 0.000048
37 0.000037 0.000048
38 0.000053 0.000047
39 0.000037 0.000047
40 0.000027 0.000046
41 0.000048 0.000046
42 0.000037 0.000045
43 0.000043 0.000045
44 0.000043 0.000045
45 0.000043 0.000045
46 0.000043 0.000045
47 0.000032 0.000044
48 0.000091 0.000044
49 0.000048 0.000044
50 0.000016 0.000022
