Alleles Observed-SFS Expected
0 0.992107 0.992236
1 0.003145 0.002788
2 0.001161 0.001276
3 0.000645 0.000746
4 0.000468 0.000493
5 0.000293 0.000351
6 0.000272 0.000261
7 0.000194 0.000202
8 0.000155 0.000161
9 0.000137 0.000131
10 0.000123 0.000109
11 0.000108 0.000092
12 0.000085 0.000079
13 0.000060 0.000069
14 0.000060 0.000061
15 0.000078 0.000055
16 0.000073 0.000050
17 0.000046 0.000045
18 0.000057 0.000042
19 0.000050 0.000039
20 0.000043 0.000036
21 0.000027 0.000034
22 0.000034 0.000032
23 0.000030 0.000031
24 0.000020 0.000029
25 0.000034 0.000028
26 0.000030 0.000027
27 0.000021 0.000026
28 0.000018 0.000025
29 0.000021 0.000025
30 0.000036 0.000024
31 0.000034 0.000023
32 0.000021 0.000023
33 0.000023 0.000022
34 0.000014 0.000022
35 0.000025 0.000021
36 0.000018 0.000021
37 0.000021 0.000021
38 0.000021 0.000020
39 0.000011 0.000020
40 0.000021 0.000020
41 0.000018 0.000020
42 0.000018 0.000020
43 0.000014 0.000019
44 0.000014 0.000019
45 0.000016 0.000019
46 0.000028 0.000019
47 0.000011 0.000019
48 0.000016 0.000019
49 0.000014 0.000019
50 0.000011 0.000009
